filename,Code,statement,type,smartlevel,,
page_39.png,Toddler: 16-36 months,The Toddler May: Demonstrate beginning non-locomotor movements.,age_range,5.1.4,,
page_39.png,,Sway or rock to music.,developmental indicators,5.1.4.1,,
page_39.png,,Squat stoop or bend,developmental indicators,5.1.4.2,,
page_39.png,,Reach for an object on tiptoes.,developmental indicators,5.1.4.3,,
page_39.png,,Try to balance while standing on one foot.,developmental indicators,5.1.4.4,,
page_39.png,,The Toddler May: Use large arm movements (non-locomotor).,age_range,5.1.5,,
page_39.png,,Use rhythm instruments.,developmental indicators,5.1.5.1,,
page_39.png,,Throw balls or objects.,developmental indicators,5.1.5.2,,
page_39.png,,Use full arm motion to participate in sensory experiences.,developmental indicators,5.1.5.3,,
page_39.png,,Use blocks or other materials.,developmental indicators,5.1.5.4,,
,,"The Toddler May: Demonstrate advancing balance, control and coordination.",age_range,5.1.6,,
page_40.png,,Carry objects from one place to another while walking or fills a basket bag bucket etc Hold on to a favorite object,developmental indicators,5.1.6.1,,
page_40.png,,Dance to music including songs with directed movement,developmental indicators,5.1.6.2,,
page_40.png,,Jump off low objects,developmental indicators,5.1.6.3,,
page_40.png,,Move on riding toys,developmental indicators,5.1.6.4,,
page_40.png,,Stop and turn while running,developmental indicators,5.1.6.5,,
page_40.png,,Walk up and down low steps with assistance,developmental indicators,5.1.6.6,,
page_40.png,,The Toddler May: Demonstrate spatial awareness of whole body.,age_range,5.1.7,,
page_40.png,,Become aware of how his/her body moves through space,developmental indicators,5.1.7.1,,
page_40.png,,Walk backwards,developmental indicators,5.1.7.2,,
page_40.png,,Climb structures,developmental indicators,5.1.7.3,,
page_40.png,,Show an awareness of dangers in the environment by asking for assistance or reaching for an adult hand,developmental indicators,5.1.7.4,,
page_41.png,Standard 2,The child participates in activities involving small motor skills,standard,5.2,,
page_41.png,Young Infant: 0-8 months,The Baby May: Demonstrate basic small muscle movements.,age_range,5.2.1,,
page_41.png,,Hold on to an adult's finger.,developmental indicators,5.2.1.1,,
page_41.png,,Grasp and release whatever is put in his/her hand.,developmental indicators,5.2.1.2,,
page_41.png,,Play with fingers and put them in mouth.,developmental indicators,5.2.1.3,,
page_41.png,,Play with grasped objects.,developmental indicators,5.2.1.4,,
page_41.png,,Reach for and swipe at dangling objects.,developmental indicators,5.2.1.5,,
page_41.png,,Rake objects with hands.,developmental indicators,5.2.1.6,,
page_42.png,Mobile Infant: 6-18 months,The Baby May: Demonstrate increasing control of small muscles in hands.,standard,5.2.2,,
page_42.png,,Reach and successfully grab objects of interest. ,developmental indicators,5.2.2.1,,
page_42.png,,Pick up objects with thumb and forefinger (pincer grasp). ,developmental indicators,5.2.2.2,,
page_42.png,,Use simple hand signs and gestures.,developmental indicators,5.2.2.3,,
page_43.png,Toddler: 16-36 months,The Toddler May: Develop small muscle strength and develop coordination of hands and fingers.,age_range,5.2.3,,
page_43.png,,Continue to use both hands together and show no strong preference for a dominant hand.,developmental indicators,5.2.3.1,,
page_43.png,,Begin to favor one hand over the other.,developmental indicators,5.2.3.2,,
page_43.png,,Use hands to explore sensory materials.,developmental indicators,5.2.3.3,,
page_43.png,,Manipulate various art mediums.,developmental indicators,5.2.3.4,,
page_43.png,,Begin to snip with safety scissors.,developmental indicators,5.2.3.5,,
page_43.png,,Imitate finger plays with a growing complexity.,developmental indicators,5.2.3.6,,
page_43.png,,Use both hands at the center of the body with increasing complexity.,developmental indicators,5.2.3.7,,
page_43.png,,Exhibit increased control when using various tools and objects.,developmental indicators,5.2.3.8,,
,,"Use items for building, stacking and fitting/connecting",developmental indicators,5.2.3.9,,
,Standard 3,The child participates in activities requiring coordination of eye and hand movements.,standard,5.3,,
,Young Infant: 0-8 months,"The Baby May: Begin to focus and follow objects with eyes, reach for and grasp objects.",age_range,5.3.1,,
,,Follow people and objects with eyes.,developmental indicators,5.3.1.1,,
,,Reach for and grasp objects. ,developmental indicators,5.3.1.2,,
,,Look at objects in hand.,developmental indicators,5.3.1.3,,
,,Move objects from one hand to another.,developmental indicators,5.3.1.4,,
page_44.png,Mobile Infant: 6-18 months,The Baby May: Begin to strengthen hand and eye coordination by making hand to object contact.,age_range,5.3.2,,
page_44.png,,Put objects in containers eventually matching shapes.,developmental indicators,5.3.2.1,,
page_44.png,,Stack blocks and knock them over.,developmental indicators,5.3.2.2,,
page_44.png,,Place simple knobbed puzzle pieces or shapes into puzzle frame or shape sorter.,developmental indicators,5.3.2.3,,
page_45.png,Toddler: 16-36 months,The Toddler May: Demonstrate basic hand and eye coordination by making hand to object contact.,age_range,5.3.3,,
page_45.png,,Play with interlocking toys.,developmental indicators,5.3.3.1,,
page_45.png,,Catch a rolling ball with both hands.,developmental indicators,5.3.3.2,,
page_45.png,,Scribble spontaneously; begin to imitate marks.,developmental indicators,5.3.3.3,,
page_45.png,,"Sort various objects by size, color, and shape.",developmental indicators,5.3.3.4,,
page_45.png,,Begin fastening and unfastening.,developmental indicators,5.3.3.5,,
page_45.png,,Turn pages of a book one by one.,developmental indicators,5.3.3.6,,
page_45.png,,Build with blocks by stacking or lining up blocks end to end.,developmental indicators,5.3.3.7,,
page_45.png,,Use hands for simple finger plays.,developmental indicators,5.3.3.8,,
page_45.png,,"Scoop, shovel, fill, pour, and dump.",developmental indicators,5.3.3.9,,
page_45.png,,Use a tool to pound objects.,developmental indicators,5.3.3.10,,
page_45.png,,Cutting with scissors.,developmental indicators,5.3.3.11,,
page_45.png,,Use thumb and fingers to squeeze objects.,developmental indicators,5.3.3.12,,
page_46.png,Standard 4,The child participates in activities requiring the development of self-help skills.,standard,5.4,,
page_46.png,Young Infant: 0-8 months,The Baby May: Begin to participate in self-help activities.,age_range,5.4.1,,
page_46.png,,Develop own schedule of feeding and sleeping.,developmental indicators,5.4.1.1,,
page_46.png,,Develop self-soothing skills.,developmental indicators,5.4.1.2,,
page_46.png,,Begin to mouth and gum solid foods.,developmental indicators,5.4.1.3,,
page_46.png,,Attempt to feed self.,developmental indicators,5.4.1.4,,
page_47.png,Mobile Infant: 6-18 months,The Baby May: Demonstrate increased participation in self-help activities.,age_range,5.4.2,,
page_47.png,,Begin to feed self by holding a bottle; imitating others; or using a spoon and cup.,developmental indicators,5.4.2.1,,
page_47.png,,Indicate wants through gestures and vocalizations.,developmental indicators,5.4.2.2,,
page_47.png,,Attempt to undress and dress self.,developmental indicators,5.4.2.3,,
page_47.png,,Gain more independence and self-regulation in rest habits.,developmental indicators,5.4.2.4,,
page_47.png,,Begin to assist in self-care by saying 'poopie' to indicate a diaper change is needed; or by getting a diaper; wiping his/her nose or washing hands.,developmental indicators,5.4.2.5,,
page_48.png,Toddler: 16-36 months,The Toddler May: Demonstrate and improve self-help skills.,age_range,5.4.3,,
page_48.png,,Undress/dress first with assistance and later independently.,developmental indicators,5.4.3.1,,
page_48.png,,Feed self.,developmental indicators,5.4.3.2,,
page_48.png,,Learn to use the toilet,developmental indicators,5.4.3.3,,
page_48.png,,Assist with simple tasks.,developmental indicators,5.4.3.4,,
page_48.png,,Care for body.,developmental indicators,5.4.3.5,,
page_48.png,,Begin to self-regulate need for sleep.,developmental indicators,5.4.3.6,,
page_50.png,HS,Health and Safety,domain,6,,
page_50.png,Standard 1,The child will participate in activities that promote health safety and nutrition,standard,6.1,,
page_50.png,Young Infant 0-8 months,"The Baby May: Become familiar with routines of health and safety practices, while relying on teachers to provide a safe environment.",age_range,6.1.1,,
page_50.png,,Explore surroundings by reaching and seeking to touch grab hold or put objects in his/her mouth,developmental indicators,6.1.1.1,,
page_50.png,,Respond to repetition adult conversation and singing during caregiving routines by cooing or smiling,developmental indicators,6.1.1.2,,
page_50.png,,Show increasing interest in being fed food and meal times by recognizing a breast or bottle or being held in the position associated with feeding reaching for a bottle or cup opening mouth in anticipation of food etc,developmental indicators,6.1.1.3,,
page_50.png,,Use different gestures and cries to indicate basic care and health needs such as hunger sickness sleepiness pain etc,developmental indicators,6.1.1.4,,
page_51.png,Mobile Infant: 6-18 months,The Baby May: Show increasing awareness  imitate and begin to participate in health  safety and nutrition practices.,age_range,6.1.2,,
page_51.png,,Be ready for food transitions such as from breast milk or formula to milk or milk substitute; pureed or infant food to finger foods  etc.,developmental indicators,6.1.2.1,,
page_51.png,,Begin eating solid foods and to show increasing ability to feed self.,developmental indicators,6.1.2.2,,
page_51.png,,Participate in health and hygiene activities by offering hands to be washed  holding a toothbrush  wiping the table by using a cloth  etc.,developmental indicators,6.1.2.3,,
page_51.png,,Become increasingly curious  mobile and begin to explore his/her environment.,developmental indicators,6.1.2.4,,
page_51.png,,Begin to respond to verbal safety warnings such as stop  hot  no  etc.,developmental indicators,6.1.2.5,,
page_52.png,Toddler: 16-36 months,The Toddler May: Show increasing understanding of and initiate health and safety practices.,domain,6.1.3,,
page_52.png,,Show body awareness interest related to basic care routines.,developmental indicators,6.1.3.1,,
page_52.png,,Begin to recognize bodily functions and to show interest in using the bathroom instead of the diaper.,developmental indicators,6.1.3.2,,
page_52.png,,Respond to adult guidance and reminders related to health and follow basic safety practices.,developmental indicators,6.1.3.3,,
page_52.png,,Eat independently using child-sized dishes and utensils and exhibit food preferences,developmental indicators,6.1.3.4,,
page_52.png,,Have periods of picky eating or increased appetite; have a dislike for certain textures.,developmental indicators,6.1.3.5,,
page_52.png,,Communicate interest in dramatic play materials related to food and nutrition.,developmental indicators,6.1.3.6,,
page_54.png,,SCIENCE,domain,7,,
page_54.png,Standard 1,"The child begins to demonstrate early scientific inquiryskills by questioning, exploring, problem solving,discovering and examining ",standard,7.1,,
page_54.png,Young Infant: 0-8 months,The Baby May: Use his/her senses to explore the environment.,age_range,7.1.1,,
page_54.png,,Show interest in the natural world.,developmental indicators,7.1.1.1,,
page_54.png,,Turn toward new sounds.,developmental indicators,7.1.1.2,,
page_54.png,,Feel different textures and communicate preferences.,developmental indicators,7.1.1.3,,
page_54.png,,Learn about an object by putting it in his/her mouth.,developmental indicators,7.1.1.4,,
page_54.png,,See faces and patterns.,developmental indicators,7.1.1.5,,
