filename,statement,type,role,smartlevel
page_47.png,"Recognize and respond appropriately and in a timely manner to a child's vocalizations and gestures (For example: ""I hear you fussing. Would you like your bottle?"").",teacher_can,teacher,1.1.1.2
page_47.png,"Encourage the child to pull off socks; put on or take off shoes; or put on hat; etc. Describe activities and assist the child in acquiring skills. (For example: ""Help me pull off your hat; and take your shoes."")",teacher_can,teacher,1.1.1.3
page_47.png,Work with families about rest time patterns and when to transition from crib to mat/cot or a bed.,teacher_can,teacher,1.1.1.4
page_47.png,Provide an environment enabling a child opportunities to rest or sleep as needed. A child must be monitored while sleeping.,teacher_can,teacher,1.1.1.4
page_47.png,Provide opportunities in the daily routine for a child to imitate and practice self-help activities. (For example: assisting with handwashing; singing a cleanup song while picking up toys; emptying plate after meals),teacher_can,teacher,1.1.1.5
page_51.png,statement,type,role,smartlevel
page_51.png,Mobile Infant: 6-18 months,age_range,,1.1
page_51.png,The Baby May: Show increasing awareness  imitate and begin to participate in health  safety and nutrition practices.,standard,,1.1.1
page_51.png,Be ready for food transitions such as from breast milk or formula to milk or milk substitute; pureed or infant food to finger foods  etc.,baby_might,baby,1.1.1.1
page_51.png,Begin eating solid foods and to show increasing ability to feed self.,baby_might,baby,1.1.1.2
page_51.png,Participate in health and hygiene activities by offering hands to be washed  holding a toothbrush  wiping the table by using a cloth  etc.,baby_might,baby,1.1.1.3
page_51.png,Become increasingly curious  mobile and begin to explore his/her environment.,baby_might,baby,1.1.1.4
page_51.png,Begin to respond to verbal safety warnings such as stop  hot  no  etc.,baby_might,baby,1.1.1.5
page_51.png,Work with families and their health care providers to coordinate the introduction of new foods. Respect food preferences and the child's developing self-feeding abilities.,teacher_can,teacher,1.1.1.1
page_51.png,Provide safe foods and give for the child an opportunity to feed him/her self.,teacher_can,teacher,1.1.1.2
page_51.png,Encourage the child to establish healthy eating habits. (For example: provide drinking water throughout the day. Model handwashing).,teacher_can,teacher,1.1.1.3
page_51.png,Encourage the child's interest and participation in basic care routines.,teacher_can,teacher,1.1.1.4
page_51.png,Talk to the child about the next step in the routine.,teacher_can,teacher,1.1.1.5
page_51.png,"Make care routines an enjoyable experience by singing songs and sharing finger plays. (For example: ""This is the Way We Wash Our Hands"").",teacher_can,teacher,1.1.1.6
page_51.png,Ensure a child-safe environment. (For example: get on the child's eye level to check for potential safety risks; use outlet safety covers; provide locked cabinets for cleaning supplies and medications; dispose of broken toys and equipment  etc.).,teacher_can,teacher,1.1.1.7
page_51.png,"Set up an activity to practice safety with the child. (For example: ""Show me what to do when we are in a parking lot. Yes  you grabbed my hand."")",teacher_can,teacher,1.1.1.8
page_45.png,statement,type,role,smartlevel
page_45.png,Toddler: 16-36 months,domain,,1
page_45.png,The Toddler May: Demonstrate basic hand and eye coordination by making hand to object contact.,standard,,1.1
page_45.png,Play with interlocking toys.,baby_might,baby,1.1.1.1
page_45.png,"Provide snap-beads, large interlocking blocks, bristle blocks, linking cubes, puzzles or peg boards.",teacher_can,teacher,1.1.1.1
page_45.png,Catch a rolling ball with both hands.,baby_might,baby,1.1.1.2
page_45.png,Sit on the floor in front of child with legs outstretched in a V and roll a ball back and forth. This may also be done as a small group activity with everyone sitting in a circle.,teacher_can,teacher,1.1.1.2
page_45.png,Scribble spontaneously; begin to imitate marks.,baby_might,baby,1.1.1.3
page_45.png,"Make writing materials accessible throughout the day. Closely supervise while using the materials (For example: monitor the safe and appropriate use of paper, crayons, markers, chalk, pencils, paint, glue sticks, and ink/paint dobbers).",teacher_can,teacher,1.1.1.3
page_45.png,"Sort various objects by size, color, and shape.",baby_might,baby,1.1.1.4
page_45.png,"Provide materials for sorting such as a shape sorter, beanbags, blocks, balls or colored plastic eggs.",teacher_can,teacher,1.1.1.4
page_45.png,Begin fastening and unfastening.,baby_might,baby,1.1.1.5
page_45.png,"Provide opportunities for snapping, buttoning, zipping, wrapping or unwrapping and closing and opening containers.",teacher_can,teacher,1.1.1.5
page_45.png,Turn pages of a book one by one.,baby_might,baby,1.1.1.6
page_45.png,"Provide board, cloth or vinyl books for free exploration at all times.",teacher_can,teacher,1.1.1.6
page_45.png,Build with blocks by stacking or lining up blocks end to end.,baby_might,baby,1.1.1.7
page_45.png,"Provide an assortment of blocks including cardboard, wooden, hollow, vinyl or plastic.",teacher_can,teacher,1.1.1.7
page_45.png,Use hands for simple finger plays.,baby_might,baby,1.1.1.8
page_45.png,"Sing songs with hand motions or model simple finger plays such as the ""Open Them, Shut Them"" or ""Where is Thumbkin?"".",teacher_can,teacher,1.1.1.8
page_45.png,"Scoop, shovel, fill, pour, and dump.",baby_might,baby,1.1.1.9
page_45.png,"Provide pouring and emptying materials inside and outside such as sensory tables or tubs with water, sand and other safe and appropriate sensory materials.",teacher_can,teacher,1.1.1.9
page_45.png,Use a tool to pound objects.,baby_might,baby,1.1.1.10
page_45.png,"Provide pounding benches and toy hammers, pans and lids of varying sizes, wooden spoons and plastic tubs or flour and water mixture with a small wooden hammer.",teacher_can,teacher,1.1.1.10
page_45.png,Cutting with scissors.,baby_might,baby,1.1.1.11
page_45.png,"Provide childsafe scissors, scrap paper, card stock, recycled gift cards, wrapping paper and other appropriate materials.",teacher_can,teacher,1.1.1.11
page_45.png,Use thumb and fingers to squeeze objects.,baby_might,baby,1.1.1.12
page_45.png,"Provide large tweezers or tongs, eyedroppers, snapbeads, chop sticks or large basters in the sensory play area.",teacher_can,teacher,1.1.1.12
page_44.png,statement,type,role,smartlevel
page_44.png,The child participates in activities requiring coordination of eye and hand movements.,standard,,1.1
page_44.png,Young Infant: 0-8 months,age_range,,1.1.1
page_44.png,Follow people and objects with eyes.,baby_might,baby,1.1.1.1
page_44.png,Reach for and grasp objects.,baby_might,baby,1.1.1.2
page_44.png,Look at objects in hand.,baby_might,baby,1.1.1.3
page_44.png,Move objects from one hand to another.,baby_might,baby,1.1.1.4
page_44.png,Draw attention to a mobile or picture or show the infant an object he/she can follow with his/her eyes during floor time. Talk to the infant about the mobile or picture.,teacher_can,teacher,1.1.1.1
page_44.png,Show the infant an object and encourage reaching for the object and describe what is happening.,teacher_can,teacher,1.1.1.2
page_44.png,"Provide wrist rattles and soft brightly patterned toys. Play ""Pat A Cake"" with the infant or assist with a simple finger play.",teacher_can,teacher,1.1.1.3
page_44.png,Provide a variety of toys for holding grasping or moving from one hand to another.,teacher_can,teacher,1.1.1.4
page_44.png,Mobile Infant: 6-18 months,age_range,,1.1.2
page_44.png,The Baby May: Begin to strengthen hand and eye coordination by making hand to object contact.,age_range,,1.1.2
page_44.png,Put objects in containers eventually matching shapes.,baby_might,baby,1.1.2.1
page_44.png,Stack blocks and knock them over.,baby_might,baby,1.1.2.2
page_44.png,Place simple knobbed puzzle pieces or shapes into puzzle frame or shape sorter.,baby_might,baby,1.1.2.3
page_44.png,Talk with child describing colors and shapes as he/she places objects in containers.,teacher_can,teacher,1.1.2.1
page_44.png,Let the child watch you stack a block and then give him/her time to stack his/her own blocks.,teacher_can,teacher,1.1.2.2
page_44.png,Play with child using large pegs and pegboards knobbed puzzles with three to five pieces and shape sorters.,teacher_can,teacher,1.1.2.3
page_50.png,statement,type,role,smartlevel
page_50.png,Health and Safety,domain,,1
page_50.png,The child will participate in activities that promote health safety and nutrition,standard,,1.1
page_50.png,Young Infant 0-8 months,age_range,,1.1.1
page_50.png,"The Baby May: Become familiar with routines of health and safety practices, while relying on teachers to provide a safe environment.",age_range,,1.1.1
page_50.png,Explore surroundings by reaching and seeking to touch grab hold or put objects in his/her mouth,baby_might,baby,1.1.1.1
page_50.png,"Provide a safe environment. (For example: complete regular safety checks indoors and out, clean and sanitize the environment daily or more often as needed).",teacher_can,teacher,1.1.1.1
page_50.png,"Closely supervise the infant and monitor physical health. (For example: conduct daily health checks and be aware of children's allergies and/or medications). Follow safe labeling and storage practices of all medications, lotions and cleaning supplies.",teacher_can,teacher,1.1.1.2
page_50.png,"Perform caregiving routines slowly and carefully, telling an infant what is next, being respectful of the infant's response time and waiting for the infant to show readiness. (For example: ""May I change your diaper now?"" or ""It is time for me to put socks on your feet."")",teacher_can,teacher,1.1.1.3
page_50.png,"Communicate about routines through conversation, song, sign language or pictures.",teacher_can,teacher,1.1.1.4
page_50.png,"Model good health and safety practices, proper handwashing techniques and oral health practices. (For example: wipe the infant's gums with a clean, soft cloth after feedings).",teacher_can,teacher,1.1.1.5
page_50.png,Respond to repetition adult conversation and singing during caregiving routines by cooing or smiling,baby_might,baby,1.1.1.2
page_50.png,Show increasing interest in being fed food and meal times by recognizing a breast or bottle or being held in the position associated with feeding reaching for a bottle or cup opening mouth in anticipation of food etc,baby_might,baby,1.1.1.3
page_50.png,Respect families' cultural or religious food preferences.,teacher_can,teacher,1.1.1.6
page_50.png,Follow appropriate health and safety guidelines related to child nutrition.,teacher_can,teacher,1.1.1.7
page_50.png,Provide accommodations for breast feeding and/or storage and safe use of expressed breast milk.,teacher_can,teacher,1.1.1.8
page_50.png,Hold the infant when bottle feeding and engage in eye contact and individual conversation.,teacher_can,teacher,1.1.1.9
page_50.png,Respond to an infant's preferences to body positioning for eating and burping and pace of feeding.,teacher_can,teacher,1.1.1.10
page_50.png,"Be aware of foods that may cause a choking hazard and any allergies for the infant or other individuals. Serve nutritious, age-appropriate foods.",teacher_can,teacher,1.1.1.11
page_50.png,Use different gestures and cries to indicate basic care and health needs such as hunger sickness sleepiness pain etc,baby_might,baby,1.1.1.4
page_50.png,"Understand, recognize and respond positively and promptly when the infant indicates a need.",teacher_can,teacher,1.1.1.12
page_54.png,statement,type,role,smartlevel
page_54.png,SCIENCE,domain,,1
page_54.png,Young children are naturally curious and learn through exploration and using their senses. They are looking  touching  smelling  tasting and listening to everyone and everything in their surroundings.,standard,,1.1
page_54.png,Infants  toddlers and twos react and respond to experiences and adults in the environment. Adults need to recognise and use teachable moments and encourage children to build on existing skills.,standard,,1.1
page_54.png,All infants  toddlers and twos should have opportunities to be involved in concepts related to sciences. Observing the fish in a fish tank  digging in the sand with a pail and shovel  making discoveries about a worm in the grass are all activities related to scientific thinking and problem solving. These experiences will assist children in acquiring knowledge on which to build a better understanding of the world.,standard,,1.1
page_54.png,Through play  children use their senses to explore experiment  invent  design  test solutions  and form ideas about how the world works.,standard,,1.1
page_54.png,Young Infant: 0-8 months,age_range,,1.1.1
page_54.png,The Baby May: Use his/her senses to explore the environment.,age_range,,1.1.1
page_54.png,Show interest in the natural world.,baby_might,,1.1.1.1
page_54.png,Turn toward new sounds.,baby_might,,1.1.1.2
page_54.png,Feel different textures and communicate preferences.,baby_might,,1.1.1.3
page_54.png,Learn about an object by putting it in his/her mouth.,baby_might,,1.1.1.4
page_54.png,See faces and patterns.,baby_might,,1.1.1.5
page_54.png,Begin to understand cause and effect.,baby_might,,1.1.1.6
page_54.png,Show interest in the movement of objects and discover ways to cause movement or actions of objects.,baby_might,,1.1.1.7
page_54.png,Provide a safe environment that allows children to explore by mouthing toys  books and equipment. The items are sanitized after use  are non-toxic and not a choking hazard.,teacher_can,,1.1.1.1
page_54.png,Play a variety of child-appropriate music  talk and sing to the child  play a music box  and offer musical toys and simple instruments.,teacher_can,,1.1.1.2
page_54.png,Provide toys and fabrics of varying textures. (For example: large rubber balls; soft fabric or  sock  balls  dolls  touch and feel books).,teacher_can,,1.1.1.3
page_54.png,Introduce new foods and spoon as child is ready.,teacher_can,,1.1.1.4
page_54.png,Hold an infant while feeding  make eye contact while changing diapers  etc.,teacher_can,,1.1.1.5
page_54.png,Provide variety of objects in the environment such as color and shape patterns and toys.,teacher_can,,1.1.1.6
page_54.png,Look in the mirror with the infant while talking about the reflection of the infant's body parts  emotions  facial expressions  etc.,teacher_can,,1.1.1.7
page_54.png,Add interesting toys to respond to the actions of the infant. (For example: soft balls  rattles  cloth toys  squeeze toys  plastic keys and mobiles),teacher_can,,1.1.1.8
page_54.png,Provide a variety of toys and demonstrate how they can move.  (For example: push a truck  roll a ball or play with a wind-up toy),teacher_can,,1.1.1.9
page_40.png,statement,type,role,smartlevel
page_40.png,Carry objects from one place to another while walking or fills a basket bag bucket etc Hold on to a favorite object,baby_might,baby,1.1.1.1
page_40.png,Dance to music including songs with directed movement,baby_might,baby,1.1.1.2
page_40.png,Jump off low objects,baby_might,baby,1.1.1.3
page_40.png,Move on riding toys,baby_might,baby,1.1.1.4
page_40.png,Stop and turn while running,baby_might,baby,1.1.1.5
page_40.png,Walk up and down low steps with assistance,baby_might,baby,1.1.1.6
page_40.png,Encourage the child to pick up and carry objects For example a scavenger hunt putting toys away or using a bucket to transport objects etc,teacher_can,teacher,1.1.1.1
page_40.png,Play a variety of music demonstrating body movements the child can imitate or move freely to the music,teacher_can,teacher,1.1.1.2
page_40.png,Provide opportunities for a child to jump using a low play structure tape on the floor or jumping in and out of a hoop Include activities and imitate the movement of animals For example hop like grasshoppers frogs rabbits or kangaroos,teacher_can,teacher,1.1.1.3
page_40.png,Provide size-appropriate riding toys with and without pedals to use in a large safe environment to offer free movement,teacher_can,teacher,1.1.1.4
page_40.png,"Provide activities and an area away from riding toys for a child to run stop and turn For example an obstacle course or play ""Follow The Leader""",teacher_can,teacher,1.1.1.5
page_40.png,Provide platforms or steps for a child to walk up or down with assistance if needed,teacher_can,teacher,1.1.1.6
page_40.png,The Toddler May: Demonstrate spatial awareness of whole body.,domain,,2.0
page_40.png,Become aware of how his/her body moves through space,baby_might,baby,2.1.1.1
page_40.png,Walk backwards,baby_might,baby,2.1.1.2
page_40.png,Climb structures,baby_might,baby,2.1.1.3
page_40.png,"Create a series of tunnels boxes and other materials for the child to crawl into and on top of As the child moves describe his/her position For example when the child is in the box say ""I see you are inside the box""",teacher_can,teacher,2.1.1.1
page_40.png,Provide a variety of activities and materials to encourage movement such as scarves hoops and parachute,teacher_can,teacher,2.1.1.2
page_40.png,"Provide safe push and pull toys the child can use while walking backwards Encourage small group experiences with simple games For example: ""Follow the Leader"" or ""Ring Around the Rosy""",teacher_can,teacher,2.1.1.3
page_40.png,Provide age-appropriate equipment for a child to utilize during free play indoors and out,teacher_can,teacher,2.1.1.4
page_40.png,Show an awareness of dangers in the environment by asking for assistance or reaching for an adult hand,baby_might,baby,2.1.1.5
page_40.png,"Observe and offer assistance as needed if the child appears hesitant while climbing navigating an incline or stepping off a small drop-off Give the child time to try before asking ""Would you like my help""",teacher_can,teacher,2.1.1.5
page_68.png,statement,type,role,smartlevel
page_68.png,The child perceives self as a unique individual.,standard,,3
page_68.png,Young Infant: 0-8 months,age_range,,3.1
page_68.png,The Baby May: Demonstrate an emerging awareness of self and others.,age_range,,3.1
page_68.png,Use body movements to express feelings such as kicking in excitement.,baby_might,baby,3.1.2
page_68.png,Explore own body by watching own hands in fascination and repeat body movements.,baby_might,baby,3.1.3
page_68.png,Smile at mirror image even though he/she may not recognize it as an image of him/her.,baby_might,baby,3.1.4
page_68.png,"Respond appropriately according to the infant's need. (For example: ""You sound hungry so I will warm your bottle."")",teacher_can,teacher,3.1.1
page_68.png,Lay the infant on a quilt on the floor and provide time for exploration.,teacher_can,teacher,3.1.3
page_68.png,Talk with the infant about what he/she is seeing in the mirror.,teacher_can,teacher,3.1.4
page_68.png,Mobile Infant: 6-18 months,age_range,,3.2
page_68.png,Express likes and dislikes.,baby_might,baby,3.2.1
page_68.png,Discover new capacities and how movement and gestures can be used to communicate with others.,baby_might,baby,3.2.2
page_68.png,Seek to draw adult's attention to objects of interest or new physical skills and attends to adult responses.,baby_might,baby,3.2.3
page_68.png,Sit on the floor with the children while they are playing;engage when a child initiates the play and provide words describing children's movements and gestures.,teacher_can,teacher,3.2.2
page_82.png,statement,type,role,smartlevel
page_82.png,Oklahoma Early Learning Guidelines for Infants Toddlers and Twos Ages 0 through 36 months 2011,domain,,1
page_82.png,Oklahoma Department of Human Services Child Care Services. Revisions to this guide were made concurrently with ELG for 3-5 to guide content consistency across ages and domains.,standard,,1.1
page_82.png,Oklahoma Early Learning Guidelines for Children Ages Three Through Five 2011,domain,,2
page_82.png,Oklahoma Department of Human Services Child Care Services,standard,,2.1
page_82.png,Head Start Early Learning Outcomes Framework 2015,domain,,3
page_82.png,The Head Start Early Learning Outcomes Framework Ages Birth to Five presents five broad areas of early learning referred to as central domains,standard,,3.1
page_82.png,Head Start Program Performance Standards 2016,domain,,4
page_82.png,Office of Head Start Administration for Children and Families Department of Health and Human Services,standard,,4.1
page_82.png,Little Texans Big Futures 2008,domain,,5
page_82.png,Early learning guide for infants toddlers and threes-year olds,standard,,5.1
page_82.png,Texas Early Learning Council The University of Texas Health Science Center at Houston Children's Learning Institute,standard,,5.2
page_82.png,National Association for the Education of Young Children,domain,,6
page_82.png,Program quality improvement through NAEYC early childhood program accreditation and best practice resources Washington DC,standard,,6.1
page_82.png,Washington State Early Learning and Development Guidelines Birth through 3rd Grade 2012,domain,,7
page_82.png,Washington State early learning and development benchmarks A guide to young children's learning and development Thrive by Five puts focus on early learning,standard,,7.1
page_82.png,WIDA Early English Language Development Standards 2012,domain,,8
page_82.png,The WIDA Early English Language Development E-ELD Standards were specifically developed to help support the unique language needs of children ages 25-55 years who are in the process of learning more than one language They also include connections to State ELGs Standards as well,standard,,8.1
page_82.png,Zero to Three Early Connections last a lifetime,domain,,9
page_82.png,The mission of Zero to Three is that all babies and toddlers have a strong start in life,standard,,9.1
page_41.png,statement,type,role,smartlevel
page_41.png,The child participates in activities involving small motor skills,domain,,1.0
page_41.png,Young Infant: 0-8 months,age_range,,1.1
page_41.png,The Baby May: Demonstrate basic small muscle movements.,standard,,1.1.1
page_41.png,Hold on to an adult's finger.,baby_might,baby,1.1.1.1
page_41.png,Offer a finger or thumb to grasp; and avoid putting objects in a very young infant's hand as he/she may be unable to release them.,teacher_can,teacher,1.1.1.1
page_41.png,Grasp and release whatever is put in his/her hand.,baby_might,baby,1.1.1.2
page_41.png,"Offer the infant a variety of toys which they are able to easily grasp and release. While the infant is experimenting with toys (soft blocks, musical toys, rattles), describe what the infant is doing. (For example:, ""You have a tight grip on the red rattle"").",teacher_can,teacher,1.1.1.2
page_41.png,Play with fingers and put them in mouth.,baby_might,baby,1.1.1.3
page_41.png,Incorporate a routine for frequent handwashing. Sing a handwashing song while assisting an infant to wash hands and encourage healthy habits.,teacher_can,teacher,1.1.1.3
page_41.png,Play with grasped objects.,baby_might,baby,1.1.1.4
page_41.png,"Provide toys the size so the infant can grasp, chew and explore. Offer toys with washable surfaces large enough to avoid choking. If infant is in a mixed-age group, teach older children to keep small parts away from babies. Monitor environment.",teacher_can,teacher,1.1.1.4
page_41.png,Reach for and swipe at dangling objects.,baby_might,baby,1.1.1.5
page_41.png,Place activity centers at the head or foot of a reclining or sitting infant. Sit beside the infant and encourage him/her to touch or move objects with hands or feet.,teacher_can,teacher,1.1.1.5
page_41.png,Rake objects with hands.,baby_might,baby,1.1.1.6
page_41.png,"Provide sensory experiences by placing textured objects such as activity blankets, feely boxes, or touch and feel boards on a flat surface in front of the infant.",teacher_can,teacher,1.1.1.6
page_55.png,statement,type,role,smartlevel
page_55.png,Mobile Infant: 6-18 months,age_range,,1.1.1
page_55.png,The Baby May: Increasingly show interest in surroundings and gather information through senses and movement.,standard,,1.1
page_55.png,Continue to explore cause and effect.,baby_might,baby,1.1.1.1
page_55.png,Discover the motion of objects.,baby_might,baby,1.1.1.2
page_55.png,Begin to solve problems.,baby_might,baby,1.1.1.3
page_55.png,Begin to notice the difference between familiar people and strangers. Reaction and responses may change.,baby_might,baby,1.1.1.4
page_55.png,Demonstrate object permanence.,baby_might,baby,1.1.1.5
page_55.png,Use simple tools in self-care and play.,baby_might,baby,1.1.1.6
page_55.png,Provide simple problem solving tasks such as two or three piece puzzles.,teacher_can,teacher,1.1.1.4
page_55.png,"Provide objects a child can explore to achieve a result. (For example: shake a rattle or  squeeze a toy to hear the sound, or touch the same to cause it to  light up)",teacher_can,teacher,1.1.1.5
page_55.png,"Provide a blanket and show how to make a toy on top of it come closer, use a small broom to sweep, feed self with spoon, push a toy cart, or play with pushbutton toys, etc.",teacher_can,teacher,1.1.1.8
page_55.png,"Provide toy shovels, tools, small brooms and dustpans, large spoons, pans and washcloths.",teacher_can,teacher,1.1.1.9
page_55.png,Provide child-sized spoons and sit and eat with the children to model meal time experiences.,teacher_can,teacher,1.1.1.10
page_57.png,statement,type,role,smartlevel
page_57.png,The child will investigate objects with physical properties and basic concepts of the earth.,standard,,2.0
page_57.png,Young Infant: 0-8 months,age_range,,2.1
page_57.png,The Baby May: Begin to notice the differences in physical characteristics of objects.,age_range,,2.1.1
page_57.png,Show interest in the natural world.,baby_might,baby,2.1.1.1
page_57.png,Begin to recognize people and objects based on simple differences.,baby_might,baby,2.1.1.2
page_57.png,Use his/her senses to experience physical properties of the environment.,baby_might,baby,2.1.1.3
page_57.png,Provide opportunities for an infant to be outdoors in a safe area where he/she can be closely supervised.,teacher_can,teacher,2.1.1.1
page_57.png,Provide opportunities to experience different properties such as cool/warm; smooth/rough and wet/dry.,teacher_can,teacher,2.1.1.2
page_57.png,Assist the infant to experience physical properties of objects. (For example: to hear the sound of gentle rain; to touch snow; to talk about seeing light come in the window; etc.).,teacher_can,teacher,2.1.1.3
page_57.png,Mobile Infant: 6-18 months,age_range,,2.2
page_57.png,The Baby May: Demonstrate motivation and curiosity in exploring the environment.,age_range,,2.2.1
page_57.png,Show interest in; investigate and respond to the environment.,baby_might,baby,2.2.1.1
page_57.png,Develop an awareness of materials of the earth.,baby_might,baby,2.2.1.2
page_57.png,Use simple language with weather concepts.,baby_might,baby,2.2.1.3
page_57.png,Provide safe opportunities for the child to explore the outside environment.,teacher_can,teacher,2.2.1.1
page_57.png,Provide close supervision and arrange the learning environment to include common earth materials. (For example: the feel of smooth rocks; soil; snow; leaves; etc.).,teacher_can,teacher,2.2.1.2
page_57.png,"Provide and expand on concepts such as when a child squints his/her eyes and the teacher says, ""The sun is bright outside  today,"" or When a child says, ""Hot,"" and the teacher says, ""It is hot today. We should play in the shade.""",teacher_can,teacher,2.2.1.3
page_56.png,statement,type,role,smartlevel
page_56.png,Toddler: 16-36 months,age_range,,1.1
page_56.png,The Toddler May: Begin to develop scientific skills such as observing  comparing objects and exploring the environment.,standard,,1.1.1
page_56.png,Expand understanding of cause and effect relationships.,baby_might,baby,1.1.1.1
page_56.png,Continue solving problems.,baby_might,baby,1.1.1.2
page_56.png,Continue to use senses to discover.,baby_might,baby,1.1.1.3
page_56.png,Use senses to observe changes in matter and combine materials to make new substances.,baby_might,baby,1.1.1.4
page_56.png,Expand vocabulary related to scientific concepts such as observing  exploring and comparing.,baby_might,baby,1.1.1.5
page_56.png,Use tools such as a magnifying glass  digital camera  or light table to observe and describe objects.,baby_might,baby,1.1.1.6
page_56.png,Use movement of objects to play with another child and/ or adult to influence movement.,baby_might,baby,1.1.1.7
page_56.png,Provide additional opportunities for child to affect the environment. (For example: containers to pour water  scales to balance or weigh objects  sand sifters  simple cooking experiences or gardening activities).,teacher_can,teacher,1.1.1.1
page_56.png,"Ask questions such as  ""What do you think the ball will do when I drop it?""",teacher_can,teacher,1.1.1.2
page_56.png,Provide problem solving games and materials such as shape  sorters  cardboard boxes  blocks  stacking toys and puzzles.,teacher_can,teacher,1.1.1.2
page_56.png,Provide a variety of experiences through sensory tables with nesting cups  large bead toys  large peg boards and stacking toys  etc.,teacher_can,teacher,1.1.1.3
page_56.png,Talk with child about natural objects and everyday events. (For example: How does the food smell  taste  etc.?),teacher_can,teacher,1.1.1.3
page_56.png,Provide experiences such as mixing paint colors  combining sand & water to make mud  etc.,teacher_can,teacher,1.1.1.4
