Item Type,Sequence,Human Code,Full Statement,Abbreviated Statement,Notes,Supp. Info,Ed. Level,Language
Label,2.9.2,,Toddler (TOD 24-36) Learning Outcome,,,,,
Developmental Milestones,2.9.2.1,,"Tries different methods to achieve goals, like turning an object to make it fit.",,,,,
Label,2.9.3,,Toddler (TOD 18-24) Learning Outcome,,,,,
Developmental Milestones,2.9.3.1,,Adapts to changes in routines with support.,,,,,
Label,2.9.4,,Infants (INF 8-18) Learning Outcome,,,,,
Developmental Milestones,2.9.4.1,,Uses alternate strategies when a preferred method does not work.,,,,,
Label,2.9.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,
Developmental Milestones,2.9.5.1,P-ATL.9.a,"""Child exhibits adaptability in new situations or changes in routine""",,,,,
Developmental Milestones,2.9.5.2,P-ATL.9.b,"""Child shows capability in problem-solving using different strategies""",,,,,
Developmental Milestones,2.9.5.3,P-ATL.9.c,"""Child portrays an understanding and acceptance of different perspectives and ideas""",,,,,
Label,2.9.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,
Standard,2.9.6.1,I.B.5,Demonstrates flexible thinking and behavior,,,,PK,
Developmental Milestones,2.9.6.2,I.B.5.a,Displays Cognitive Adaptability,,,,PK,
Developmental Milestones,2.9.6.3,I.B.5.b,Exhibits Behavioral Flexibility,,,,PK,
Developmental Milestones,2.9.6.4,I.B.5.c,Demonstrates Problem-solving Ability,,,,PK,
Standard,2.1,ATL.10,Child demonstrates initiative and independence,,,,,
Label,2.10.1,,Infants (INF 8-18) Learning Outcome,,,,,
Developmental Milestones,2.10.1.1,,Reaches for objects or moves toward items of interest.,,,,,
Label,2.10.2,,Infants (INF 0-8) Learning Outcome,,,,,
Developmental Milestones,2.10.2.1,,Explores toys and new environments with curiosity,,,,,
Label,2.10.3,,Toddler (TOD 18-24) Learning Outcome,,,,,
Developmental Milestones,2.10.3.1,,"Initiates simple actions, such as setting up toys for play.",,,,,
Label,2.10.4,,Toddler (TOD 24-36) Learning Outcome,,,,,
Developmental Milestones,2.10.4.1,,"Takes responsibility for small tasks, like putting toys away.",,,,,
Label,2.10.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,
Developmental Milestones,2.10.5.1,P-ATL.10.a,Child exhibits self-direction in play and learning activities.,,,,,
Developmental Milestones,2.10.5.2,P-ATL.10.b,Child independently completes tasks with minimal assistance.,,,,,
Developmental Milestones,2.10.5.3,P-ATL.10.c,Child shows curiosity and willingness to explore and try new activities.,,,,,
Label,2.10.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,
Standard,2.10.6.1,I.C.1,Demonstrates independence and initiative,,,,PK,
Developmental Milestones,2.10.6.2,I.C.1.a,Exhibits Self-Reliance,,,,PK,
Developmental Milestones,2.10.6.3,I.C.1.b,Shows Confidence in Decision-making,,,,PK,
Developmental Milestones,2.10.6.4,I.C.1.c,Displays Proactive Behaviour,,,,PK,
Standard,2.11,ATL.11,Child shows interest in and curiosity about the world around them,,,,,
Label,2.11.1,,Infants (INF 0-8) Learning Outcome,,,,,
Developmental Milestones,2.11.1.1,,"Explores surroundings by watching, grasping, or mouthing objects.",,,,,
Label,2.11.2,,Infants (INF 8-18) Learning Outcome,,,,,
Developmental Milestones,2.11.2.1,,Shows curiosity by pointing at or reaching for new objects,,,,,
Label,2.11.3,,Toddler (TOD 18-24) Learning Outcome,,,,,
Developmental Milestones,2.11.3.1,,"Investigates new objects or environments (e.g., opening drawers, lifting lids).",,,,,
Label,2.11.4,,Toddler (TOD 24-36) Learning Outcome,,,,,
Developmental Milestones,2.11.4.1,,"Demonstrates curiosity by asking specific questions (e.g., “What’s that sound?”).",,,,,
Label,2.11.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,
Developmental Milestones,2.11.5.1,P-ATL.11.a,Child engages with their environment,,,,,
Developmental Milestones,2.11.5.2,P-ATL.11.b,Child asks questions about unfamiliar things,,,,,
Developmental Milestones,2.11.5.3,P-ATL.11.c,Child exhibits exploratory behavior,,,,,
Label,2.11.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,
Standard,2.11.6.1,I.C.2,Displays curiosity,,,,PK,
Developmental Milestones,2.11.6.2,I.C.2.a,Asks Questions on topics of interest,,,,PK,
Developmental Milestones,2.11.6.3,I.C.2.b,'Experiments with Objects',,,,PK,
Developmental Milestones,2.11.6.4,I.C.2.c,'Shows Interest in Own Learning',,,,PK,
Standard,2.12,ATL.12,Child expresses creativity in thinking and communication,,,,,
Label,2.12.1,,Infants (INF 0-8) Learning Outcome,,,,,
Developmental Milestones,2.12.1.1,,"Reacts to varied stimuli, such as music or bright colors, with smiles or coos.",,,,,
Label,2.12.2,,Infants (INF 8-18) Learning Outcome,,,,,
Developmental Milestones,2.12.2.1,,Experiments with sounds or babbling to imitate words or melodies.,,,,,
Label,2.12.3,,Toddler (TOD 18-24) Learning Outcome,,,,,
Developmental Milestones,2.12.3.1,,"Combines words, gestures, or objects creatively (e.g., using a block as a phone).",,,,,
Label,2.12.4,,Toddler (TOD 24-36) Learning Outcome,,,,,
Developmental Milestones,2.12.4.1,,"Creates imaginative scenarios during play (e.g., “I’m a firefighter!”).",,,,,
Label,2.12.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,
Developmental Milestones,2.12.5.1,P-ATL.12.a,Child uses imaginative thinking to create new ideas or interpretations.',,,,,
Developmental Milestones,2.12.5.2,P-ATL.12.b,"Child conveys ideas and emotions through various forms of art, drama, and play.'",,,,,
Developmental Milestones,2.12.5.3,P-ATL.12.c,Child engages in storytelling or description to express thoughts and experiences.',,,,,
Label,2.12.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,
Standard,2.12.6.1,I.D.2,Exhibits creativity in thinking,,,,PK,
Developmental Milestones,2.12.6.2,I.D.2.a,"""Demonstrates ability to think of multiple solutions to a problem""",,,,PK,
Developmental Milestones,2.12.6.3,I.D.2.b,"""Applies imaginative thought in craftwork or storytelling""",,,,PK,
Developmental Milestones,2.12.6.4,I.D.2.c,"""Shows ability to approach familiar tasks in new and innovative ways""",,,,PK,
Standard,2.13,ATL.13,Child uses imagination in play and interaction with others,,,,,
Label,2.13.1,,Infants (INF 8-18) Learning Outcome,,,,,
Developmental Milestones,2.13.1.1,,"Reacts to playful activities, such as peek-a-boo or silly voices, with smiles or laughter.",,,,,
Label,2.13.2,,Infants (INF 0-8) Learning Outcome,,,,,
Developmental Milestones,2.13.2.1,,"Engages in simple imitative play (e.g., pretending to talk on a phone).",,,,,
Label,2.13.3,,Toddler (TOD 18-24) Learning Outcome,,,,,
Developmental Milestones,2.13.3.1,,"Engages in basic role-play, such as pretending to be a parent or an animal.",,,,,
Label,2.13.4,,Toddler (TOD 24-36) Learning Outcome,,,,,
Developmental Milestones,2.13.4.1,,"Creates extended pretend play sequences (e.g., cooking food and serving it to peers).",,,,,
Label,2.13.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,
Developmental Milestones,2.13.5.1,P-ATL.13.a,"""Child exhibits creative role-playing during playtime""",,,,,
Developmental Milestones,2.13.5.2,P-ATL.13.b,"""Child incorporates invented scenarios in social interactions""",,,,,
Developmental Milestones,2.13.5.3,P-ATL.13.c,"""Child applies inventive use of toys and props in play and interaction""",,,,,
Developmental Milestones,2.13.5.4,P-ATL.13.d,Play beside other children and imitate the play of another child.,,,,,
Label,2.13.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,
Standard,2.13.6.1,I.D.1,Uses imagination in play,,,,PK,
Developmental Milestones,2.13.6.2,I.D.1.a,Showcases Creativity in Art & Crafts,,,,PK,
Developmental Milestones,2.13.6.3,I.D.1.b,Engages in Pretend Play,,,,PK,
Developmental Milestones,2.13.6.4,I.D.1.c,Develops Storytelling Abilities,,,,PK,
Domain,3,SE,Domain #2: Social and Emotional Development,,,,,
Standard,3.1,SE.1,Child engages in and maintains positive relationships and interactions with adults,,,,,
Label,3.1.1,,Infants (INF 0-8) Learning Outcome,,,,,
Developmental Milestones,3.1.1.1,,Smiles or vocalizes in response to familiar voices.,,,,,
Label,3.1.2,,Infants (INF 8-18) Learning Outcome,,,,,
Developmental Milestones,3.1.2.1,,Calms when held by a familiar caregiver.,,,,,
Label,3.1.3,,Toddler (TOD 18-24) Learning Outcome,,,,,
Developmental Milestones,3.1.3.1,,"Initiates simple interactions, like holding hands.",,,,,
Label,3.1.4,,Toddler (TOD 24-36) Learning Outcome,,,,,
Developmental Milestones,3.1.4.1,,Seeks adults for comfort during challenges,,,,,
Label,3.1.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,
Developmental Milestones,3.1.5.1,P-SE.1.a,Child shows respect and responsive behavior towards adults.,,,,,
Developmental Milestones,3.1.5.2,P-SE.1.b,Child can build trusted relationships with adult figures.,,,,,
Developmental Milestones,3.1.5.3,P-SE.1.c,Child exhibits effective communication skills with adults.,,,,,
Label,3.1.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,
Standard,3.1.6.1,II.C.1,Communicates to build relationships,,,,PK,
Developmental Milestones,3.1.6.2,II.C.1.a,Verbal Expression,,,,PK,
Developmental Milestones,3.1.6.3,II.C.1.b,Active Listening,,,,PK,
Developmental Milestones,3.1.6.4,II.C.1.c,Emotional Intelligence,,,,PK,
Standard,3.1.6.5,II.C.2,Interacts positively with adults,,,,PK,
Developmental Milestones,3.1.6.6,II.C.2.a,Demonstrates respectful behavior towards adults.,,,,PK,
Developmental Milestones,3.1.6.7,II.C.2.b,Communicates effectively and expresses needs or feelings to adults.,,,,PK,
Developmental Milestones,3.1.6.8,II.C.2.c,Shows active listening and responds appropriately when adults speak.,,,,PK,
Standard,3.2,SE.2,Child engages in prosocial and cooperative behavior with adults,,,,,
Label,3.2.1,,Infants (INF 0-8) Learning Outcome,,,,,
Developmental Milestones,3.2.1.1,,Reacts to soothing voices by calming or smiling,,,,,
Label,3.2.2,,Infants (INF 8-18) Learning Outcome,,,,,
Developmental Milestones,3.2.2.1,,Attempts to mimic facial expressions during interactions,,,,,
Label,3.2.3,,Toddler (TOD 18-24) Learning Outcome,,,,,
Developmental Milestones,3.2.3.1,,"Shares simple tasks with adults (e.g., stacking blocks)",,,,,
Label,3.2.4,,Toddler (TOD 24-36) Learning Outcome,,,,,
Developmental Milestones,3.2.4.1,,Listens and follows basic directions in group settings,,,,,
Label,3.2.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,
Developmental Milestones,3.2.5.1,P-SE.2.b,Listens to and follows simple instructions given by adults.,,,,,
Developmental Milestones,3.2.5.2,P-SE.2.a,Initiates conversation with adults by asking questions or sharing information.,,,,,
Developmental Milestones,3.2.5.3,P-SE.2.c,Respects personal boundaries and space of adults.,,,,,
Label,3.2.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,
Standard,3.2.6.1,II.C.3,Behaves cooperatively with adults,,,,PK,
Developmental Milestones,3.2.6.2,II.C.3.a,Demonstrates respect for adult guidance,,,,PK,
Developmental Milestones,3.2.6.3,II.C.3.b,Shares and takes turns with adult assistance,,,,PK,
Developmental Milestones,3.2.6.4,II.C.3.c,Actively participates in adult-led activities,,,,PK,
Standard,3.2.6.5,II.A.1,Respects personal boundaries,,,,PK,
Developmental Milestones,3.2.6.6,II.A.1.a,Demonstrates understanding of personal space,,,,PK,
Developmental Milestones,3.2.6.7,II.A.1.b,Exhibits consent awareness,,,,PK,
Developmental Milestones,3.2.6.8,II.A.1.c,Shows sensitivity to personal feelings,,,,PK,
Standard,3.3,SE.3,Child engages in and maintains positive interactions and relationships with other children,,,,,
Label,3.3.1,,Infants (INF 0-8) Learning Outcome,,,,,
Developmental Milestones,3.3.1.1,,Watches and tracks behavior of other infants,,,,,
Label,3.3.2,,Infants (INF 8-18) Learning Outcome,,,,,
Developmental Milestones,3.3.2.1,,Looks back and forth between adult and toy while playing,,,,,
Label,3.3.3,,Toddler (TOD 18-24) Learning Outcome,,,,,
Developmental Milestones,3.3.3.1,,Plays side-by-side with others using similar toys,,,,,
Label,3.3.4,,Toddler (TOD 24-36) Learning Outcome,,,,,
Developmental Milestones,3.3.4.1,,Participates in simple group routines with peers,,,,,
Label,3.3.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,
Developmental Milestones,3.3.5.1,P-SE.3.b,Shows Empathy and Understanding,,,,,
Developmental Milestones,3.3.5.2,P-SE.3.a,Demonstrates Cooperative Play,,,,,
Developmental Milestones,3.3.5.3,P-SE.3.c,Develops Conflict Resolution Skills,,,,,
Label,3.3.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,
Standard,3.3.6.1,II.D.2,Initiates social interactions,,,,PK,
Developmental Milestones,3.3.6.2,II.D.2.a,Expresses feelings and emotions appropriately,,,,PK,
Developmental Milestones,3.3.6.3,II.D.2.b,Shows willingness to engage with peers,,,,PK,
Developmental Milestones,3.3.6.4,II.D.2.c,Understands simple social cues and norms,,,,PK,
Standard,3.3.6.5,II.D.6,Interacts with variety of peers,,,,PK,
Developmental Milestones,3.3.6.6,II.D.6.a,Demonstrates Cooperative Play,,,,PK,
Developmental Milestones,3.3.6.7,II.D.6.b,Exhibits Effective Communication,,,,PK,
Developmental Milestones,3.3.6.8,II.D.6.c,Shows Empathy Towards Peers,,,,PK,
Standard,3.4,SE.4,Child engages in cooperative play with other children,,,,,
Label,3.4.1,,Infants (INF 0-8) Learning Outcome,,,,,
Developmental Milestones,3.4.1.1,SE.4.A.1,Shows interest in another child’s actions,,,,,
Label,3.4.2,,Infants (INF 8-18) Learning Outcome,,,,,
Developmental Milestones,3.4.2.1,,"Reaches out to touch another child’s face, hair, or toy",,,,,
Label,3.4.3,,Toddler (TOD 18-24) Learning Outcome,,,,,
Developmental Milestones,3.4.3.1,,Engages in simple turn-taking games,,,,,
Label,3.4.4,,Toddler (TOD 24-36) Learning Outcome,,,,,
Developmental Milestones,3.4.4.1,,Demonstrates sharing with minimal support,,,,,
Label,3.4.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,
Developmental Milestones,3.4.5.1,P-SE.4.a,Shares toys and materials with other children during play.,,,,,
Developmental Milestones,3.4.5.2,P-SE.4.c,"Engages in group activities or games, cooperating with peers to achieve common goals.",,,,,
Developmental Milestones,3.4.5.3,P-SE.4.b,Works with other children to solve problems or complete tasks during play.,,,,,
Label,3.4.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,
Standard,3.4.6.1,II.D.7,Plays cooperatively with peers,,,,PK,
Developmental Milestones,3.4.6.2,II.D.7.a,"""Shares and takes turns with fellow peers during play""",,,,PK,
