Item Type,Sequence,Human Code,Full Statement,Abbreviated Statement,Notes,Supp. Info,Ed. Level,Language,Rewritten Statement
Developmental Milestones,2.2.5.1,P-ATL.2.a,Understanding and recalling classroom rules,,,,,,Follows simple rules during play.
Developmental Milestones,2.2.5.2,P-ATL.2.b,Applying routines independently,,,,,,- Follows simple daily routines on their own.
Developmental Milestones,2.2.5.3,P-ATL.2.c,Adaptability to changes in rules and routines,,,,,,Follows new routines with ease.
Label,2.2.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,2.2.6.1,I.A.1,Follows classroom rules,,,,PK,,- Listens to simple instructions.
Developmental Milestones,2.2.6.2,I.A.1.a,Recognizes and Understands Classroom Rules,,,,PK,,- Follows simple rules during play.
Developmental Milestones,2.2.6.3,I.A.1.b,Applies Classroom Rules in Daily Routine,,,,PK,,Follows simple rules during playtime.
Developmental Milestones,2.2.6.4,I.A.1.c,Exhibits Respect for Classroom Rules,,,,PK,,- Follows simple rules during play.
Standard,2.3,ATL.3,Child appropriately handles and takes care of classroom materials,,,,,,Puts toys back on the shelf after playing.
Label,2.3.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,2.3.1.1,,Grasps and explores objects with curiosity.,,,,,,- Picks up and looks at toys with interest.
Label,2.3.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,2.3.2.1,,Begins to place items in designated spaces with guidance.,,,,,,- Puts toys into the correct box with help.
Label,2.3.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,2.3.3.1,,"Helps with simple clean-up tasks, such as putting books back on a shelf.",,,,,,Puts books back on the shelf.
Label,2.3.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,2.3.4.1,,Begins to understand the value of taking care of shared materials.,,,,,,Helps put away toys after playing.
Label,2.3.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,2.3.5.1,P-ATL.3.a,Child demonstrates understanding of rules for using materials,,,,,,- Follows simple instructions when playing with toys.
Developmental Milestones,2.3.5.2,P-ATL.3.b,Child actively participates in the cleaning and return of materials,,,,,,- Picks up and puts away toys.
Developmental Milestones,2.3.5.3,P-ATL.3.c,Child displays awareness of classmates' use of materials,,,,,,Notices when others play with toys.
Label,2.3.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,2.3.6.1,I.A.2,Takes care of classroom materials,,,,PK,,- Puts toys back on the shelf after playing.
Developmental Milestones,2.3.6.2,I.A.2.a,Demonstrates Responsibility,,,,PK,,- Puts toys away after playing.
Developmental Milestones,2.3.6.3,I.A.2.b,Follows Usage Guidelines,,,,PK,,- Understands and uses simple rules.
Developmental Milestones,2.3.6.4,I.A.2.c,Engages in Clean-Up Activities,,,,PK,,- Picks up toys and puts them in a basket.
Standard,2.4,ATL.4,"Child manages actions, words, and behavior with increasing independence",,,,,,- Uses words and actions to express needs and feelings independently.
Label,2.4.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,2.4.1.1,,Reacts to caregiver’s facial expressions and calming voice,,,,,,Smiles or calms when the caregiver smiles or speaks softly.
Label,2.4.2,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,2.4.2.1,,Begins to stop or start actions based on simple verbal cues.,,,,,,"- Stops or starts actions when hearing simple words like ""go"" or ""stop."""
Label,2.4.3,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,2.4.3.1,,"Uses simple words to express needs or feelings instead of actions (e.g., “Mine!”).",,,,,,"Says simple words like ""Mine!"" to show needs or feelings."
Label,2.4.4,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,2.4.4.1,,Demonstrates self-control during transitions and group activities.,,,,,,Stays calm when changing activities or during group play.
Label,2.4.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,2.4.5.1,P-ATL.4.a,Child can complete age-appropriate tasks with little to no assistance (Self-sufficiency).,,,,,,- Completes simple tasks independently.
Developmental Milestones,2.4.5.2,P-ATL.4.b,Child demonstrates control over emotions and can communicate feelings appropriately (Emotional regulation and communication).,,,,,,- Uses simple words or gestures to show how they feel.
Developmental Milestones,2.4.5.3,P-ATL.4.c,"Child follows rules and instructions, showing an understanding of appropriate behavior (Understanding and adherence to rules).",,,,,,- Follows simple instructions and shows they know what to do.
Label,2.4.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,2.4.6.1,I.A.3,Regulates own behavior,,,,PK,,- Calms down when upset.
Developmental Milestones,2.4.6.2,I.A.3.b,Follows Rules and Routines,,,,PK,,Listens and follows simple daily routines.
Developmental Milestones,2.4.6.3,I.A.3.a,Demonstrates Self-Control,,,,PK,,*Waits for their turn during playtime.*
Standard,2.5,ATL.5,Child demonstrates an increasing ability to control impulses,,,,,,- Waits for a turn when playing with toys.
Label,2.5.1,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,2.5.1.1,,Waits briefly when attention is redirected.,,,,,,Pauses for a moment when attention shifts.
Label,2.5.2,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,2.5.2.1,,Pauses actions when a caregiver says “no” or redirects.,,,,,,"- Stops and looks at the caregiver when they say ""no."""
Label,2.5.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,2.5.3.1,,"Attempts self-control with gestures or words (e.g., waiting before grabbing a toy).",,,,,,- Uses gestures or words to wait before taking a toy.
Label,2.5.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,2.5.4.1,,"Controls impulses with guidance, such as refraining from interrupting.",,,,,,- Waits for a turn to speak when reminded.
Label,2.5.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,2.5.5.1,P-ATL.5.a,Child shows improvement in delaying immediate gratification for a bigger reward.,,,,,,Waits for a bigger treat instead of taking the first one.
Developmental Milestones,2.5.5.2,P-ATL.5.b,"Child increasingly adheres to set rules and boundaries, demonstrating enhanced self-discipline.",,,,,,- Follows simple rules and routines.
Developmental Milestones,2.5.5.3,P-ATL.5.c,Child often utilizes problem-solving strategies instead of acting on initial impulses.,,,,,,- Uses problem-solving skills to figure things out before acting.
Label,2.5.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,2.5.6.1,I.B.1,Controls impulses,,,,PK,,- Waits briefly before grabbing a toy.
Developmental Milestones,2.5.6.2,I.B.1.b,Follows Instructions,,,,PK,,- Listens and does simple tasks when asked.
Developmental Milestones,2.5.6.3,I.B.1.a,Practices Patience,,,,PK,,- Waits for a turn during play.
Developmental Milestones,2.5.6.4,I.B.1.c,Manages Emotions,,,,PK,,Shows feelings in different ways.
Standard,2.6,ATL.6,Child maintains focus and sustains attention with minimal adult support,,,,,,- Stays focused on a toy or activity with little help from an adult.
Label,2.6.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,2.6.1.1,,Watches moving objects or faces for short periods.,,,,,,- Follows moving objects or faces with their eyes for a little while.
Label,2.6.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,2.6.2.1,,"Focuses on activities, such as stacking blocks, for increasing durations.Engages with a single activity for a few minutes before seeking adult interaction.",,,,,,- Stacks blocks and plays for a few minutes before looking for a grown-up.
Label,2.6.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,2.6.3.1,,"Resumes tasks after mild distractions, such as looking back at a toy after hearing a noise.",,,,,,- Looks back at a toy after hearing a noise.
Label,2.6.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,2.6.4.1,,"Completes multi-step tasks with reminders (e.g., “Pick up the block and put it in the bin”).",,,,,,"- Follows simple directions, like ""Put the block in the bin."""
Label,2.6.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,2.6.5.1,P-ATL.6.a,Child engages with a single activity for an extended period (5-10 minutes) without frequent redirection.,,,,,,- Focuses on one toy or game for a few minutes without needing help.
Developmental Milestones,2.6.5.2,P-ATL.6.b,Child follows simple instructions and completes short tasks with minimal reminders from adults.,,,,,,Follows simple directions and finishes small tasks with little help.
Developmental Milestones,2.6.5.3,P-ATL.6.c,Child shows interest and curiosity by asking questions and exploring materials independently.,,,,,,- Explores toys and objects with curiosity and often asks simple questions.
Label,2.6.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,2.6.6.1,I.B.3,Maintains focus (group activity),,,,PK,,- Stays focused during playtime with others.
Developmental Milestones,2.6.6.2,I.B.3.a,Sustains Attention,,,,PK,,- Focuses on a toy or activity for a few minutes.
Developmental Milestones,2.6.6.3,I.B.3.b,Participates Cooperatively,,,,PK,,- Takes turns during play.
Developmental Milestones,2.6.6.4,I.B.3.c,Resists Distraction,,,,PK,,- Focuses on a toy or activity even when there are other sounds or movements around.
Standard,2.7,ATL.7,Child persists in tasks,,,,,,"Keeps trying to stack blocks, even if they fall."
Label,2.7.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,2.7.1.1,,"Attempts to grasp objects or roll over, even after initial failure.",,,,,,"- Tries to grab toys or roll over, even if it doesn't work the first time."
Label,2.7.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,2.7.2.1,,Seeks adult assistance if unable to complete a task independently.,,,,,,- Asks a grown-up for help when stuck on a task.
Label,2.7.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,2.7.3.1,,"Tries multiple approaches to solve problems, such as stacking blocks after a tower falls.",,,,,,- Stacks blocks again after they fall.
Label,2.7.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,2.7.4.1,,Uses trial-and-error methods without giving up quickly.,,,,,,Tries different ways to solve a problem without stopping right away.
Label,2.7.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,2.7.5.1,P-ATL.7.a,Developing focus,,,,,,- Watches a toy or face with interest.
Developmental Milestones,2.7.5.2,P-ATL.7.b,Demonstrating adaptive skills,,,,,,- Uses hands to feed themselves.
Developmental Milestones,2.7.5.3,P-ATL.7.c,Exhibiting perseverance,,,,,,Keeps trying to stack blocks even if they fall down.
Label,2.7.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,2.7.6.1,I.B.2,Persists in task (individual),,,,PK,,Keeps trying to stack blocks even if they fall down.
Developmental Milestones,2.7.6.2,I.B.2.a,Maintains Focus,,,,PK,,- Stays focused on a toy or activity for a few minutes.
Developmental Milestones,2.7.6.3,I.B.2.b,Exhibits Determination,,,,PK,,- Tries again when a toy is out of reach.
Developmental Milestones,2.7.6.4,I.B.2.c,Shows Task Completion,,,,PK,,- Finishes playing with a toy before moving to the next one.
Developmental Milestones,2.7.6.5,I.B.2.d,Child shows understanding by following three-step verbal directions.,,,,PK,,- Follows three simple directions in a row.
Standard,2.8,ATL.8,Child holds information in mind and manipulates it to perform tasks,,,,,,- Remembers and uses simple ideas to solve problems.
Label,2.8.1,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,2.8.1.1,,Searches for partially hidden objects during play.,,,,,,- Looks for toys that are partly covered.
Label,2.8.2,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,2.8.2.1,,"Completes simple cause-and-effect tasks based on past experiences (e.g., pressing a button to hear a sound).",,,,,,- Presses a button to make a sound.
Label,2.8.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,2.8.3.1,,"Completes familiar sequences, like stacking blocks in order, using memory.",,,,,,- Stacks blocks in a familiar order from memory.
Label,2.8.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,2.8.4.1,,Recalls and follows multi-step instructions with guidance.,,,,,,Follows simple steps with a little help.
Label,2.8.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,2.8.5.1,P-ATL.8.b,Child shows evidence of Cognitive Flexibility,,,,,,- Switches between different toys or activities easily.
Developmental Milestones,2.8.5.2,P-ATL.8.c,Task Execution is observed informally or formally.,,,,,,- Completes simple tasks with help or on their own.
Developmental Milestones,2.8.5.3,P-ATL.8.a,Child shows evidence of Memory Retention,,,,,,- Remembers where favorite toy is kept.
Label,2.8.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,2.8.6.1,I.B.4,Retains and recalls information,,,,PK,,- Remembers and retrieves familiar objects or actions.
Developmental Milestones,2.8.6.2,I.B.4.a,Short-term Memory Proficiency,,,,PK,,"- ""Remember where a toy is hidden after a short wait."""
Developmental Milestones,2.8.6.3,I.B.4.b,Long-term Memory Consolidation,,,,PK,,Remembers familiar faces and routines.
Developmental Milestones,2.8.6.4,I.B.4.c,Information Processing and Recall,,,,PK,,- Remembers and recognizes familiar faces and objects.
Standard,2.9,ATL.9,Child demonstrates flexibility in thinking and behavior,,,,,,- Shows different ways to solve a problem.
Label,2.9.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,2.9.1.1,,"Reacts differently to new stimuli, showing curiosity or caution.",,,,,,- Shows curiosity or caution when exploring new things.
Label,2.9.2,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,2.9.2.1,,"Tries different methods to achieve goals, like turning an object to make it fit.",,,,,,- Turns objects to make them fit.
Label,2.9.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,2.9.3.1,,Adapts to changes in routines with support.,,,,,,- Adjusts to new routines with a little help.
Label,2.9.4,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,2.9.4.1,,Uses alternate strategies when a preferred method does not work.,,,,,,Tries a new way when the first one doesn't work.
Label,2.9.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,2.9.5.1,P-ATL.9.a,"""Child exhibits adaptability in new situations or changes in routine""",,,,,,- Adjusts to new places or changes in routine with ease.
Developmental Milestones,2.9.5.2,P-ATL.9.b,"""Child shows capability in problem-solving using different strategies""",,,,,,- Uses different ways to solve simple problems.
Developmental Milestones,2.9.5.3,P-ATL.9.c,"""Child portrays an understanding and acceptance of different perspectives and ideas""",,,,,,- Recognizes and responds to others' feelings and ideas by nodding or smiling.
Label,2.9.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,2.9.6.1,I.B.5,Demonstrates flexible thinking and behavior,,,,PK,,"- Tries new ways to solve simple problems, like reaching for a toy."
Developmental Milestones,2.9.6.2,I.B.5.a,Displays Cognitive Adaptability,,,,PK,,Uses different ways to solve simple problems.
Developmental Milestones,2.9.6.3,I.B.5.b,Exhibits Behavioral Flexibility,,,,PK,,- Tries new activities or toys without becoming upset.
Developmental Milestones,2.9.6.4,I.B.5.c,Demonstrates Problem-solving Ability,,,,PK,,- Figures out how to get a toy that's out of reach.
Standard,2.1,ATL.10,Child demonstrates initiative and independence,,,,,,Explores toys and spaces on their own.
Label,2.10.1,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,2.10.1.1,,Reaches for objects or moves toward items of interest.,,,,,,- Grasps toys or crawls to explore interesting things.
Label,2.10.2,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,2.10.2.1,,Explores toys and new environments with curiosity,,,,,,- Reaches for and plays with new toys and objects.
Label,2.10.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,2.10.3.1,,"Initiates simple actions, such as setting up toys for play.",,,,,,- Starts play by arranging toys.
Label,2.10.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,2.10.4.1,,"Takes responsibility for small tasks, like putting toys away.",,,,,,- Puts toys back in their place.
Label,2.10.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,2.10.5.1,P-ATL.10.a,Child exhibits self-direction in play and learning activities.,,,,,,- Chooses toys or activities and plays independently.
Developmental Milestones,2.10.5.2,P-ATL.10.b,Child independently completes tasks with minimal assistance.,,,,,,- Completes simple tasks on their own with little help.
Developmental Milestones,2.10.5.3,P-ATL.10.c,Child shows curiosity and willingness to explore and try new activities.,,,,,,- Reaches out to touch and explore new objects nearby.
Label,2.10.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,2.10.6.1,I.C.1,Demonstrates independence and initiative,,,,PK,,Tries new activities on their own.
Developmental Milestones,2.10.6.2,I.C.1.a,Exhibits Self-Reliance,,,,PK,,"- Tries to do things on their own, like feeding or dressing."
Developmental Milestones,2.10.6.3,I.C.1.b,Shows Confidence in Decision-making,,,,PK,,Chooses toys or activities to play with.
Developmental Milestones,2.10.6.4,I.C.1.c,Displays Proactive Behaviour,,,,PK,,- Takes action to solve simple problems independently.
Standard,2.11,ATL.11,Child shows interest in and curiosity about the world around them,,,,,,- Explores new objects and surroundings with curiosity.
Label,2.11.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,2.11.1.1,,"Explores surroundings by watching, grasping, or mouthing objects.",,,,,,"- Touches, looks at, or puts toys in their mouth to explore."
Label,2.11.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,2.11.2.1,,Shows curiosity by pointing at or reaching for new objects,,,,,,Reaches for or points to new things.
Label,2.11.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,2.11.3.1,,"Investigates new objects or environments (e.g., opening drawers, lifting lids).",,,,,,Opens drawers and lifts lids to explore new things.
Label,2.11.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,2.11.4.1,,"Demonstrates curiosity by asking specific questions (e.g., “What’s that sound?”).",,,,,,"- Asks ""What's that?"" when hearing a new sound."
Label,2.11.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,2.11.5.1,P-ATL.11.a,Child engages with their environment,,,,,,- Explores surroundings by touching and looking at objects.
Developmental Milestones,2.11.5.2,P-ATL.11.b,Child asks questions about unfamiliar things,,,,,,"- Points to or touches new things and asks ""What’s that?"""
Developmental Milestones,2.11.5.3,P-ATL.11.c,Child exhibits exploratory behavior,,,,,,- Reaches for and investigates new objects with curiosity.
Label,2.11.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,2.11.6.1,I.C.2,Displays curiosity,,,,PK,,- Reaches out to explore new objects.
Developmental Milestones,2.11.6.2,I.C.2.a,Asks Questions on topics of interest,,,,PK,,- Asks about things they see or hear.
Developmental Milestones,2.11.6.3,I.C.2.b,'Experiments with Objects',,,,PK,,- **Plays with and explores different toys.**
Developmental Milestones,2.11.6.4,I.C.2.c,'Shows Interest in Own Learning',,,,PK,,- Explores new toys and activities with curiosity.
Standard,2.12,ATL.12,Child expresses creativity in thinking and communication,,,,,,Creates and shares imaginative stories or ideas through play and simple words.
Label,2.12.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,2.12.1.1,,"Reacts to varied stimuli, such as music or bright colors, with smiles or coos.",,,,,,- Smiles or coos when hearing music or seeing bright colors.
Label,2.12.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,2.12.2.1,,Experiments with sounds or babbling to imitate words or melodies.,,,,,,- Babble and mimic sounds or tunes.
Label,2.12.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,2.12.3.1,,"Combines words, gestures, or objects creatively (e.g., using a block as a phone).",,,,,,- Pretends a block is a phone while talking.
Label,2.12.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,2.12.4.1,,"Creates imaginative scenarios during play (e.g., “I’m a firefighter!”).",,,,,,Pretends to be a firefighter during play.
Label,2.12.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,2.12.5.1,P-ATL.12.a,Child uses imaginative thinking to create new ideas or interpretations.',,,,,,- Pretends with toys and makes up stories during play.
Developmental Milestones,2.12.5.2,P-ATL.12.b,"Child conveys ideas and emotions through various forms of art, drama, and play.'",,,,,,"- Paints, acts, and plays to show feelings and ideas."
Developmental Milestones,2.12.5.3,P-ATL.12.c,Child engages in storytelling or description to express thoughts and experiences.',,,,,,- Tells simple stories about their day.
Label,2.12.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,2.12.6.1,I.D.2,Exhibits creativity in thinking,,,,PK,,- Explores new ways to play with toys.
Developmental Milestones,2.12.6.2,I.D.2.a,"""Demonstrates ability to think of multiple solutions to a problem""",,,,PK,,- Tries different ways to solve a problem.
Developmental Milestones,2.12.6.3,I.D.2.b,"""Applies imaginative thought in craftwork or storytelling""",,,,PK,,- Pretends during play by making up stories or creating with art materials.
Developmental Milestones,2.12.6.4,I.D.2.c,"""Shows ability to approach familiar tasks in new and innovative ways""",,,,PK,,- Tries new ways to play with favorite toys.
Standard,2.13,ATL.13,Child uses imagination in play and interaction with others,,,,,,Pretends during play and interacts with others.
Label,2.13.1,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,2.13.1.1,,"Reacts to playful activities, such as peek-a-boo or silly voices, with smiles or laughter.",,,,,,- Giggles or smiles during peek-a-boo games or when hearing silly voices.
Label,2.13.2,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,2.13.2.1,,"Engages in simple imitative play (e.g., pretending to talk on a phone).",,,,,,Pretends to talk on a toy phone.
Label,2.13.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,2.13.3.1,,"Engages in basic role-play, such as pretending to be a parent or an animal.",,,,,,- Pretends to be a parent or an animal during play.
Label,2.13.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,2.13.4.1,,"Creates extended pretend play sequences (e.g., cooking food and serving it to peers).",,,,,,Pretends to cook and serve food to friends.
Label,2.13.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,2.13.5.1,P-ATL.13.a,"""Child exhibits creative role-playing during playtime""",,,,,,- Pretends to be different characters during play.
Developmental Milestones,2.13.5.2,P-ATL.13.b,"""Child incorporates invented scenarios in social interactions""",,,,,,- Pretends and plays make-believe with friends.
Developmental Milestones,2.13.5.3,P-ATL.13.c,"""Child applies inventive use of toys and props in play and interaction""",,,,,,- Uses toys in creative ways during play.
Developmental Milestones,2.13.5.4,P-ATL.13.d,Play beside other children and imitate the play of another child.,,,,,,Play next to other kids and copy what they're doing.
Label,2.13.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,2.13.6.1,I.D.1,Uses imagination in play,,,,PK,,Pretends to feed a stuffed animal.
Developmental Milestones,2.13.6.2,I.D.1.a,Showcases Creativity in Art & Crafts,,,,PK,,- Paints or draws using different colors and shapes.
Developmental Milestones,2.13.6.3,I.D.1.b,Engages in Pretend Play,,,,PK,,- Pretends to feed a doll or stuffed animal.
Developmental Milestones,2.13.6.4,I.D.1.c,Develops Storytelling Abilities,,,,PK,,Tells simple stories using gestures and words.
Domain,3,SE,Domain #2: Social and Emotional Development,,,,,,
Standard,3.1,SE.1,Child engages in and maintains positive relationships and interactions with adults,,,,,,Smiles and reaches out to familiar adults.
Label,3.1.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,3.1.1.1,,Smiles or vocalizes in response to familiar voices.,,,,,,- Smiles or coos when hearing a familiar voice.
Label,3.1.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,3.1.2.1,,Calms when held by a familiar caregiver.,,,,,,- Relaxes when cuddled by a known caregiver.
Label,3.1.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,3.1.3.1,,"Initiates simple interactions, like holding hands.",,,,,,- Holds hands to start playing together.
Label,3.1.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,3.1.4.1,,Seeks adults for comfort during challenges,,,,,,- Looks for a trusted grown-up when upset or needs help.
Label,3.1.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,3.1.5.1,P-SE.1.a,Child shows respect and responsive behavior towards adults.,,,,,,- Waves or smiles at familiar adults to show friendliness.
Developmental Milestones,3.1.5.2,P-SE.1.b,Child can build trusted relationships with adult figures.,,,,,,- Smiles and reaches for familiar adults to show trust.
