code,fullstatement,type
LIT.6,Child writes for a variety of purposes using increasingly sophisticated marks,Developmental Milestones
LIT.6.a,"Child demonstrates fine motor skills to create shapes, letters and pictures with a variety of writing tools.'",Standard
LIT.6.b,Child can differentiate and apply various types of marks to convey different meanings or purposes.',Developmental Milestones
LIT.6.c,Child develops the ability to produce increasingly complex and detailed markings representing greater command of written language.',Developmental Milestones
MATH.1,Child knows number names and the count sequence,Cluster
MATH.1.a,Child can accurately identify numbers when named or written.,Developmental Milestones
MATH.1.b,Child can recite the numerical order sequence correctly.,Developmental Milestones
MATH.1.c,Child can associate specific quantities with their corresponding number names.,Developmental Milestones
MATH.10,Child explores the positions of objects in space,0
MATH.10.a,Child Identifies Relative Positions,0
MATH.10.b,Child Manipulates Objects,0
MATH.10.c,Child Understands Directionality,0
MATH.2,Child recognizes the number of objects in a small set (subitizing),0
MATH.2.a,Child can visually identify and name numbers 1-5 without counting.,0
MATH.2.b,Child can group objects into sets equating to a given small number without counting.,0
MATH.2.c,"Child can instantly recognize number patterns within 5 using arrays, dice patterns or fingers.",0
MATH.3,Child understands the relationship between numbers and quantities,0
MATH.3.a,Child can match numbers with corresponding quantities,0
MATH.3.b,Child can order quantities according to number sequence,0
MATH.3.c,Child can perform simple addition and subtraction with quantities,0
MATH.4,Child compares numbers,0
MATH.4.a,Child identifies larger and smaller quantities.,0
MATH.4.b,"Child understands and uses terms related to quantity comparison (more, less, equal).",0
MATH.4.c,Child can arrange numbers in ascending and descending order.,0
MATH.5,Child associates a quantity with written numerals up to 5 and begins to write numbers,0
MATH.5.a,Child recognizes and accurately counts objects up to five.,0
MATH.5.b,Child matches written numerals to their corresponding quantities up to five.,0
MATH.5.c,Child begins to practice writing numerals up to five correctly.,0
MATH.6,Child understands addition as adding to and understands subtraction as taking away from,0
MATH.6.a,"""Child can use objects to demonstrate addition as 'adding to' in practical scenarios.""",0
MATH.6.b,"""Child can apply the concept of 'taking away from' when solving simple subtraction problems.""",0
MATH.6.c,"""Child can differentiate between addition and subtraction and identify their appropriate use in real-life situations.""",0
MATH.7,Child understands simple patterns,0
MATH.7.a,"Child identifies and describes simple sequences of objects based on their characteristics (color, shape, size, etc.).",0
MATH.7.b,Child predicts what comes next in a simple pattern.,0
MATH.7.c,Child recreates or continues a simple pattern using physical objects or images.,0
MATH.8,Child measures objects by their various attributes using standard and non-standard measurement; uses differences in attributes to make comparisons,0
MATH.8.a,Understanding of Measurement,0
MATH.8.b,Application of Measurement,0
MATH.8.c,Comparison and Differentiation,0
MATH.9,"Child identifies, describes, compares, and composes shapes",0
MATH.9.a,Recognizes differences in shapes,0
MATH.9.b,Can describe shapes with basic language,0
MATH.9.c,"Compare, compose and explore shapes",0
P-ATL.1.a,"""Child can identify and articulate their own emotions.""",Developmental Milestones
P-ATL.1.b,"""Child utilizes appropriate coping strategies to handle negative emotions.""",Developmental Milestones
P-ATL.1.c,"""Child independently resolves emotional distress or conflict, and can return to play or tasks.""",Standard
P-ATL.10.a,Child exhibits self-direction in play and learning activities.,Developmental Milestones
P-ATL.10.b,Child independently completes tasks with minimal assistance.,Developmental Milestones
P-ATL.10.c,Child shows curiosity and willingness to explore and try new activities.,Standard
P-ATL.11.a,Child engages with their environment,Developmental Milestones
P-ATL.11.b,Child asks questions about unfamiliar things,Standard
P-ATL.11.c,Child exhibits exploratory behavior,Developmental Milestones
P-ATL.12.a,Child uses imaginative thinking to create new ideas or interpretations.',Developmental Milestones
P-ATL.12.b,"Child conveys ideas and emotions through various forms of art, drama, and play.'",Developmental Milestones
P-ATL.12.c,Child engages in storytelling or description to express thoughts and experiences.',Developmental Milestones
P-ATL.13.a,"""Child exhibits creative role-playing during playtime""",Developmental Milestones
P-ATL.13.b,"""Child incorporates invented scenarios in social interactions""",Standard
P-ATL.13.c,"""Child applies inventive use of toys and props in play and interaction""",Developmental Milestones
P-ATL.13.d,Play beside other children and imitate the play of another child.,Developmental Milestones
P-ATL.2.a,Understanding and recalling classroom rules,Standard
P-ATL.2.b,Applying routines independently,Developmental Milestones
P-ATL.2.c,Adaptability to changes in rules and routines,Developmental Milestones
P-ATL.3.a,Child demonstrates understanding of rules for using materials,Developmental Milestones
P-ATL.3.b,Child actively participates in the cleaning and return of materials,Standard
P-ATL.3.c,Child displays awareness of classmates' use of materials,Developmental Milestones
P-ATL.4.a,Child can complete age-appropriate tasks with little to no assistance (Self-sufficiency).,Standard
P-ATL.4.b,Child demonstrates control over emotions and can communicate feelings appropriately (Emotional regulation and communication).,Developmental Milestones
P-ATL.4.c,"Child follows rules and instructions, showing an understanding of appropriate behavior (Understanding and adherence to rules).",Developmental Milestones
P-ATL.5.a,Child shows improvement in delaying immediate gratification for a bigger reward.,Developmental Milestones
P-ATL.5.b,"Child increasingly adheres to set rules and boundaries, demonstrating enhanced self-discipline.",Developmental Milestones
P-ATL.5.c,Child often utilizes problem-solving strategies instead of acting on initial impulses.,Developmental Milestones
P-ATL.6.a,Child engages with a single activity for an extended period (5-10 minutes) without frequent redirection.,Developmental Milestones
P-ATL.6.b,Child follows simple instructions and completes short tasks with minimal reminders from adults.,Developmental Milestones
P-ATL.6.c,Child shows interest and curiosity by asking questions and exploring materials independently.,Standard
P-ATL.7.a,Developing focus,Developmental Milestones
P-ATL.7.b,Demonstrating adaptive skills,Standard
P-ATL.7.c,Exhibiting perseverance,Developmental Milestones
P-ATL.8.a,Child shows evidence of Memory Retention,Standard
P-ATL.8.b,Child shows evidence of Cognitive Flexibility,Developmental Milestones
P-ATL.8.c,Task Execution is observed informally or formally.,Developmental Milestones
P-ATL.9.a,"""Child exhibits adaptability in new situations or changes in routine""",Developmental Milestones
P-ATL.9.b,"""Child shows capability in problem-solving using different strategies""",Standard
P-ATL.9.c,"""Child portrays an understanding and acceptance of different perspectives and ideas""",Developmental Milestones
P-LC.1.a,Listening Comprehension,Standard
P-LC.1.b,Active Engagement,Developmental Milestones
P-LC.1.c,Observer Learning,Developmental Milestones
P-LC.1.d,Develop an appreciation for music and participate in music and movement activities that represent a variety of the cultures and the home language of the children in the classroom.,Developmental Milestones
P-LC.1.e,"Understand pronouns such as me, mine, yours, him and her.",Developmental Milestones
P-LC.1.f,Attempt to sing songs with words and later sing phrases of songs.,Developmental Milestones
P-LC.2.a,Child comprehends and accurately interprets simple and compound instructions.,Developmental Milestones
P-LC.2.b,Child demonstrates proactive responses to verbal cues and commands from adults and peers.,Developmental Milestones
P-LC.2.c,Child exhibits an understanding of complex language by engaging in reciprocal conversations.,Standard
P-LC.2.d,Child answers simple questions,Developmental Milestones
P-SE.1.a,Child shows respect and responsive behavior towards adults.,Developmental Milestones
P-SE.1.b,Child can build trusted relationships with adult figures.,Developmental Milestones
P-SE.1.c,Child exhibits effective communication skills with adults.,Developmental Milestones
P-SE.10.a,"""Child demonstrates ability to perform simple tasks independently""",Developmental Milestones
P-SE.10.b,"""Child can identify and articulate personal strengths and achievements""",Standard
P-SE.10.c,"""Child shows self-affection and expresses pride in personal progress""",Developmental Milestones
P-SE.11.a,Recognizing Family and Community Roles,Developmental Milestones
P-SE.11.b,Developing Interpersonal Skills,Developmental Milestones
P-SE.11.c,Appreciating Diversity and Inclusion,Standard
P-SE.2.a,Initiates conversation with adults by asking questions or sharing information.,Standard
P-SE.2.b,Listens to and follows simple instructions given by adults.,Standard
P-SE.2.c,Respects personal boundaries and space of adults.,Developmental Milestones
P-SE.3.a,Demonstrates Cooperative Play,Developmental Milestones
P-SE.3.b,Shows Empathy and Understanding,Standard
P-SE.3.c,Develops Conflict Resolution Skills,Developmental Milestones
P-SE.4.a,Shares toys and materials with other children during play.,Developmental Milestones
P-SE.4.b,Works with other children to solve problems or complete tasks during play.,Developmental Milestones
P-SE.4.c,"Engages in group activities or games, cooperating with peers to achieve common goals.",Standard
P-SE.5.a,Child Identifies and Articulates the Conflict',Standard
P-SE.5.a,'Child Identifies and Articulates the Conflict',Standard
P-SE.5.b,Child Generates Possible Solutions',Developmental Milestones
P-SE.5.b,'Child Generates Possible Solutions',Developmental Milestones
P-SE.5.c,Child Actively Participates in Conflict Resolution',Developmental Milestones
P-SE.5.c,'Child Actively Participates in Conflict Resolution',Developmental Milestones
P-SE.6.a,Skill to Identify and Express Emotions,Developmental Milestones
P-SE.6.b,Emotional Recognition in Others,Developmental Milestones
P-SE.6.c,Emotional Regulation Skill,Developmental Milestones
P-SE.7.a,Demonstrates Empathy,Standard
P-SE.7.b,Social Interaction,Developmental Milestones
P-SE.7.c,Conflict Resolution,Developmental Milestones
P-SE.8.a,Demonstrates Self-Regulation,Developmental Milestones
P-SE.8.b,Identifies Emotions,Developmental Milestones
P-SE.8.c,Uses Coping Strategies,Standard
P-SE.9.a,Self-Recognition,Developmental Milestones
P-SE.9.b,Emotional Understanding,Standard
P-SE.9.c,Interest Exploration,Developmental Milestones
PMP.1,"Child demonstrates control, strength, and coordination of large muscles",0
PMP.1.a,"Child can successfully execute a range of activities exercising large muscles such as jumping, running, climbing, and balancing.",0
PMP.1.b,"Child shows significant improvements in muscle strength and can effectively handle objects like balls, hoops, or bicycles.",0
PMP.1.c,"Child exhibits coordinated movements in relation to spatial awareness, including maneuvering around obstacles.",0
PMP.2,Child uses perceptual information to guide motions and interactions with objects and other people,0
PMP.2.a,"Child can accurately interpret visual, auditory, and tactile information to determine distance, location, and characteristics of objects and beings.'",0
PMP.2.b,"Child is able to appropriately adjust movements and responses based on perceived information, demonstrating control of over their actions.'",0
PMP.2.c,Child can engage effectively in interactive activities by using perceptual cues to understand and respond to the actions of others.',0
PMP.3,"Child demonstrates increasing control, strength, and coordination of small muscles",0
PMP.3.a,Child demonstrates accurate handling and manipulation of objects,0
PMP.3.b,Child exhibits steady improvement in fine-motor tasks,0
PMP.3.c,Child displays growing strength in small muscle groups,0
PMP.4,Child demonstrates personal hygiene and self-care skills,0
PMP.4.a,"Child independently performs basic hygiene tasks such as washing hands, brushing teeth, and tidying up personal items.",0
PMP.4.b,Child understands the importance of a daily hygiene routine and can follow simple self-care instructions.,0
PMP.4.c,"Child recognizes the need for cleanliness and is able to identify when personal care, like using the restroom or cleaning up a spill, is needed.",0
PMP.5,Child develops knowledge and skills that help promote nutritious food choices and eating habits,0
PMP.5.a,Understanding Nutrition,0
PMP.5.b,Making Healthy Choices,0
PMP.5.c,Developing Healthy Eating Habits,0
PMP.6,Child demonstrates knowledge of personal safety practices and routines,0
PMP.6.a,"Child can identify potential dangers in various environments (home, school, playground).",0
PMP.6.b,"Child correctly follows personal safety routines like hand-washing, crossing the road, etc.",0
PMP.6.c,Child exhibits understanding of how to seek help from trusted adults in unsafe or uncomfortable situations.,0
SCI.1,"Child observes and describes observable phenomena (objects, materials, organisms, and events)",0
SCI.1.a,Child Identifies and Classifies Observable Materials,0
SCI.1.b,Child Demonstrates Basic Observation Techniques with Organisms and Events,0
SCI.1.c,Child Expresses Thoughts and Findings Verbally or Through Art,0
SCI.2,Child engages in scientific talk,0
SCI.2.a,Child uses appropriate and specific scientific vocabulary,0
SCI.2.b,Child asks inquiry-based questions,0
SCI.2.c,Child articulates observations and hypothesis,0
SCI.3,Child compares and categorizes observable phenomena,0
SCI.3.a,"Child sorts objects based on various criteria,",0
SCI.3.b,"The child is able to differentiate between various objects and phenomena based on their observable characteristics such as size, color, shape, and texture. This skill builds the foundation for making comparisons and distinctions between different phenomena.",0
SCI.3.c,"The child develops the ability to group similar objects and phenomena together based on their common features. They can sort objects into categories, such as animals and plants, or round and square objects.",0
SCI.3.d,The child starts to analyze and reason out the differences and similarities of objects and phenomena through keen observation.,0
SCI.4,"Child asks a question, gathers information, and makes predictions",0
SCI.4.a,Can formulate qQuestions,0
SCI.4.b,Understands the concept of gathering information to be analyzed later.,0
SCI.4.c,Can use the beginnings of predictive reasoning.,0
SCI.5,Child plans and conducts investigations and experiments,0
SCI.5.a,Child formulates hypotheses or predictions',0
SCI.5.b,Child gathers and uses data',0
SCI.5.c,Child analyzes results and makes conclusions',0
SCI.5.d,Acquire scientific knowledge related to life science (properties of living things).,0
SCI.5.e,Acquire scientific knowledge related to earth science (properties of the earth and objects in the sky).,0
SCI.6,"Child analyzes results, draws conclusions, and communicates results",0
SCI.6.a,Data Interpreting,0
SCI.6.b,Student uses critical thinking to analyze and interpret investigations.,0
SCI.6.c,Expressive Communication,0
SE.1,Child engages in and maintains positive relationships and interactions with adults,Developmental Milestones
SE.10,Child expresses confidence in own skills and positive feelings about self,Standard
SE.11,"Child has a sense of belonging to family, community, and other groups",Developmental Milestones
SE.2,Child engages in prosocial and cooperative behavior with adults,Developmental Milestones
SE.3,Child engages in and maintains positive interactions and relationships with other children,Developmental Milestones
SE.4,Child engages in cooperative play with other children,Standard
SE.4.A.1,Shows interest in another child’s actions,Developmental Milestones
SE.5,Child uses basic problem-solving to resolve conflicts with other children,Developmental Milestones
SE.6,Child expresses a broad range of emotions and recognizes these emotions in self and others,Developmental Milestones
SE.7,Child expresses care and concern toward others,Developmental Milestones
SE.8,Child manages emotions with increasing independence,Developmental Milestones
SE.9,"Child recognizes self as a unique individual having own abilities, characteristics, emotions, and interests",Developmental Milestones
