Item Type,Sequence,Human Code,Full Statement,Abbreviated Statement,Notes,Supp. Info,Ed. Level,Language,Rewritten Statement
Developmental Milestones,2.8.4.1,,Recalls and follows multi-step instructions with guidance.,,,,,,
Label,2.8.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,2.8.5.1,P-ATL.8.b,Child shows evidence of Cognitive Flexibility,,,,,,
Developmental Milestones,2.8.5.2,P-ATL.8.c,Task Execution is observed informally or formally.,,,,,,
Developmental Milestones,2.8.5.3,P-ATL.8.a,Child shows evidence of Memory Retention,,,,,,
Label,2.8.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,2.8.6.1,I.B.4,Retains and recalls information,,,,PK,, Remembers and repeats familiar actions or words.
Developmental Milestones,2.8.6.2,I.B.4.a,Short-term Memory Proficiency,,,,PK,,- **Remember favorite toys and look for them when they are out of sight.**
Developmental Milestones,2.8.6.3,I.B.4.b,Long-term Memory Consolidation,,,,PK,, Remembers familiar faces and toys after a short absence.
Developmental Milestones,2.8.6.4,I.B.4.c,Information Processing and Recall,,,,PK,, Remembers and recognizes familiar faces and objects.
Standard,2.9,ATL.9,Child demonstrates flexibility in thinking and behavior,,,,,,
Label,2.9.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,2.9.1.1,,"Reacts differently to new stimuli, showing curiosity or caution.",,,,,,
Label,2.9.2,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,2.9.2.1,,"Tries different methods to achieve goals, like turning an object to make it fit.",,,,,,
Label,2.9.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,2.9.3.1,,Adapts to changes in routines with support.,,,,,,
Label,2.9.4,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,2.9.4.1,,Uses alternate strategies when a preferred method does not work.,,,,,,
Label,2.9.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,2.9.5.1,P-ATL.9.a,"""Child exhibits adaptability in new situations or changes in routine""",,,,,,
Developmental Milestones,2.9.5.2,P-ATL.9.b,"""Child shows capability in problem-solving using different strategies""",,,,,,
Developmental Milestones,2.9.5.3,P-ATL.9.c,"""Child portrays an understanding and acceptance of different perspectives and ideas""",,,,,,
Label,2.9.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,2.9.6.1,I.B.5,Demonstrates flexible thinking and behavior,,,,PK,, Tries new ways to solve a problem or play with toys.
Developmental Milestones,2.9.6.2,I.B.5.a,Displays Cognitive Adaptability,,,,PK,, Tries new ways to solve simple problems.
Developmental Milestones,2.9.6.3,I.B.5.b,Exhibits Behavioral Flexibility,,,,PK,,Shows ability to adapt to changes in routine.
Developmental Milestones,2.9.6.4,I.B.5.c,Demonstrates Problem-solving Ability,,,,PK,,Figures out how to reach a toy that's out of reach.
Standard,2.1,ATL.10,Child demonstrates initiative and independence,,,,,,
Label,2.10.1,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,2.10.1.1,,Reaches for objects or moves toward items of interest.,,,,,,
Label,2.10.2,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,2.10.2.1,,Explores toys and new environments with curiosity,,,,,,
Label,2.10.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,2.10.3.1,,"Initiates simple actions, such as setting up toys for play.",,,,,,
Label,2.10.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,2.10.4.1,,"Takes responsibility for small tasks, like putting toys away.",,,,,,
Label,2.10.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,2.10.5.1,P-ATL.10.a,Child exhibits self-direction in play and learning activities.,,,,,,
Developmental Milestones,2.10.5.2,P-ATL.10.b,Child independently completes tasks with minimal assistance.,,,,,,
Developmental Milestones,2.10.5.3,P-ATL.10.c,Child shows curiosity and willingness to explore and try new activities.,,,,,,
Label,2.10.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,2.10.6.1,I.C.1,Demonstrates independence and initiative,,,,PK,, Tries new activities without help.
Developmental Milestones,2.10.6.2,I.C.1.a,Exhibits Self-Reliance,,,,PK,, Takes small steps to do things independently.
Developmental Milestones,2.10.6.3,I.C.1.b,Shows Confidence in Decision-making,,,,PK,, Chooses toys or activities independently.
Developmental Milestones,2.10.6.4,I.C.1.c,Displays Proactive Behaviour,,,,PK,, Reaches out to explore new toys or objects.
Standard,2.11,ATL.11,Child shows interest in and curiosity about the world around them,,,,,,
Label,2.11.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,2.11.1.1,,"Explores surroundings by watching, grasping, or mouthing objects.",,,,,,
Label,2.11.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,2.11.2.1,,Shows curiosity by pointing at or reaching for new objects,,,,,,
Label,2.11.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,2.11.3.1,,"Investigates new objects or environments (e.g., opening drawers, lifting lids).",,,,,,
Label,2.11.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,2.11.4.1,,"Demonstrates curiosity by asking specific questions (e.g., “What’s that sound?”).",,,,,,
Label,2.11.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,2.11.5.1,P-ATL.11.a,Child engages with their environment,,,,,,
Developmental Milestones,2.11.5.2,P-ATL.11.b,Child asks questions about unfamiliar things,,,,,,
Developmental Milestones,2.11.5.3,P-ATL.11.c,Child exhibits exploratory behavior,,,,,,
Label,2.11.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,2.11.6.1,I.C.2,Displays curiosity,,,,PK,, Explores new objects by touching or looking at them.
Developmental Milestones,2.11.6.2,I.C.2.a,Asks Questions on topics of interest,,,,PK,,"- Points and asks ""What's that?"" when curious."
Developmental Milestones,2.11.6.3,I.C.2.b,'Experiments with Objects',,,,PK,," ""Plays with toys to see what they can do."""
Developmental Milestones,2.11.6.4,I.C.2.c,'Shows Interest in Own Learning',,,,PK,, Explores new toys and activities with curiosity.
Standard,2.12,ATL.12,Child expresses creativity in thinking and communication,,,,,,
Label,2.12.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,2.12.1.1,,"Reacts to varied stimuli, such as music or bright colors, with smiles or coos.",,,,,,
Label,2.12.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,2.12.2.1,,Experiments with sounds or babbling to imitate words or melodies.,,,,,,
Label,2.12.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,2.12.3.1,,"Combines words, gestures, or objects creatively (e.g., using a block as a phone).",,,,,,
Label,2.12.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,2.12.4.1,,"Creates imaginative scenarios during play (e.g., “I’m a firefighter!”).",,,,,,
Label,2.12.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,2.12.5.1,P-ATL.12.a,Child uses imaginative thinking to create new ideas or interpretations.',,,,,,
Developmental Milestones,2.12.5.2,P-ATL.12.b,"Child conveys ideas and emotions through various forms of art, drama, and play.'",,,,,,
Developmental Milestones,2.12.5.3,P-ATL.12.c,Child engages in storytelling or description to express thoughts and experiences.',,,,,,
Label,2.12.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,2.12.6.1,I.D.2,Exhibits creativity in thinking,,,,PK,, Creates new ways to play with toys or everyday objects.
Developmental Milestones,2.12.6.2,I.D.2.a,"""Demonstrates ability to think of multiple solutions to a problem""",,,,PK,, Tries different ways to solve a problem.
Developmental Milestones,2.12.6.3,I.D.2.b,"""Applies imaginative thought in craftwork or storytelling""",,,,PK,, Pretends with toys or makes up simple stories.
Developmental Milestones,2.12.6.4,I.D.2.c,"""Shows ability to approach familiar tasks in new and innovative ways""",,,,PK,, Tries new ways to play with familiar toys.
Standard,2.13,ATL.13,Child uses imagination in play and interaction with others,,,,,,
Label,2.13.1,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,2.13.1.1,,"Reacts to playful activities, such as peek-a-boo or silly voices, with smiles or laughter.",,,,,,
Label,2.13.2,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,2.13.2.1,,"Engages in simple imitative play (e.g., pretending to talk on a phone).",,,,,,
Label,2.13.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,2.13.3.1,,"Engages in basic role-play, such as pretending to be a parent or an animal.",,,,,,
Label,2.13.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,2.13.4.1,,"Creates extended pretend play sequences (e.g., cooking food and serving it to peers).",,,,,,
Label,2.13.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,2.13.5.1,P-ATL.13.a,"""Child exhibits creative role-playing during playtime""",,,,,,
Developmental Milestones,2.13.5.2,P-ATL.13.b,"""Child incorporates invented scenarios in social interactions""",,,,,,
Developmental Milestones,2.13.5.3,P-ATL.13.c,"""Child applies inventive use of toys and props in play and interaction""",,,,,,
Developmental Milestones,2.13.5.4,P-ATL.13.d,Play beside other children and imitate the play of another child.,,,,,,
Label,2.13.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,2.13.6.1,I.D.1,Uses imagination in play,,,,PK,,"Pretends objects are something else, like using a block as a phone."
Developmental Milestones,2.13.6.2,I.D.1.a,Showcases Creativity in Art & Crafts,,,,PK,, Paints with fingers to create colorful pictures.
Developmental Milestones,2.13.6.3,I.D.1.b,Engages in Pretend Play,,,,PK,, Pretends to feed a doll or stuffed animal.
Developmental Milestones,2.13.6.4,I.D.1.c,Develops Storytelling Abilities,,,,PK,, Tells simple stories using words or gestures.
Domain,3,SE,Domain #2: Social and Emotional Development,,,,,,
Standard,3.1,SE.1,Child engages in and maintains positive relationships and interactions with adults,,,,,,
Label,3.1.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,3.1.1.1,,Smiles or vocalizes in response to familiar voices.,,,,,,
Label,3.1.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,3.1.2.1,,Calms when held by a familiar caregiver.,,,,,,
Label,3.1.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,3.1.3.1,,"Initiates simple interactions, like holding hands.",,,,,,
Label,3.1.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,3.1.4.1,,Seeks adults for comfort during challenges,,,,,,
Label,3.1.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,3.1.5.1,P-SE.1.a,Child shows respect and responsive behavior towards adults.,,,,,,
Developmental Milestones,3.1.5.2,P-SE.1.b,Child can build trusted relationships with adult figures.,,,,,,
Developmental Milestones,3.1.5.3,P-SE.1.c,Child exhibits effective communication skills with adults.,,,,,,
Label,3.1.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,3.1.6.1,II.C.1,Communicates to build relationships,,,,PK,,Uses sounds or gestures to connect with others.
Developmental Milestones,3.1.6.2,II.C.1.a,Verbal Expression,,,,PK,,"- Says simple words like ""mama"" or ""dada."""
Developmental Milestones,3.1.6.3,II.C.1.b,Active Listening,,,,PK,, Listens and responds to familiar voices or sounds.
Developmental Milestones,3.1.6.4,II.C.1.c,Emotional Intelligence,,,,PK,,"Shows feelings by smiling, frowning, or crying."
Standard,3.1.6.5,II.C.2,Interacts positively with adults,,,,PK,, Smiles or Reaches out to familiar adults.
Developmental Milestones,3.1.6.6,II.C.2.a,Demonstrates respectful behavior towards adults.,,,,PK,, Shows kindness to grown-ups by sharing toys or giving smiles.
Developmental Milestones,3.1.6.7,II.C.2.b,Communicates effectively and expresses needs or feelings to adults.,,,,PK,," Uses gestures, sounds, or simple words to show needs or feelings to adults."
Developmental Milestones,3.1.6.8,II.C.2.c,Shows active listening and responds appropriately when adults speak.,,,,PK,, Looks at adults and Smiles or babbles back when they talk.
Standard,3.2,SE.2,Child engages in prosocial and cooperative behavior with adults,,,,,,
Label,3.2.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,3.2.1.1,,Reacts to soothing voices by calming or smiling,,,,,,
Label,3.2.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,3.2.2.1,,Attempts to mimic facial expressions during interactions,,,,,,
Label,3.2.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,3.2.3.1,,"Shares simple tasks with adults (e.g., stacking blocks)",,,,,,
Label,3.2.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,3.2.4.1,,Listens and follows basic directions in group settings,,,,,,
Label,3.2.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,3.2.5.1,P-SE.2.b,Listens to and follows simple instructions given by adults.,,,,,,
Developmental Milestones,3.2.5.2,P-SE.2.a,Initiates conversation with adults by asking questions or sharing information.,,,,,,
Developmental Milestones,3.2.5.3,P-SE.2.c,Respects personal boundaries and space of adults.,,,,,,
Label,3.2.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,3.2.6.1,II.C.3,Behaves cooperatively with adults,,,,PK,, Plays nicely with grown-ups.
Developmental Milestones,3.2.6.2,II.C.3.a,Demonstrates respect for adult guidance,,,,PK,, Follows simple directions from adults.
Developmental Milestones,3.2.6.3,II.C.3.b,Shares and takes turns with adult assistance,,,,PK,, Takes turns and shares toys with a little help from grown-ups.
Developmental Milestones,3.2.6.4,II.C.3.c,Actively participates in adult-led activities,,,,PK,, Joins in games led by adults.
Standard,3.2.6.5,II.A.1,Respects personal boundaries,,,,PK,, Understands when to give others space.
Developmental Milestones,3.2.6.6,II.A.1.a,Demonstrates understanding of personal space,,,,PK,,Keeps a comfortable distance when playing with others.
Developmental Milestones,3.2.6.7,II.A.1.b,Exhibits consent awareness,,,,PK,,"- Shows understanding by nodding or saying ""yes"" or ""no"" when asked."
Developmental Milestones,3.2.6.8,II.A.1.c,Shows sensitivity to personal feelings,,,,PK,,Notices when others are sad or upset.
Standard,3.3,SE.3,Child engages in and maintains positive interactions and relationships with other children,,,,,,
Label,3.3.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,3.3.1.1,,Watches and tracks behavior of other infants,,,,,,
Label,3.3.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,3.3.2.1,,Looks back and forth between adult and toy while playing,,,,,,
Label,3.3.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
