filename,statement,type,smartlevel
page_4.png,"1. Makes eye contact, smiles, or stays close to familiar adults for emotional support and comfort when an unfamiliar adult approaches.",performance standards,1.1.2.2.1
page_4.png,16 Months to 36 Months,label,1.1.2.3
page_4.png,"1. Often watches from a distance or waits for reassurance from a familiar adult before approaching someone new.2. May engage in positive interactions when meeting new people, such as sharing a book with a visitor.",performance standards,1.1.2.3.1
page_4.png,Child learns to use familiar adults as a resource to meet needs.,Anchor Standard,1.1.3
page_4.png,Birth to 9 Months,label,1.1.3.1
page_4.png,1. Communicates needs to familiar adults by using a variety of behaviors.,performance standards,1.1.3.1.1
page_4.png,8 Months to 18 Months,label,1.1.3.2
page_4.png,1. Looks to or seeks help from familiar adults.,performance standards,1.1.3.2.1
page_4.png,16 Months to 36 Months,label,1.1.3.3
page_4.png,1. Asks a familiar adult for help or assistance when encountering difficult tasks or situations.,performance standards,1.1.3.3.1
page_5.png,statement,type,smartlevel
page_5.png,RELATIONSHIPS WITH OTHER CHILDREN,Content Area,1
page_5.png,Child shows interest in interacts with and develops personal relationships with other children,Domain,1.1
page_5.png,Birth to 9 Months,label,1.1.1
page_5.png,"Looks at attentively, touches or explores another child's face",performance standards,1.1.1.1
page_5.png,Show interest for familiar children through behaviors,performance standards,1.1.1.2
page_5.png,8 Months to 18 Months,label,1.1.2
page_5.png,Participates in simple back-and-forth interactions with another child,performance standards,1.1.2.1
page_5.png,Interacts with a few children on a regular basis,performance standards,1.1.2.2
page_5.png,16 Months to 36 Months,label,1.1.3
page_5.png,"Seeks out other children for social interactions, including initiating contact and responding to others",performance standards,1.1.3.1
page_5.png,Develops friendships and engages in more elaborate play with friends,performance standards,1.1.3.2
page_5.png,Child initiates and engages in play with other children,Anchor Standard,1.2
page_5.png,Birth to 9 Months,label,1.2.1
page_5.png,Responds to another child's actions or sounds during play with a toy by watching attentively touching the other child or reaching for or taking the toy,performance standards,1.2.1.1
page_5.png,8 Months to 18 Months,label,1.2.2
page_5.png,"Participates in simple imitative games, such as making similar sounds or doing similar actions of another child",performance standards,1.2.2.1
page_5.png,Plays next to other children with similar toys or materials,performance standards,1.2.2.2
page_5.png,16 Months to 36 Months,label,1.2.3
page_5.png,"Joins in play with other children by sometimes taking turns or doing joint activities with a common goal, such as building block structures with others or pretending to eat together",performance standards,1.2.3.1
page_5.png,EMOTIONAL FUNCTIONING,Content Area,2
page_5.png,Child learns to express a range of emotions,Domain,2.1
page_5.png,Birth to 9 Months,label,2.1.1
page_5.png,"Expresses feelings of comfort, discomfort enjoyment, fear hunger anger or unhappiness through facial expressions or gestures to prompt a response from a familiar adult",performance standards,2.1.1.1
page_5.png,8 Months to 18 Months,label,2.1.2
page_5.png,Expresses a variety of emotions and modifies their expressions according to the reactions of familiar adults based on the child's cultural (family) background,performance standards,2.1.2.1
page_5.png,16 Months to 36 Months,label,2.1.3
page_5.png,"Expresses a wide range of emotions including surprise guilt, embarrassment or pride based on increasing awareness of their effects on others",performance standards,2.1.3.1
Screenshot 2024-10-17 at 1.16.38 PM.png,statement,type,smartlevel
Screenshot 2024-10-17 at 1.16.38 PM.png,Infant and Toddler,Content Area,1
Screenshot 2024-10-17 at 1.16.38 PM.png,APPROACHES TO LEARNING Standards,Domain,1.1
Screenshot 2024-10-17 at 1.16.38 PM.png,EMOTIONAL AND BEHAVIORAL SELF-REGULATION,Domain,1.2
Screenshot 2024-10-17 at 1.16.38 PM.png,"Child manages feelings, emotions and support of familiar adults.",Anchor Standard,1.2.1
Screenshot 2024-10-17 at 1.16.38 PM.png,Birth to 9 Months,label,1.2.1.1
Screenshot 2024-10-17 at 1.16.38 PM.png,"1. Interacts with familiar adults for calming and comfort, and to share joy.",performance standards,1.2.1.1.1
Screenshot 2024-10-17 at 1.16.38 PM.png,9 Months to 18 Months,label,1.2.1.2
Screenshot 2024-10-17 at 1.16.38 PM.png,2. Seeks to be close to familiar adults for help with strong emotions and physical contact.,performance standards,1.2.1.2.1
Screenshot 2024-10-17 at 1.16.38 PM.png,18 Months to 36 Months,label,1.2.1.3
Screenshot 2024-10-17 at 1.16.38 PM.png,"3. Uses various strategies to help manage strong emotions, such as removing self from the situation, covering eyes or ears, or seeking support from a familiar adult.",performance standards,1.2.1.3.1
page_2.png,statement,type,smartlevel
page_2.png,Initiative and Curiousity,Content Area,1
page_2.png,Child demonstrates emerging initiative in interactions; experiences and explorations.,Domain,1.1
page_2.png,"Birth to 9 Months1. Initiates interactions with familiar adults through expressions, actions, sounds or behaviors.",label,1.1.1
page_2.png,Initiates interactions with familiar adults through expressions  actions  sounds or behaviors.,performance standards,1.1.1.1
page_2.png,8 Months to 18 Months1. Points to desired people objects or places and indicates actions such as looking for a favorite toy or bringing a book to a familiar adult to read.2. Actively resists actions or items not wanted.,label,1.1.2
page_2.png,Points to desired people objects or places and initiates actions such as looking for a favorite toy or bringing a book to a familiar adult to read.,performance standards,1.1.2.1
page_2.png,Actively resists actions or items not wanted.,performance standards,1.1.2.2
page_2.png,16 Months to 36 Months1. Prepares for or starts some activities without being directed by others such as getting ready for the next activity or bringing a ball to a new child at the playground.,label,1.1.3
page_2.png,Prepares for or starts some activities without being directed by others such as getting ready for the next activity or bringing a ball to a new child at the playground.,performance standards,1.1.3.1
page_2.png,Child demonstrates the ability to be flexible in actions and behavior.,Domain,1.2
page_2.png,Birth to 9 Months1. Shows repetitive patterns in actions or behaviors but sometimes tries more than one approach to solve a problem or interact with someone.,label,1.2.1
page_2.png,Shows repetitive patterns in actions or behaviors but sometimes tries more than one way to solve a problem or interact with someone.,performance standards,1.2.1.1
page_2.png,8 Months to 18 Months1. Shows ability to shift focus to attend to something else participate in a new activity or try a new approach to solving a problem.,label,1.2.2
page_2.png,Shows ability to shift focus to attend to something else participate in a new activity or try a new approach to solving a problem.,performance standards,1.2.2.1
page_2.png,16 Months to 36 Months1. Modifies actions or behavior in social situations daily routines and problem solving such as playing quietly when asked or adjusting to changes in schedule.,label,1.2.3
page_2.png,Modifies actions or behavior in social situations daily routines and problem solving such as playing quietly when asked or adjusting to changes in schedule.,performance standards,1.2.3.1
page_2.png,Child develops the ability to show persistence in actions and behavior.,Domain,1.3
page_2.png,Birth to 9 Months1. Shows increasing ability to continue interactions with familiar adults or toys for more time than in earlier months.,label,1.3.1
page_2.png,Shows increasing ability to continue interactions with familiar adults or toys for more increasing amounts of time.,performance standards,1.3.1.1
page_2.png,8 Months to 18 Months1. Shows willingness to repeat attempts to communicate or to solve a problem even when encountering difficulties.,label,1.3.2
page_2.png,Shows willingness to repeat attempts to communicate or to solve a problem even when encountering difficulties.,performance standards,1.3.2.1
page_2.png,16 Months to 36 Months1. Shows increasing ability to stay engaged when working towards a goal or solving a problem. Often tries different strategies until successful.,label,1.3.3
page_2.png,Shows increasing ability to stay engaged when working towards a goal or solving a problem. Often tries different strategies until successful.,performance standards,1.3.3.1
page_3.png,statement,type,smartlevel
page_3.png,Curiosity,Content Area,1
page_3.png,Birth to 9 Months,label,1.1
page_3.png,Shows excitement when engaged in learning,performance standards,1.1.1
page_3.png,"such as smiling, babbling, laughing after looking at a mobile, kicking or moving arms and legs in an emphatic way or knocking over a toy.",performance standards,1.1.2
page_3.png,8 Months to 18 Months,label,1.2
page_3.png,"Approaches new materials, experiences with others, or materials of interest with curiosity, such as intently listening to a new song or examining new toys or materials.",performance standards,1.2.1
page_3.png,Actively resists actions or items not wanted.,performance standards,1.2.2
page_3.png,16 Months to 36 Months,label,1.3
page_3.png,Participates in new experiences,performance standards,1.3.1
page_3.png,asks questions and seeks new experiences,performance standards,1.3.2
page_3.png,"such as experimenting with new things or materials, such as collecting leaves and pine cones in the fall.",performance standards,1.3.3
page_3.png,Creativity,Content Area,2
page_3.png,Birth to 9 Months,label,2.1
page_3.png,Uses a variety of ways to interact with other people,performance standards,2.1.1
page_3.png,"such as using expressions, actions, or behaviors based on responses of others.",performance standards,2.1.2
page_3.png,Makes discoveries about self,performance standards,2.1.3
page_3.png,others and the environment.,performance standards,2.1.4
page_3.png,8 Months to 18 Months,label,2.2
page_3.png,"Finds new things to do with familiar, everyday objects",performance standards,2.2.1
page_3.png,such as using a cooking pot for a hat or a spoon as a drumstick.,performance standards,2.2.2
page_3.png,Uses objects in new ways.,performance standards,2.2.3
page_3.png,16 Months to 36 Months,label,2.3
page_3.png,Combines objects or materials in new and unexpected ways.,performance standards,2.3.1
page_3.png,Shows interest in and curiosity about the world around them,performance standards,2.3.2
page_3.png,such as exploring new areas of a room.,performance standards,2.3.3
page_3.png,Seeks out new information and explores new play and tasks both independently and with adult support.,performance standards,2.3.4
page_3.png,Shows delight in creating something new.,performance standards,2.3.5
page_3.png,Birth to 9 Months,label,3.1
page_3.png,Emerging,performance standards,3.1.1
page_3.png,8 Months to 18 Months,label,3.2
page_3.png,Uses sounds,performance standards,3.2.1
page_3.png,"signs, or words playfully through songs, fingerplays or games.",performance standards,3.2.2
page_3.png,16 Months to 36 Months,label,3.3
page_3.png,Uses imagination to explore possible uses of objects and materials.,performance standards,3.3.1
page_3.png,Engages in make-believe play with other children.,performance standards,3.3.2
page_4.png,statement,type,smartlevel
page_4.png,INFANT AND TODDLER SOCIAL AND EMOTIONAL DEVELOPMENT Standards,Content Area,1
page_4.png,RELATIONSHIPS WITH ADULTS,Domain,1.1
page_4.png,Child develops expectations of consistent  positive interactions through secure relationships with familiar adults.,Anchor Standard,1.1.1
page_4.png,Birth to 9 Months,label,1.1.1.1
page_4.png,1. Interacts in predictable ways with familiar adults.2. Responds positively to familiar adults' age appropriate efforts to help with stressful moments.,performance standards,1.1.1.1.1
page_4.png,8 Months to 18 Months,label,1.1.1.2
page_4.png,1. Seeks familiar adults for emotional support and encouragement.2. Reacts or may become distressed when separated from familiar adult.,performance standards,1.1.1.2.1
page_4.png,16 Months to 36 Months,label,1.1.1.3
page_4.png,1. Engages in positive interactions in a wide variety of situations with familiar adults.2. Seeks a familiar adults for comfort when distressed or tired.,performance standards,1.1.1.3.1
page_4.png,Child uses expectations learned through repeated experiences in primary relationships to develop relationships with other adults.,Anchor Standard,1.1.2
page_4.png,Birth to 9 Months,label,1.1.2.1
page_4.png,1. Recognizes familiar adults.  2. May avoid or withdraw from unfamiliar adults.,performance standards,1.1.2.1.1
page_4.png,8 Months to 18 Months,label,1.1.2.2
page_4.png,1. Moves or stays close to familiar adults for emotional comfort when an unfamiliar adult approaches.,performance standards,1.1.2.2.1
page_4.png,16 Months to 36 Months,label,1.1.2.3
page_4.png,1. Often watches from a distance or waits for reassurance from a familiar adult before approaching someone new.2. May engage in positive interactions when meeting new people  such as  sharing a book with a visitor.,performance standards,1.1.2.3.1
page_4.png,Child learns to use familiar adults as a resource to meet needs.,Anchor Standard,1.1.3
page_4.png,Birth to 9 Months,label,1.1.3.1
page_4.png,1. Communicates needs to familiar adults by using a variety of behaviors.,performance standards,1.1.3.1.1
page_4.png,8 Months to 18 Months,label,1.1.3.2
page_4.png,1. Looks to or seeks help from familiar adults.,performance standards,1.1.3.2.1
page_4.png,16 Months to 36 Months,label,1.1.3.3
page_4.png,1. Asks a familiar adult for help or assistance when encountering difficult tasks or situations.,performance standards,1.1.3.3.1
page_5.png,statement,type,smartlevel
page_5.png,RELATIONSHIPS WITH OTHER CHILDREN,Content Area,1
page_5.png,"Child shows interest in, interacts with and develops personal relationships with other children.",Domain,1.1
page_5.png,Birth to 9 Months,label,1.1.1
page_5.png,"1. Looks at attentively, touches or explores another child's face.",performance standards,1.1.1.1
page_5.png,2. Show preference for familiar children through behaviors.,performance standards,1.1.1.2
page_5.png,8 Months to 18 Months,label,1.1.2
page_5.png,1. Participates in simple back-and-forth interactions with another child.,performance standards,1.1.2.1
page_5.png,"2. Interacts with a few children on a regular basis.""",performance standards,1.1.2.2
page_5.png,16 Months to 36 Months,label,1.1.3
page_5.png,"1. Seeks out other children for social interaction, including initiating contact and responding to others.",performance standards,1.1.3.1
page_5.png,"2. Develops friendships and engages in more elaborate play with friends.""",performance standards,1.1.3.2
page_5.png,Child initiates and engages in play with other children.,Domain,1.2
page_5.png,Birth to 9 Months,label,1.2.1
page_5.png,"1. Responds to another child's actions or sounds during play with a toy by watching attentively, touching the other child, or reaching for toy.",performance standards,1.2.1.1
page_5.png,8 Months to 18 Months,label,1.2.2
page_5.png,"1. Participates in simple imitation games, such as making similar sounds or running after another child.",performance standards,1.2.2.1
page_5.png,"2. Plays next to other children with similar toys or materials.""",performance standards,1.2.2.2
page_5.png,16 Months to 36 Months,label,1.2.3
page_5.png,"1. Joins in play with other children by sometimes taking turns or doing joint activities with a common goal, such as building block structures with others or pretending to eat together.",performance standards,1.2.3.1
page_5.png,EMOTIONAL FUNCTIONING,Content Area,2
page_5.png,Child learns to express a range of emotions.,Domain,2.1
page_5.png,Birth to 9 Months,label,2.1.1
page_5.png,"1. Expresses feelings of comfort, discomfort, enjoyment, fear, surprise, anger, or unhappiness through facial expressions or gestures to prompt a response from a familiar adult.",performance standards,2.1.1.1
page_5.png,8 Months to 18 Months,label,2.1.2
page_5.png,"1. Expresses a variety of emotions and modifies their expressions according to the reactions of familiar adults, based on the child's cultural norms.",performance standards,2.1.2.1
page_5.png,16 Months to 36 Months,label,2.1.3
page_5.png,"1. Expresses a wide range of emotions, including surprise, guilt, embarrassment, or pride, based on increasing awareness of their effects on others.",performance standards,2.1.3.1
Screenshot 2024-10-17 at 1.16.38 PM.png,statement,type,smartlevel
Screenshot 2024-10-17 at 1.16.38 PM.png,INFANT AND TODDLERAPPROACHES TO LEARNING Standards,Content Area,1
Screenshot 2024-10-17 at 1.16.38 PM.png,EMOTIONAL AND BEHAVIORAL SELF-REGULATION,Domain,1.1
Screenshot 2024-10-17 at 1.16.38 PM.png,Birth to 5 Months,label,1.1.1.1
Screenshot 2024-10-17 at 1.16.38 PM.png,1. Interacts with familiaradults for calming andcomfort. May demonstrateand to share joy.,performance standards,1.1.1.1.1
Screenshot 2024-10-17 at 1.16.38 PM.png,5 Months to 18 Months,label,1.1.1.2
Screenshot 2024-10-17 at 1.16.38 PM.png,"1. Seeks to be close to familiaradults for help with strongemotions,physical or socialcontact.",performance standards,1.1.1.2.1
Screenshot 2024-10-17 at 1.16.38 PM.png,18 Months to 36 Months,label,1.1.1.3
Screenshot 2024-10-17 at 1.16.38 PM.png,"1. Uses various strategies tohelp manage strong emotions,such asremoving self from thesituation,covering eyes orears,or seeking supportfrom a familiar adult.",performance standards,1.1.1.3.1
