Human Coding Scheme,Full Statement,Type,Smart Level
learn about a variety of topics (APL1.1j) 16 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL),Explores their own,Indicator,
learn about a variety of topics (APL1.1j) 16 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL),"Reaches, stretches, or",Indicator,
learn about a variety of topics (APL1.1j) 16 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL),Repeats actions to,Indicator,
learn about a variety of topics (APL1.1j) 16 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL),Repeats actions on,Indicator,
learn about a variety of topics (APL1.1j) 16 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL),Moves toward,Indicator,
learn about a variety of topics (APL1.1j) 16 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL),Seeks out objects that,Indicator,
learn about a variety of topics (APL1.1j) 16 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL),Plays with one object,Indicator,
learn about a variety of topics (APL1.1j) 16 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL),Initiates turn-taking,Indicator,
learn about a variety of topics (APL1.1j) 16 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL),Uses toys to make,Indicator,
learn about a variety of topics (APL1.1j) 16 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL),Makes attempts at new,Indicator,
learn about a variety of topics (APL1.1j) 16 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL),Suggests new ideas,Indicator,
learn about a variety of topics (APL1.1j) 16 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL),Seeks new challenges,Indicator,
"with familiar materials and activities independently (e.g., climbs up the slide) (APL1.2q) 17 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",monthsLater Infancy,Developmental Indicator,0-8
"with familiar materials and activities independently (e.g., climbs up the slide) (APL1.2q) 17 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",monthsEarly Toddler,Developmental Indicator,6-14
"with familiar materials and activities independently (e.g., climbs up the slide) (APL1.2q) 17 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",monthsLater Toddler,Developmental Indicator,12-24
"with familiar materials and activities independently (e.g., climbs up the slide) (APL1.2q) 17 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",monthsEarly Preschool,Developmental Indicator,22-36
"with familiar materials and activities independently (e.g., climbs up the slide) (APL1.2q) 17 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",monthsLater Preschool,Developmental Indicator,34-48
"with familiar materials and activities independently (e.g., climbs up the slide) (APL1.2q) 17 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",months,Developmental Indicator,44-60
"with familiar materials and activities independently (e.g., climbs up the slide) (APL1.2q) 17 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",Explores toys and safe,Indicator,
"with familiar materials and activities independently (e.g., climbs up the slide) (APL1.2q) 17 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",Imitates simple,Indicator,
"with familiar materials and activities independently (e.g., climbs up the slide) (APL1.2q) 17 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",Uses everyday objects,Indicator,
"with familiar materials and activities independently (e.g., climbs up the slide) (APL1.2q) 17 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",Plays with stuffed,Indicator,
"with familiar materials and activities independently (e.g., climbs up the slide) (APL1.2q) 17 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",Shows imagination by,Indicator,
"with familiar materials and activities independently (e.g., climbs up the slide) (APL1.2q) 17 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",Reenacts familiar,Indicator,
"with familiar materials and activities independently (e.g., climbs up the slide) (APL1.2q) 17 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",Incorporates props,Indicator,
"with familiar materials and activities independently (e.g., climbs up the slide) (APL1.2q) 17 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",Creates new words or,Indicator,
"with familiar materials and activities independently (e.g., climbs up the slide) (APL1.2q) 17 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",Begins to sequence,Indicator,
"with familiar materials and activities independently (e.g., climbs up the slide) (APL1.2q) 17 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",Connects dramatic,Indicator,
"with familiar materials and activities independently (e.g., climbs up the slide) (APL1.2q) 17 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",Utilizes realistic and,Indicator,
"with familiar materials and activities independently (e.g., climbs up the slide) (APL1.2q) 17 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",Shows purpose and,Indicator,
"inventiveness in play (e.g., collects different shapes of blocks to build a castle) (APL2.1q)18 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",monthsLater Infancy,Developmental Indicator,0-8
"inventiveness in play (e.g., collects different shapes of blocks to build a castle) (APL2.1q)18 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",monthsEarly Toddler,Developmental Indicator,6-14
"inventiveness in play (e.g., collects different shapes of blocks to build a castle) (APL2.1q)18 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",monthsLater Toddler,Developmental Indicator,12-24
"inventiveness in play (e.g., collects different shapes of blocks to build a castle) (APL2.1q)18 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",monthsEarly Preschool,Developmental Indicator,22-36
"inventiveness in play (e.g., collects different shapes of blocks to build a castle) (APL2.1q)18 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",monthsLater Preschool,Developmental Indicator,34-48
"inventiveness in play (e.g., collects different shapes of blocks to build a castle) (APL2.1q)18 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",months,Developmental Indicator,44-60
"inventiveness in play (e.g., collects different shapes of blocks to build a castle) (APL2.1q)18 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)","With adult support,",Indicator,
"inventiveness in play (e.g., collects different shapes of blocks to build a castle) (APL2.1q)18 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",Limits sensory input,Indicator,
"inventiveness in play (e.g., collects different shapes of blocks to build a castle) (APL2.1q)18 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",Notices when,Indicator,
"inventiveness in play (e.g., collects different shapes of blocks to build a castle) (APL2.1q)18 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",Kicks a toy repeatedly,Indicator,
"inventiveness in play (e.g., collects different shapes of blocks to build a castle) (APL2.1q)18 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",Sustains interest with,Indicator,
"inventiveness in play (e.g., collects different shapes of blocks to build a castle) (APL2.1q)18 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",Stays with a variety,Indicator,
"inventiveness in play (e.g., collects different shapes of blocks to build a castle) (APL2.1q)18 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",Sustains engagement,Indicator,
"inventiveness in play (e.g., collects different shapes of blocks to build a castle) (APL2.1q)18 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",Begins to attend to,Indicator,
"adult-initiated tasks that are not based on their interests (e.g., participates in a teacher-led small or large group) (APL3.1m)19 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",monthsLater Infancy,Developmental Indicator,0-8
"adult-initiated tasks that are not based on their interests (e.g., participates in a teacher-led small or large group) (APL3.1m)19 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",monthsEarly Toddler,Developmental Indicator,6-14
"adult-initiated tasks that are not based on their interests (e.g., participates in a teacher-led small or large group) (APL3.1m)19 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",monthsLater Toddler,Developmental Indicator,12-24
"adult-initiated tasks that are not based on their interests (e.g., participates in a teacher-led small or large group) (APL3.1m)19 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",monthsEarly Preschool,Developmental Indicator,22-36
"adult-initiated tasks that are not based on their interests (e.g., participates in a teacher-led small or large group) (APL3.1m)19 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",monthsLater Preschool,Developmental Indicator,34-48
"adult-initiated tasks that are not based on their interests (e.g., participates in a teacher-led small or large group) (APL3.1m)19 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",months,Developmental Indicator,44-60
"adult-initiated tasks that are not based on their interests (e.g., participates in a teacher-led small or large group) (APL3.1m)19 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",Shows recognition of,Indicator,
"adult-initiated tasks that are not based on their interests (e.g., participates in a teacher-led small or large group) (APL3.1m)19 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",Develops expectations,Indicator,
"adult-initiated tasks that are not based on their interests (e.g., participates in a teacher-led small or large group) (APL3.1m)19 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",Correctly looks and,Indicator,
"adult-initiated tasks that are not based on their interests (e.g., participates in a teacher-led small or large group) (APL3.1m)19 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",Sings some of the,Indicator,
"adult-initiated tasks that are not based on their interests (e.g., participates in a teacher-led small or large group) (APL3.1m)19 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",Follows simple 1-step,Indicator,
"adult-initiated tasks that are not based on their interests (e.g., participates in a teacher-led small or large group) (APL3.1m)19 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",Remembers where,Indicator,
"adult-initiated tasks that are not based on their interests (e.g., participates in a teacher-led small or large group) (APL3.1m)19 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",Plays simple memory,Indicator,
"adult-initiated tasks that are not based on their interests (e.g., participates in a teacher-led small or large group) (APL3.1m)19 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",Remembers and,Indicator,
"adult-initiated tasks that are not based on their interests (e.g., participates in a teacher-led small or large group) (APL3.1m)19 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",Remembers actions,Indicator,
"adult-initiated tasks that are not based on their interests (e.g., participates in a teacher-led small or large group) (APL3.1m)19 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",Teaches another child,Indicator,
"the steps taken for a given action (e.g., shows a peer how to use soap to wash hands before snack) (APL3.2o)20 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",monthsLater Infancy,Developmental Indicator,0-8
"the steps taken for a given action (e.g., shows a peer how to use soap to wash hands before snack) (APL3.2o)20 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",monthsEarly Toddler,Developmental Indicator,6-14
"the steps taken for a given action (e.g., shows a peer how to use soap to wash hands before snack) (APL3.2o)20 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",monthsLater Toddler,Developmental Indicator,12-24
"the steps taken for a given action (e.g., shows a peer how to use soap to wash hands before snack) (APL3.2o)20 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",monthsEarly Preschool,Developmental Indicator,22-36
"the steps taken for a given action (e.g., shows a peer how to use soap to wash hands before snack) (APL3.2o)20 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",monthsLater Preschool,Developmental Indicator,34-48
"the steps taken for a given action (e.g., shows a peer how to use soap to wash hands before snack) (APL3.2o)20 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",months,Developmental Indicator,44-60
"the steps taken for a given action (e.g., shows a peer how to use soap to wash hands before snack) (APL3.2o)20 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",Explores objects by,Indicator,
"the steps taken for a given action (e.g., shows a peer how to use soap to wash hands before snack) (APL3.2o)20 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",Modifies expressions,Indicator,
"the steps taken for a given action (e.g., shows a peer how to use soap to wash hands before snack) (APL3.2o)20 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",Participates in a new,Indicator,
"the steps taken for a given action (e.g., shows a peer how to use soap to wash hands before snack) (APL3.2o)20 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",Allows caregiver to,Indicator,
"the steps taken for a given action (e.g., shows a peer how to use soap to wash hands before snack) (APL3.2o)20 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",Modifies actions,Indicator,
"the steps taken for a given action (e.g., shows a peer how to use soap to wash hands before snack) (APL3.2o)20 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",Identifies signals,Indicator,
"the steps taken for a given action (e.g., shows a peer how to use soap to wash hands before snack) (APL3.2o)20 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",Makes transitions,Indicator,
"the steps taken for a given action (e.g., shows a peer how to use soap to wash hands before snack) (APL3.2o)20 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",Shows ability to shift,Indicator,
"the steps taken for a given action (e.g., shows a peer how to use soap to wash hands before snack) (APL3.2o)20 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",Considers ideas from,Indicator,
"the steps taken for a given action (e.g., shows a peer how to use soap to wash hands before snack) (APL3.2o)20 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",Demonstrates flexibility,Indicator,
"the steps taken for a given action (e.g., shows a peer how to use soap to wash hands before snack) (APL3.2o)20 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",Responds consistently,Indicator,
to adult suggestions to try out different activities (APL3.3p)21 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL),monthsLater Infancy,Developmental Indicator,0-8
to adult suggestions to try out different activities (APL3.3p)21 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL),monthsEarly Toddler,Developmental Indicator,6-14
to adult suggestions to try out different activities (APL3.3p)21 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL),monthsLater Toddler,Developmental Indicator,12-24
to adult suggestions to try out different activities (APL3.3p)21 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL),monthsEarly Preschool,Developmental Indicator,22-36
to adult suggestions to try out different activities (APL3.3p)21 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL),monthsLater Preschool,Developmental Indicator,34-48
to adult suggestions to try out different activities (APL3.3p)21 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL),months,Developmental Indicator,44-60
to adult suggestions to try out different activities (APL3.3p)21 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL),"With adult support,",Indicator,
to adult suggestions to try out different activities (APL3.3p)21 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL),Begins to inhibit,Indicator,
to adult suggestions to try out different activities (APL3.3p)21 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL),Uses strategies to help,Indicator,
control own actions more frequently such as creating physical distance or finding an alternative toy or activity (APL3.4f)22 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL),monthsLater Infancy,Developmental Indicator,0-8
control own actions more frequently such as creating physical distance or finding an alternative toy or activity (APL3.4f)22 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL),monthsEarly Toddler,Developmental Indicator,6-14
control own actions more frequently such as creating physical distance or finding an alternative toy or activity (APL3.4f)22 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL),monthsLater Toddler,Developmental Indicator,12-24
control own actions more frequently such as creating physical distance or finding an alternative toy or activity (APL3.4f)22 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL),monthsEarly Preschool,Developmental Indicator,22-36
control own actions more frequently such as creating physical distance or finding an alternative toy or activity (APL3.4f)22 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL),monthsLater Preschool,Developmental Indicator,34-48
control own actions more frequently such as creating physical distance or finding an alternative toy or activity (APL3.4f)22 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL),months,Developmental Indicator,44-60
control own actions more frequently such as creating physical distance or finding an alternative toy or activity (APL3.4f)22 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL),Cries persistently until,Indicator,
control own actions more frequently such as creating physical distance or finding an alternative toy or activity (APL3.4f)22 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL),Repeats attempts to,Indicator,
control own actions more frequently such as creating physical distance or finding an alternative toy or activity (APL3.4f)22 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL),Uses more than one,Indicator,
control own actions more frequently such as creating physical distance or finding an alternative toy or activity (APL3.4f)22 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL),Persists in looking,Indicator,
control own actions more frequently such as creating physical distance or finding an alternative toy or activity (APL3.4f)22 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL),Uses trial and error,Indicator,
control own actions more frequently such as creating physical distance or finding an alternative toy or activity (APL3.4f)22 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL),Repeats preferred,Indicator,
control own actions more frequently such as creating physical distance or finding an alternative toy or activity (APL3.4f)22 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL),Turns puzzle pieces,Indicator,
control own actions more frequently such as creating physical distance or finding an alternative toy or activity (APL3.4f)22 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL),Begins to use different,Indicator,
control own actions more frequently such as creating physical distance or finding an alternative toy or activity (APL3.4f)22 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL),Uses language to,Indicator,
control own actions more frequently such as creating physical distance or finding an alternative toy or activity (APL3.4f)22 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL),Alters approach to tasks,Indicator,
control own actions more frequently such as creating physical distance or finding an alternative toy or activity (APL3.4f)22 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL),Responds to adult’s,Indicator,
control own actions more frequently such as creating physical distance or finding an alternative toy or activity (APL3.4f)22 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL),Remembers solutions,Indicator,
control own actions more frequently such as creating physical distance or finding an alternative toy or activity (APL3.4f)22 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL),Responds to adult’s,Indicator,
control own actions more frequently such as creating physical distance or finding an alternative toy or activity (APL3.4f)22 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL),Figures out more than,Indicator,
"one solution to a problem (e.g., using packing tape with strings to hold cardboard pieces together when masking tape doesn’t work) (APL3.5s)23 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",monthsLater Infancy,Developmental Indicator,0-8
"one solution to a problem (e.g., using packing tape with strings to hold cardboard pieces together when masking tape doesn’t work) (APL3.5s)23 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",monthsEarly Toddler,Developmental Indicator,6-14
"one solution to a problem (e.g., using packing tape with strings to hold cardboard pieces together when masking tape doesn’t work) (APL3.5s)23 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",monthsLater Toddler,Developmental Indicator,12-24
