Age Group,Type,Developmental Indicator,Focus Area,SmartLevel,filename,Area,Sub Area
Younger Preschool,indicator,"Describes the spatial features of objects in the classroom, home, or neighborhood",CD3.3. Geometric thinking and spatial reasoning.,CD3.3j,page_52.png,COGNITIVE DEVELOPMENT (CD),CD3. MATHEMATICS
Younger Preschool,indicator,"Uses words about position - ""first"" or ""middle"" to describe the placement of a person or thing",CD3.3. Geometric thinking and spatial reasoning.,CD3.3p,page_52.png,COGNITIVE DEVELOPMENT (CD),CD3. MATHEMATICS
Younger Preschool,indicator,Uses words about direction and distance,CD3.3. Geometric thinking and spatial reasoning.,CD3.3q,page_52.png,COGNITIVE DEVELOPMENT (CD),CD3. MATHEMATICS
Younger Preschool,indicator,"In outside play, uses and responds to direction or position words",CD3.3. Geometric thinking and spatial reasoning.,CD3.3r,page_52.png,COGNITIVE DEVELOPMENT (CD),CD3. MATHEMATICS
Older Preschool,indicator,Uses smaller shapes to compose larger and different shapes,CD3.3. Geometric thinking and spatial reasoning.,CD3.3s,page_52.png,COGNITIVE DEVELOPMENT (CD),CD3. MATHEMATICS
Older Preschool,indicator,"Correctly names squares, rectangles and triangles regardless of size or orientation",CD3.3. Geometric thinking and spatial reasoning.,CD3.3m,page_52.png,COGNITIVE DEVELOPMENT (CD),CD3. MATHEMATICS
Older Preschool,indicator,Describes attributes of two and three dimensional shapes,CD3.3. Geometric thinking and spatial reasoning.,CD3.3n,page_52.png,COGNITIVE DEVELOPMENT (CD),CD3. MATHEMATICS
Older Preschool,indicator,"Draws and describes pictures that show relative locations and uses terms like ""next to"" or ""closer to""",CD3.3. Geometric thinking and spatial reasoning.,CD3.3o,page_52.png,COGNITIVE DEVELOPMENT (CD),CD3. MATHEMATICS
Early Infancy (Birth to 8 months),indicator,"Explores objects using various senses, such as mouthing, banging, shaking, and dropping",APL1.2. Taking initiative,APL1.2e,page_2.png,APPROACHES TO PLAY AND LEARNING (APL),APL1. CURIOSITY AND INITIATIVE
Later Infancy (6 to 14 months),indicator,Shows interest in new experiences and tries to get others involved,APL1.2. Taking initiative,APL1.2j,page_2.png,APPROACHES TO PLAY AND LEARNING (APL),APL1. CURIOSITY AND INITIATIVE
Later Infancy (6 to 14 months),indicator,"Uses toys to make things happen (e.g., pushes button on a toy to create a sound)",APL1.2. Taking initiative,APL1.2k,page_2.png,APPROACHES TO PLAY AND LEARNING (APL),APL1. CURIOSITY AND INITIATIVE
Early Toddler (12 to 24 months),indicator,Tries out different ways of using new materials,APL1.2. Taking initiative,APL1.2l,page_2.png,APPROACHES TO PLAY AND LEARNING (APL),APL1. CURIOSITY AND INITIATIVE
Later Toddler (22 to 36 months),indicator,"Purposely tries different ways of doing things to see what happens (e.g., builds ramps with different blocks to make their cars go faster and farther)",APL1.2. Taking initiative,APL1.2m,page_2.png,APPROACHES TO PLAY AND LEARNING (APL),APL1. CURIOSITY AND INITIATIVE
Later Toddler (22 to 36 months),indicator,"Makes attempts at new and challenging activities (e.g., climbs a new, higher slide)",APL1.2. Taking initiative,APL1.2n,page_2.png,APPROACHES TO PLAY AND LEARNING (APL),APL1. CURIOSITY AND INITIATIVE
Early Preschool (34 to 48 months),indicator,Chooses different ways to explore the environment based on prior experiences with tools or actions,APL1.2. Taking initiative,APL1.2o,page_2.png,APPROACHES TO PLAY AND LEARNING (APL),APL1. CURIOSITY AND INITIATIVE
Later Preschool (44 to 60 months),indicator,Suggests new ideas for play activities and follows through with self-direction and independence,APL1.2. Taking initiative,APL1.2p,page_2.png,APPROACHES TO PLAY AND LEARNING (APL),APL1. CURIOSITY AND INITIATIVE
Later Preschool (44 to 60 months),indicator,"Seeks new challenges with familiar materials and activities independently (e.g., climbs up the slide)",APL1.2. Taking initiative,APL1.2q,page_2.png,APPROACHES TO PLAY AND LEARNING (APL),APL1. CURIOSITY AND INITIATIVE
Early Infancy (0-8 months),indicator,Explores toys and objects with hands and mouth,APL2.1. Showing creativity and imagination,APL2.1a,page_3.png,APPROACHES TO PLAY AND LEARNING (APL),APL2. CREATIVITY AND IMAGINATION
Early Infancy (0-8 months),indicator,Observes other people's use of objects,APL2.1. Showing creativity and imagination,APL2.1b,page_3.png,APPROACHES TO PLAY AND LEARNING (APL),APL2. CREATIVITY AND IMAGINATION
Later Infancy (6-14 months),indicator,"Acts out simple actions (e.g., claps hands together, covers eyes with hands)",APL2.1. Showing creativity and imagination,APL2.1c,page_3.png,APPROACHES TO PLAY AND LEARNING (APL),APL2. CREATIVITY AND IMAGINATION
Early Toddler (12-24 months),indicator,Uses everyday objects for a variety of purposes,APL2.1. Showing creativity and imagination,APL2.1d,page_3.png,APPROACHES TO PLAY AND LEARNING (APL),APL2. CREATIVITY AND IMAGINATION
Early Toddler (12-24 months),indicator,"Uses familiar objects in pretend play (e.g., pretends a block is a phone)",APL2.1. Showing creativity and imagination,APL2.1e,page_3.png,APPROACHES TO PLAY AND LEARNING (APL),APL2. CREATIVITY AND IMAGINATION
Early Toddler (12-24 months),indicator,Plays with stuffed animals as though they were real,APL2.1. Showing creativity and imagination,APL2.1f,page_3.png,APPROACHES TO PLAY AND LEARNING (APL),APL2. CREATIVITY AND IMAGINATION
Early Toddler (12-24 months),indicator,"Shows imagination by taking on different roles in dramatic play (e.g., uses a block to represent a phone or hat)",APL2.1. Showing creativity and imagination,APL2.1g,page_3.png,APPROACHES TO PLAY AND LEARNING (APL),APL2. CREATIVITY AND IMAGINATION
Older Toddler (18-36 months),indicator,"Creates three-dimensional structures using blocks and found materials (e.g., boxes or sticks)",APL2.1. Showing creativity and imagination,APL2.1h,page_3.png,APPROACHES TO PLAY AND LEARNING (APL),APL2. CREATIVITY AND IMAGINATION
Older Toddler (18-36 months),indicator,"Incorporates props while taking on pretend roles (e.g., takes play dough to the oven)",APL2.1. Showing creativity and imagination,APL2.1i,page_3.png,APPROACHES TO PLAY AND LEARNING (APL),APL2. CREATIVITY AND IMAGINATION
Older Toddler (18-36 months),indicator,"Begins to sequence actions in dramatic play (e.g., gathers pots, spoons, and play food to ""make soup"")",APL2.1. Showing creativity and imagination,APL2.1j,page_3.png,APPROACHES TO PLAY AND LEARNING (APL),APL2. CREATIVITY AND IMAGINATION
Older Toddler (18-36 months),indicator,"During pretend play, communicates with self or peers about what is happening",APL2.1. Showing creativity and imagination,APL2.1k,page_3.png,APPROACHES TO PLAY AND LEARNING (APL),APL2. CREATIVITY AND IMAGINATION
Older Toddler (18-36 months),indicator,Engages in pretend play that connects to stories or life experiences,APL2.1. Showing creativity and imagination,APL2.1l,page_3.png,APPROACHES TO PLAY AND LEARNING (APL),APL2. CREATIVITY AND IMAGINATION
Older Toddler (18-36 months),indicator,Makes believe by creating new words or rhymes,APL2.1. Showing creativity and imagination,APL2.1m,page_3.png,APPROACHES TO PLAY AND LEARNING (APL),APL2. CREATIVITY AND IMAGINATION
Early Preschool (32-48 months),indicator,"Represents reality through the arts and with open-ended materials (e.g., by creating stories, drawing, or enacting experiences in dramatic play)",APL2.1. Showing creativity and imagination,APL2.1n,page_3.png,APPROACHES TO PLAY AND LEARNING (APL),APL2. CREATIVITY AND IMAGINATION
Later Preschool (44-60 months),indicator,Uses imagination with materials to create stories or works of art,APL2.1. Showing creativity and imagination,APL2.1o,page_3.png,APPROACHES TO PLAY AND LEARNING (APL),APL2. CREATIVITY AND IMAGINATION
Later Preschool (44-60 months),indicator,"Uses open-ended materials in cooperative pretend play (e.g., builds tent with sheets to create a campsite)",APL2.1. Showing creativity and imagination,APL2.1p,page_3.png,APPROACHES TO PLAY AND LEARNING (APL),APL2. CREATIVITY AND IMAGINATION
Later Preschool (44-60 months),indicator,"Shows purpose and inventiveness in play (e.g., uses different shapes of blocks to build a road, bridge, or stairs)",APL2.1. Showing creativity and imagination,APL2.1q,page_3.png,APPROACHES TO PLAY AND LEARNING (APL),APL2. CREATIVITY AND IMAGINATION
Later Preschool (44-60 months),indicator,"Represents events using props (e.g., pats doll on the back, says, ""night, night"" and puts it in the toy bed)",APL2.1. Showing creativity and imagination,APL2.1r,page_3.png,APPROACHES TO PLAY AND LEARNING (APL),APL2. CREATIVITY AND IMAGINATION
Early Infancy 0-8 months,indicator,"Shows a beginning alertness to something ""different"" by holding attention to briefly study the new item or face","CD3.4. Sorting, classifying, and patterning.",ps3,page_53.png,COGNITIVE DEVELOPMENT (CD),3. MATHEMATICS
Later Infancy 6-14 months,indicator,Anticipates the next move in a game of peek-a-boo,"CD3.4. Sorting, classifying, and patterning.",CD38,page_53.png,COGNITIVE DEVELOPMENT (CD),3. MATHEMATICS
Later Infancy 6-14 months,indicator,Anticipates the next action in a pattern of clapping or bouncing on a caregiver's knee,"CD3.4. Sorting, classifying, and patterning.",CD3.9,page_53.png,COGNITIVE DEVELOPMENT (CD),3. MATHEMATICS
Early Toddler 12-24 months,indicator,"Sorts and classifies by one attribute (e.g., all the blue cars)","CD3.4. Sorting, classifying, and patterning.",CD3.4a,page_53.png,COGNITIVE DEVELOPMENT (CD),3. MATHEMATICS
Early Toddler 12-24 months,indicator,"Imitates patterns in movement (e.g., clapping patterns)","CD3.4. Sorting, classifying, and patterning.",CD3.4b,page_53.png,COGNITIVE DEVELOPMENT (CD),3. MATHEMATICS
Early Toddler 12-24 months,indicator,"Imitates adult words in naming a pattern (e.g., ""little, big, little, big"")","CD3.4. Sorting, classifying, and patterning.",CD3.4c,page_53.png,COGNITIVE DEVELOPMENT (CD),3. MATHEMATICS
Later Toddler 22-36 months,indicator,Shows understanding of where things are placed by putting them in their place,"CD3.4. Sorting, classifying, and patterning.",CD3.4d,page_53.png,COGNITIVE DEVELOPMENT (CD),3. MATHEMATICS
Later Toddler 22-36 months,indicator,Predicts the next word or phrase in a familiar story,"CD3.4. Sorting, classifying, and patterning.",CD3.4h,page_53.png,COGNITIVE DEVELOPMENT (CD),3. MATHEMATICS
Later Toddler 22-36 months,indicator,"Recognizes and selects things that go together, such as shoe goes on foot, hat on head","CD3.4. Sorting, classifying, and patterning.",CD3.4i,page_53.png,COGNITIVE DEVELOPMENT (CD),3. MATHEMATICS
Early Preschool 34-48 months,indicator,"Identifies duplicates in a group of objects (e.g., two extra large blocks that are the same)","CD3.4. Sorting, classifying, and patterning.",CD3.4e,page_53.png,COGNITIVE DEVELOPMENT (CD),3. MATHEMATICS
Early Preschool 34-48 months,indicator,"Orders things by following a pattern (e.g., boy, girl, boy, girl)","CD3.4. Sorting, classifying, and patterning.",CD3.4g,page_53.png,COGNITIVE DEVELOPMENT (CD),3. MATHEMATICS
Early Preschool 34-48 months,indicator,"Recognizes and names simple, repeating patterns (e.g., A-B-A-B pattern of blocks or beads)","CD3.4. Sorting, classifying, and patterning.",CD3.4n,page_53.png,COGNITIVE DEVELOPMENT (CD),3. MATHEMATICS
Later Preschool 44-60 months,indicator,"Recognizes, names, and extends patterns","CD3.4. Sorting, classifying, and patterning.",CD3.4o,page_53.png,COGNITIVE DEVELOPMENT (CD),3. MATHEMATICS
Later Preschool 44-60 months,indicator,Discusses patterns in daily activities,"CD3.4. Sorting, classifying, and patterning.",CD3.4j,page_53.png,COGNITIVE DEVELOPMENT (CD),3. MATHEMATICS
Later Preschool 44-60 months,indicator,"Notices patterns in nature (e.g., types of leaves)","CD3.4. Sorting, classifying, and patterning.",CD3.4k,page_53.png,COGNITIVE DEVELOPMENT (CD),3. MATHEMATICS
Later Preschool 44-60 months,indicator,"Discusses the patterns in a storybook, nursery rhyme, or song (e.g., The Very Hungry Caterpillar)","CD3.4. Sorting, classifying, and patterning.",CD3.4l,page_53.png,COGNITIVE DEVELOPMENT (CD),3. MATHEMATICS
Later Preschool 44-60 months,indicator,"Discusses how patterns are made and how they can change (e.g., ""I am two years older than when I started school"")","CD3.4. Sorting, classifying, and patterning.",CD3.4p,page_53.png,COGNITIVE DEVELOPMENT (CD),3. MATHEMATICS
Early Infancy 0-8 months,indicator,"Reacts to, and eagerly observes, the actions of adults and peers (CD2.1a)",CD2.1. Learning about ways that people interact,CD2.1a,page_47.png,COGNITIVE DEVELOPMENT (CD),"D2. Social Science: People, Community, and Culture"
Later Infancy 6-14 months,indicator,"Uses expressions, movements and vocalizations to get attention from adults and older children for play or basic needs (CD2.1b)",CD2.1. Learning about ways that people interact,CD2.1b,page_47.png,COGNITIVE DEVELOPMENT (CD),"D2. Social Science: People, Community, and Culture"
Later Infancy 6-14 months,indicator,Shows preference for a familiar adult over others (CD2.1c),CD2.1. Learning about ways that people interact,CD2.1c,page_47.png,COGNITIVE DEVELOPMENT (CD),"D2. Social Science: People, Community, and Culture"
Toddler 12-24 months,indicator,"Imitates sounds, gestures and actions observed in daily interactions and routines (CD2.1d)",CD2.1. Learning about ways that people interact,CD2.1d,page_47.png,COGNITIVE DEVELOPMENT (CD),"D2. Social Science: People, Community, and Culture"
Early Preschool 24-36 months,indicator,"Uses props and dramatic play to play out roles (e.g. mother, teacher, baby) and play out relationships and routines such as feeding, shopping, or story time (CD2.1e)",CD2.1. Learning about ways that people interact,CD2.1e,page_47.png,COGNITIVE DEVELOPMENT (CD),"D2. Social Science: People, Community, and Culture"
Early Preschool 24-36 months,indicator,"Makes comments, signs, or gestures about family members and friends, including where they are and what they do (CD2.1f)",CD2.1. Learning about ways that people interact,CD2.1f,page_47.png,COGNITIVE DEVELOPMENT (CD),"D2. Social Science: People, Community, and Culture"
Early Preschool 24-36 months,indicator,Helps with daily routines at home or in the classroom (CD2.1g),CD2.1. Learning about ways that people interact,CD2.1g,page_47.png,COGNITIVE DEVELOPMENT (CD),"D2. Social Science: People, Community, and Culture"
Early Preschool 24-36 months,indicator,"Communicates about family members in terms of relationship (e.g. ""Riley is my sister"") (CD2.1h)",CD2.1. Learning about ways that people interact,CD2.1h,page_47.png,COGNITIVE DEVELOPMENT (CD),"D2. Social Science: People, Community, and Culture"
Later Preschool 36-48 months,indicator,"Communicates about family members in terms of roles (e.g. ""Grandma picks me up from school"") (CD2.1i)",CD2.1. Learning about ways that people interact,CD2.1i,page_47.png,COGNITIVE DEVELOPMENT (CD),"D2. Social Science: People, Community, and Culture"
Later Preschool 36-48 months,indicator,Communicates about past events and changes over time (CD2.1j),CD2.1. Learning about ways that people interact,CD2.1j,page_47.png,COGNITIVE DEVELOPMENT (CD),"D2. Social Science: People, Community, and Culture"
Later Preschool 36-48 months,indicator,"Communicates about the roles of people encountered in the community (e.g., bus driver, mail carrier) (CD2.1k)",CD2.1. Learning about ways that people interact,CD2.1k,page_47.png,COGNITIVE DEVELOPMENT (CD),"D2. Social Science: People, Community, and Culture"
Later Preschool 36-48 months,indicator,"Uses props and dramatic play to dramatize stories from culturally responsive books, movies and shows (CD2.1l)",CD2.1. Learning about ways that people interact,CD2.1l,page_47.png,COGNITIVE DEVELOPMENT (CD),"D2. Social Science: People, Community, and Culture"
Later Preschool 36-48 months,indicator,"Uses visual arts such as drawing, sculpting and building to show thinking (CD2.1m)",CD2.1. Learning about ways that people interact,CD2.1m,page_47.png,COGNITIVE DEVELOPMENT (CD),"D2. Social Science: People, Community, and Culture"
Early Elementary 48-60 months,indicator,"Describes the roles of people in the community through pictures, books and other media (e.g., cooks, factory workers) (CD2.1n)",CD2.1. Learning about ways that people interact,CD2.1n,page_47.png,COGNITIVE DEVELOPMENT (CD),"D2. Social Science: People, Community, and Culture"
Early Elementary 48-60 months,indicator,"Uses props and dramatic play to show growing awareness of larger world (using a computer, driving bus) (CD2.1o)",CD2.1. Learning about ways that people interact,CD2.1o,page_47.png,COGNITIVE DEVELOPMENT (CD),"D2. Social Science: People, Community, and Culture"
Early Elementary 48-60 months,indicator,"Shows more detail in drawings, building, models, and performances, reflecting expanding knowledge (CD2.1p)",CD2.1. Learning about ways that people interact,CD2.1p,page_47.png,COGNITIVE DEVELOPMENT (CD),"D2. Social Science: People, Community, and Culture"
DEVELOPMENTAL INDICATORS,indicator,"With aul help, ad (ins) wo sonal ets of objects (eg, t have neo books and you have wo books H. 'many books do we have all ogsther?™)",(CD32. Understanding number relationships and solving problems using operations,CD323,page_51.png,COGNITIVE DEVELOPMENT (CD),"D3, MATHEMATICS"
DEVELOPMENTAL INDICATORS,indicator,"With adule hep, suberats paras) sll ets of objects (eg, ""You have four ibbons: Ifyou share dee wich yous fends, how many will you have [ese"")",(CD32. Understanding number relationships and solving problems using operations,CD32,page_51.png,COGNITIVE DEVELOPMENT (CD),"D3, MATHEMATICS"
DEVELOPMENTAL INDICATORS,indicator,"Solves addition Goining problems tang manspulatves (eg, Anges, objects, lly marks)",(CD32. Understanding number relationships and solving problems using operations,CD32,page_51.png,COGNITIVE DEVELOPMENT (CD),"D3, MATHEMATICS"
DEVELOPMENTAL INDICATORS,indicator,"Solves subtaction Geparaing) problems using manipulatives eg Fingers, objects, cally marks)",(CD32. Understanding number relationships and solving problems using operations,CD32d,page_51.png,COGNITIVE DEVELOPMENT (CD),"D3, MATHEMATICS"
DEVELOPMENTAL INDICATORS,indicator,"With ade help, uses ""counting on"" asa araegy to solve addition (ning) problems (eg. ""Thave 3and 2 more gives me 59",(CD32. Understanding number relationships and solving problems using operations,CD32,page_51.png,COGNITIVE DEVELOPMENT (CD),"D3, MATHEMATICS"
DEVELOPMENTAL INDICATORS,indicator,"With aul help, uses counting back fiom' aa erategy to solve subtraction (Geparting) problems fe, To ake away 3 fom 5,054.3. leaves 2]",(CD32. Understanding number relationships and solving problems using operations,eps2y,page_51.png,COGNITIVE DEVELOPMENT (CD),"D3, MATHEMATICS"
Early Infancy (0-8 months),indicator,"Reacts with interest (e.g., stares, coos) to objects and sounds",CD11. Paying attention to the natural world,CD1.1a,page_45.png,AREA FIVE: COGNITIVE DEVELOPMENT (CD),D1. SCIENCE: THE NATURAL AND PHYSICAL WORLD
Early Infancy (0-8 months),indicator,Reaches for and moves toward objects,CD11. Paying attention to the natural world,CD1.1b,page_45.png,AREA FIVE: COGNITIVE DEVELOPMENT (CD),D1. SCIENCE: THE NATURAL AND PHYSICAL WORLD
Later Infancy (6-14 months),indicator,"Explores objects and materials in different ways (e.g., shaking, banging, throwing, dropping)",CD11. Paying attention to the natural world,CD1.1c,page_45.png,AREA FIVE: COGNITIVE DEVELOPMENT (CD),D1. SCIENCE: THE NATURAL AND PHYSICAL WORLD
Later Infancy (6-14 months),indicator,Shows more focus and persistence when examining or exploring items,CD11. Paying attention to the natural world,CD1.1d,page_45.png,AREA FIVE: COGNITIVE DEVELOPMENT (CD),D1. SCIENCE: THE NATURAL AND PHYSICAL WORLD
Early Toddler (12-24 months),indicator,"Observes and describes basic features of objects and living things (e.g., by using words, signs or gestures)",CD11. Paying attention to the natural world,CD1.1e,page_45.png,AREA FIVE: COGNITIVE DEVELOPMENT (CD),D1. SCIENCE: THE NATURAL AND PHYSICAL WORLD
Early Toddler (12-24 months),indicator,"Handles toys and materials in different ways (e.g., filling, dumping, etc.)",CD11. Paying attention to the natural world,CD1.1f,page_45.png,AREA FIVE: COGNITIVE DEVELOPMENT (CD),D1. SCIENCE: THE NATURAL AND PHYSICAL WORLD
VIRGINIA BOARD OF EDUCATION (Age group not specified),indicator,Identifies similarities and differences among objects and living things,CD11. Paying attention to the natural world,CD1.1g,page_45.png,AREA FIVE: COGNITIVE DEVELOPMENT (CD),D1. SCIENCE: THE NATURAL AND PHYSICAL WORLD
VIRGINIA BOARD OF EDUCATION (Age group not specified),indicator,"Observes and reacts with interest to natural phenomena using all senses (e.g., by using facial expressions, sounds, movement, drawing)",CD11. Paying attention to the natural world,CD1.1h,page_45.png,AREA FIVE: COGNITIVE DEVELOPMENT (CD),D1. SCIENCE: THE NATURAL AND PHYSICAL WORLD
VIRGINIA BOARD OF EDUCATION (Age group not specified),indicator,"Notices and reacts with interest to changes in nature and in substances (e.g., water, ice)",CD11. Paying attention to the natural world,CD1.1i,page_45.png,AREA FIVE: COGNITIVE DEVELOPMENT (CD),D1. SCIENCE: THE NATURAL AND PHYSICAL WORLD
VIRGINIA BOARD OF EDUCATION (Age group not specified),indicator,Uses adults' words and ideas when talking about the physical and natural worlds,CD11. Paying attention to the natural world,CD1.1k,page_45.png,AREA FIVE: COGNITIVE DEVELOPMENT (CD),D1. SCIENCE: THE NATURAL AND PHYSICAL WORLD
VIRGINIA BOARD OF EDUCATION (Age group not specified),indicator,"Shows thinking in drawings, construction, demonstrations",CD11. Paying attention to the natural world,CD1.1l,page_45.png,AREA FIVE: COGNITIVE DEVELOPMENT (CD),D1. SCIENCE: THE NATURAL AND PHYSICAL WORLD
VIRGINIA BOARD OF EDUCATION (Age group not specified),indicator,"Notices and asks questions about phenomena (e.g., by collecting, organizing, and describing materials according to their physical characteristics)",CD11. Paying attention to the natural world,CD1.1j,page_45.png,AREA FIVE: COGNITIVE DEVELOPMENT (CD),D1. SCIENCE: THE NATURAL AND PHYSICAL WORLD
Early Infancy 0-6 months,indicator,Shows awareness of what's going on around them by turning their head and looking around,APL1.1. Being curious learners,APL1.1a,page_1.png,APPROACHES TO PLAY AND LEARNING (APL),APL1. CURIOSITY AND INITIATIVE
Later Infancy 6-14 months,indicator,"Shows excitement with facial expressions, vocalizations or physical movements",APL1.1. Being curious learners,APL1.1b,page_1.png,APPROACHES TO PLAY AND LEARNING (APL),APL1. CURIOSITY AND INITIATIVE
Toddler 12-24 months,indicator,"Shows interest in new experiences such as reaching out to touch rain, hearing a new song, or examining new items",APL1.1. Being curious learners,APL1.1c,page_1.png,APPROACHES TO PLAY AND LEARNING (APL),APL1. CURIOSITY AND INITIATIVE
Toddler 12-24 months,indicator,"Participates in new experiences, begins to ask questions, and experiments with new materials",APL1.1. Being curious learners,APL1.1d,page_1.png,APPROACHES TO PLAY AND LEARNING (APL),APL1. CURIOSITY AND INITIATIVE
Toddler 12-24 months,indicator,Asks questions about materials and how they are used,APL1.1. Being curious learners,APL1.1e,page_1.png,APPROACHES TO PLAY AND LEARNING (APL),APL1. CURIOSITY AND INITIATIVE
Toddler 12-24 months,indicator,Shows interest and awareness in changes in the environment,APL1.1. Being curious learners,APL1.1f,page_1.png,APPROACHES TO PLAY AND LEARNING (APL),APL1. CURIOSITY AND INITIATIVE
Toddler 12-24 months,indicator,"Seeks out new information by asking ""Why?""",APL1.1. Being curious learners,APL1.1g,page_1.png,APPROACHES TO PLAY AND LEARNING (APL),APL1. CURIOSITY AND INITIATIVE
Toddler 12-24 months,indicator,"Shows curiosity by saying things like, ""I wonder what will happen next""",APL1.1. Being curious learners,APL1.1h,page_1.png,APPROACHES TO PLAY AND LEARNING (APL),APL1. CURIOSITY AND INITIATIVE
Toddler 12-24 months,indicator,"Seeks out new information by asking ""How does that work?""",APL1.1. Being curious learners,APL1.1i,page_1.png,APPROACHES TO PLAY AND LEARNING (APL),APL1. CURIOSITY AND INITIATIVE
Toddler 12-24 months,indicator,Shows eagerness to learn about a variety of topics,APL1.1. Being curious learners,APL1.1j,page_1.png,APPROACHES TO PLAY AND LEARNING (APL),APL1. CURIOSITY AND INITIATIVE
Early Infancy 0-6 months,indicator,"After observing a picture or display with one item, pays longer attention to a picture or display with two or three items","CD3.1, Comparing numbers, counting, and recognizing quantities",CD3.1a,page_50.png,COGNITIVE DEVELOPMENT (CD),"CD3, MATHEMATICS"
Later Infancy 6-14 months,indicator,"Says, signs or gestures for ""more"" to request additional food or toys","CD3.1, Comparing numbers, counting, and recognizing quantities",CD3.1b,page_50.png,COGNITIVE DEVELOPMENT (CD),"CD3, MATHEMATICS"
Early Toddler 12-24 months,indicator,Sings number words in chants or songs,"CD3.1, Comparing numbers, counting, and recognizing quantities",CD3.1c,page_50.png,COGNITIVE DEVELOPMENT (CD),"CD3, MATHEMATICS"
Early Toddler 12-24 months,indicator,Can name and sing/chant some numbers with no sequence,"CD3.1, Comparing numbers, counting, and recognizing quantities",CD3.1d,page_50.png,COGNITIVE DEVELOPMENT (CD),"CD3, MATHEMATICS"
Early Toddler 12-24 months,indicator,Notices or points to the presence of numbers (as distinct from letters) in the environment such as in books or on buildings or signs,"CD3.1, Comparing numbers, counting, and recognizing quantities",CD3.1e,page_50.png,COGNITIVE DEVELOPMENT (CD),"CD3, MATHEMATICS"
Early Toddler 12-24 months,indicator,"Compares quantities of items and indicates ""same"" or ""more""","CD3.1, Comparing numbers, counting, and recognizing quantities",CD3.1f,page_50.png,COGNITIVE DEVELOPMENT (CD),"CD3, MATHEMATICS"
Later Toddler 22-36 months,indicator,Begins to match numerals to the correct quantity (amount),"CD3.1, Comparing numbers, counting, and recognizing quantities",CD3.1g,page_50.png,COGNITIVE DEVELOPMENT (CD),"CD3, MATHEMATICS"
