filename,Code,statement,type,SmartLevel,
page_10.png,,Younger Preschoolers,label,1.6.4,
page_10.png,APL-6k,"Seek and make use of ideas and help from adults and peers to solve problems (""How can I make this paint get off my pants?""). APL-6k",developmental_indicator,1.6.4.1,
page_10.png,APL-6l,Purposefully use a variety of strategies to solve different types of problems. APL-6l,developmental_indicator,1.6.4.2,
page_10.png,APL-6m,Talk to themselves to work through the steps to solve a problem. APL-6m,developmental_indicator,1.6.4.3,
page_10.png,,Older Preschoolers,label,1.6.5,
page_10.png,APL-6n,"Seek and make use of ideas and help from adults and peers to solve problems (How can I make this paint get off my pants?""). APL-6n""",developmental_indicator,1.6.5.1,
page_10.png,APL-6o,Describe the steps they will use to solve a problem. APL-6o,developmental_indicator,1.6.5.2,
page_10.png,APL-6p,Evaluate different strategies for solving a problem and select the strategy they feel will work without having to try it. APL-6p,developmental_indicator,1.6.5.3,
page_10.png,APL-6q,Explain how they solved a problem to another person. APL-6q,developmental_indicator,1.6.5.4,
page_102.png,Goal CD-6,Children demonstrate knowledge of relationships and roles within their own families homes classrooms and communities.,goal,1.1,
page_102.png,CD-6a,Intently observe actions of children adults pets and objects nearby.,developmental_indicator,1.1.1.1,
page_102.png,CD-6b,Seek parents siblings caregivers and teachers for play and for meeting needs.,developmental_indicator,1.1.1.2,
page_102.png,CD-6c,"Imitate routine actions of their caregivers (e.g. rock a baby doll push a lawnmower ""read"" a magazine).",developmental_indicator,1.1.2.1,
page_102.png,CD-6d,Know whom they can go to for help (regular caregiver vs. visitor parent vs. neighbor).,developmental_indicator,1.1.2.2,
page_102.png,CD-6e,Use play to show what they know about relationships and other familiar contexts.,developmental_indicator,1.1.3.1,
page_102.png,CD-6f,"Talk about what others do during the day (""Mommy at home"" ""Mimi at work"").",developmental_indicator,1.1.3.2,
page_102.png,CD-6g,Help with daily routines (put cups out for lunch feed pets wash tables).,developmental_indicator,1.1.3.3,
page_102.png,CD-6h,"Talk about close family members name their relationships to each other and describe family routines ( ""Marika is my sister."" ""My grandma takes care of me at night."").",developmental_indicator,1.1.4.1,
page_102.png,CD-6i,Adopt roles of family and community members during play given support and realistic props.,developmental_indicator,1.1.4.2,
,CD-6j,"Recogize and identify the roles of some community helpers (police, fire fighters, garbage collectors).",,,
page_102.png,CD-6k,Talk about a wide circle of family members and other people important to the family their relationships to each other and shared experiences.,developmental_indicator,1.1.5.1,
page_102.png,CD-6l,Adopt roles of a wide variety of family and community members during dramatic play using props language and actions to add detail to their play.,developmental_indicator,1.1.5.2,
page_102.png,CD-6m,Recognize and identify the roles of a wide variety of community helpers (police fire fighters garbage collectors doctors dentists).,developmental_indicator,1.1.5.3,
page_103.png,Goal CD-7,"Children recognize that they are members of different groups (e.g., family, preschool class, cultural group).",goal,1.7,
page_103.png,,Infants,label,1.7.1,
page_103.png,CD-7a,Show a clear preference for familiar people.,developmental_indicator,1.7.1.1,
page_103.png,,Younger Toddlers,label,1.7.2,
page_103.png,CD-7b,"Recognize children and others they spend a lot of time with (make sounds, say name, move toward or away from child).",developmental_indicator,1.7.2.1,
page_103.png,,Older Toddlers,label,1.7.3,
page_103.png,CD-7c,"Put self into categories based on age, gender, and physical characteristics (""I'm a girl."").",developmental_indicator,1.7.3.1,
page_103.png,,Younger Preschoolers,label,1.7.4,
page_103.png,CD-7d,"Identify self as a part of a specific family, preschool class, or other familiar group (e.g., point to picture and say, ""That's my family,"" or ""I'm in Ms. Emily's class."").",developmental_indicator,1.7.4.1,
page_103.png,,Older Preschoolers,label,1.7.5,
page_103.png,CD-7e,"Identify and express self as a part of several groups (e.g., family, preschool class, faith community).",developmental_indicator,1.7.5.1,
page_104.png,Goal CD-8,Children identify and demonstrate acceptance of similarities and differences between themselves and others.,goal,1.8,
page_104.png,,Younger Toddlers,label,1.8.1,
page_104.png,CD-8a,Compare their own physical features with those of others by looking and touching. CD-8a,developmental_indicator,1.8.1.1,
page_104.png,,Older Toddlers,label,1.8.2,
page_104.png,CD-8b,"Describe people who are similar and different based on characteristics such as age, gender, and other physical characteristics. CD-8b",developmental_indicator,1.8.2.1,
page_104.png,CD-8c,Show awareness of similarities and differences among people and families during play. CD-8c,developmental_indicator,1.8.2.2,
page_104.png,,Younger Preschoolers,label,1.8.3,
page_104.png,CD-8d,Show acceptance of people who are different from themselves as well as people who are similar. CD-8d,developmental_indicator,1.8.3.1,
page_104.png,CD-8e,"Given support and guidance, explore different cultural practices during play and planned activities. CD-8e",developmental_indicator,1.8.3.2,
page_104.png,,Older Preschoolers,label,1.8.4,
page_104.png,CD-8f,Show acceptance of people who are different from themselves as well as people who are similar. CD-8f,developmental_indicator,1.8.4.1,
page_104.png,CD-8g,"Talk about how other children have different family members and family structures than their own (I live with my Grandma and Shanika lives with her Mom and Dad."" ""David's dad works but my Daddy stays home and takes care of me."")​. CD-8g""",label,1.8.5,
page_104.png,CD-8h,"Show acceptance of different cultures through exploration of varying customs and traditions, past and present (how people dress, how people speak, food, music, art, etc.). CD-8h",developmental_indicator,1.8.5.1,
page_105.png,Goal CD-9,Children explore concepts connected with their daily experiences in their community.,goal,1.1,
,,Older Toddlers,developmental_indicator,1.1.1,
,CD-9a,"Use play to communicate what they know about their community (pretend to go to a store, pretend to be a police person)",,,
,,Younger Preschoolers,,,
page_105.png,CD-9b,"Describe characteristics of the places where they live and play (say, ""My house is big and there are trees in my yard."" ""The playground has swings and a sandbox.""). CD-9f",developmental_indicator,1.1.4.1,
page_105.png,CD-9c,"Notice changes that happen over time (seasons, self or others growing bigger). CD-9c",developmental_indicator,1.1.4.2,
page_105.png,CD-9d,Notice and talk about weather conditions. CD-9d,developmental_indicator,1.1.4.3,
page_105.png,CD-9e,"With prompting and support, participate as a member of a democratic classroom community (vote for name of class pet, wait turn to paint when easels are full). CD-9e",developmental_indicator,1.1.4.4,
,,Older Preschoolers,,,
page_105.png,CD-9f,"Describe characteristics of the places where they live and play (say, ""My house is big and there are trees in my yard."" ""The playground has swings and a sandbox.""). CD-9f",developmental_indicator,1.1.5.1,
page_105.png,CD-9g,Observe and talk about changes in themselves and their families over time. CD-9g,developmental_indicator,1.1.5.2,
page_105.png,CD-9h,"Observe and talk about how people adapt to seasons and weather conditions (put out salt in icy weather, wear rain gear). CD-9h",developmental_indicator,1.1.5.3,
page_105.png,CD-9i,"Show awareness of the basic needs all families have (food, shelter, clothing) and how needs are met (work, help each other). CD-9i",developmental_indicator,1.1.5.4,
page_105.png,CD-9j,"Demonstrate positive social behaviors and take personal responsibility as a member of a group (share, take turns, follow rules, take responsibility for classroom jobs). CD-9j",developmental_indicator,1.1.5.5,
page_108.png,Goal CD-10,Children show understanding of numbers and quantities during play and other activities.,goal,1,
,,Infants,label,1.1,
page_108.png,CD-10a,"Indicate they want ""more"" with signs  sounds or looks. CD10a",developmental_indicator,1.1.1.1,
page_108.png,CD-10b,• Show interest (look at or reach for) in obvious differences in quantity (look at a tower with 3 blocks longer than a tower with 7 blocks  reach for a basket with three balls rather than a basket with one ball). CD-10b,developmental_indicator,1.1.1.2,
,,Younger Toddlers,,,
page_108.png,CD-10c,• Explore quantity (for example  filling and dumping containers). CD-10c,developmental_indicator,1.1.2.1,
page_108.png,CD-10d,"• Use words or actions that show understanding of the concepts of ""more "" ""all "" and/or ""none"" (ask for more food  stop asking for more blocks when told they have ""all"" of the blocks  dump out all blocks when told there is no more Play-Doh®). CD-10f",developmental_indicator,1.1.2.2,
page_108.png,CD-10e,• Recognize the difference between two small sets of objects (6 or under) that include a different number of objects (point to which set of crayons has more). CD-10e,developmental_indicator,1.1.2.3,
,,Older Toddlers,,,
page_108.png,CD-10f,"• Use words or actions that show understanding of the concepts of ""more "" ""all "" and/or ""none"" (ask for more food when told they have ""all"" of the blocks). CD-10d",developmental_indicator,1.1.3.1,
page_108.png,CD-10g,• Attempt to chant or recite numbers but not necessarily in the correct order. CD-10g,developmental_indicator,1.1.3.2,
page_108.png,CD-10h,• Place items in one-to-one correspondence during play and daily routines (one spoon at each plate; one doll in each toy car). CD-10h,developmental_indicator,1.1.3.3,
,CD-10i,Make a small group (1-3) with the same number of items as another group of items (take 3 balls from a basket after the teacher shows the group that she has 3 balls and asks each person to take the same number of balls).,developmental_indicator,1.1.3.4,
,,Younger Preschoolers,,,
page_108.png,CD-10j,• Rote count in order to 10 with increasing accuracy. CD-10j,developmental_indicator,1.1.4.1,
page_108.png,CD-10k,"• Count up to 5 objects arranged in a line using one-to-one correspondence with increasing accuracy and answer the question ""How many?"" CD-10k",developmental_indicator,1.1.4.2,
page_108.png,CD-10l,• Compare visually two groups of objects that are obviously equal or unequal in quantity and communicate that they are the same or different and which one has more (choose a plate with four cookies rather than a plate with one cookie). CD-10l,developmental_indicator,1.1.4.3,
,CD-10m,Show they understand that adding objects to a group will make a bigger group and taking away objects will make a smaller group.,developmental_indicator,,
,,Older Preschoolers,,,
page_108.png,CD-10n,• Rote count in order to 20 with increasing accuracy. CD-10n,developmental_indicator,1.1.5.1,
page_108.png,CD-10o,"• Without counting state the number of objects in a small collection (1-3) when asked (you are holding up two fingers  look at her hand and say  ""Two fingers"" without counting). CD-10o",developmental_indicator,1.1.5.2,
page_108.png,CD-10p,"• Count up to 10 objects arranged in a line or in a scattered configuration with increasing accuracy and answer the question ""How many?"" CD-10p",developmental_indicator,1.1.5.3,
page_108.png,CD-10q,• Given a number 0-5  count out that many objects. CD-10q,developmental_indicator,1.1.5.4,
page_108.png,CD-10r,"• Compare the amount of items in small sets of objects (up to 5 objects) by matching or counting and use language such as ""more than"" and ""less than"" to describe the sets of objects. CD-10r",developmental_indicator,1.1.5.5,
,CD-10s,Show they understand that putting two groups of objects together will make a bigger group and that a group of objects can be taken apart into smaller groups.,developmental_indicator,1.1.5.6,
page_109.png,CD-10t,Write numerals or number-like forms during play and daily activities.,developmental_indicator,1.1.5.7,
page_109.png,CD-10u,"Match numerals 1-5 to sets of objects, with guidance and support.",developmental_indicator,1.1.5.8,
page_109.png,CD-10v,Recognize some numerals and attempt to write them during play and daily activities.,developmental_indicator,1.1.5.9,
,CD-10w,"Show understanding of first, next, and last during play and daily activities (answer qestions about who is first and last to slide down the slide; say' ""The engine is first, and the caboose is last"" when making a train)",,,
,Goal CD-11,"Children compare, sort, group, organize and measure objects and create patterns
in their everyday environment.",Goal,1.11,
page_110.png,,Infants,label,1.11.1,
page_110.png,CD-11a,"Discover objects of different sizes by exploring (put toys in mouth, pick up large objects).",developmental_indicator,1.11.1.1,
page_110.png,,Younger Toddlers,label,1.11.2,
page_110.png,CD-11b,Participate in activities that compare the size and weight of objects.,developmental_indicator,1.11.2.1,
page_110.png,CD-11c,Show awareness of different categories during play (put balls in a box and dolls in a bed; give one friend all the cars and another friend all of the trucks when playing in the block area).,developmental_indicator,1.11.2.2,
page_110.png,,Older Toddlers,label,1.11.3,
page_110.png,CD-11d,"Group objects into categories (cars with cars, plates separated from cups).",developmental_indicator,1.11.3.1,
page_110.png,CD-11e,"Use size and amount words to label objects, people, and collections (big truck, a lot of cookies, little baby).",developmental_indicator,1.11.3.2,
page_110.png,,Younger Preschoolers,label,1.11.4,
page_110.png,CD-11f,"Use descriptive language for size, length, or weight (short, tall, long, heavy, big).",developmental_indicator,1.11.4.1,
page_110.png,CD-11g,"Use simple measurement tools with guidance and support to measure objects (a ruler, measuring cup, scale).",developmental_indicator,1.11.4.2,
page_110.png,CD-11h,"Compare the size or weight of two objects and identify which one is longer/ taller/heavier than the other (""That rock is heavier than this one; I can't lift it."" ""A snake is longer than a worm."").",developmental_indicator,1.11.4.3,
page_110.png,CD-11i,Identify familiar objects as the same or different.,developmental_indicator,1.11.4.4,
page_110.png,CD-11j,Sort familiar objects into categories with increasing accuracy (tools for woodworking and utensils for cooking; rectangle blocks on one shelf and square blocks on another shelf).,developmental_indicator,1.11.4.5,
page_110.png,CD-11k,"Recognize simple repeating patterns and attempt to create them during play (repeat a movement pattern during a song, make a line of blocks in alternating colors).",developmental_indicator,1.11.4.6,
page_110.png,,Older Preschoolers,label,1.11.5,
page_110.png,CD-11l,"Use descriptive language for size, length, or weight (short, tall, long, heavy, big).",developmental_indicator,1.11.5.1,
page_110.png,CD-11m,"Use simple measurement tools with guidance and support to measure objects (a ruler, measuring cup, scale).",developmental_indicator,1.11.5.2,
page_110.png,CD-11n,"Directly compare more than two objects by size, length, or weight (""That rock is heavier than these others; I can't lift it."" ""Look at three strings that are different lengths and select the longest string."").",developmental_indicator,1.11.5.3,
page_110.png,CD-11o,Put a few objects in order by length (arrange a group of 3 blocks in order from the shortest to the longest).,developmental_indicator,1.11.5.4,
page_110.png,CD-11p,"Sort a group of objects (0-10) using one attribute (color, size, shape, quantity) with increasing accuracy (sort blocks by shape and place like-shaped blocks on the shelf; sort beads by color).",developmental_indicator,1.11.5.5,
page_110.png,CD-11q,Duplicate and extend simple patterns using concrete objects (look at a pattern of beads and tell what bead comes next in the pattern).,developmental_indicator,1.11.5.6,
page_111.png,Goal CD-12,Children identify and use common shapes and concepts about position during play and other activities.,goal,1.1,
,,Infants,label,,
page_111.png,CD-12a,Discover different shapes by exploring (put blocks in mouth roll balls).,developmental_indicator,1.1.1.1,
page_111.png,CD-12b,Attempt to put objects into other objects (such as putting pieces into holes or other spaces).,developmental_indicator,1.1.1.2,
,,Younger Toddlers,label,,
page_111.png,CD-12d,"Explore space with their bodies (fit self into large box, crawl under table, climb over low walls).",developmental_indicator,1.1.2.1,
page_111.png,CD-12e,Put basic shapes into a shape sorter using trial and error.,developmental_indicator,1.1.2.2,
,,Older Toddlers,label,,
page_111.png,CD-12e,"Respond to and begin to use words describing positions (in, on, over, under, etc.).",developmental_indicator,1.1.3.1,
page_111.png,CD-12f,Name or match a few shapes.,developmental_indicator,1.1.3.2,
page_111.png,CD-12g,Stack or line up blocks that are the same shape.,developmental_indicator,1.1.3.3,
,,Younger Preschoolers,label,,
page_111.png,CD-12h,"Show they understand positions in space by using position words during play and by following directions from an adult (say, ""Stand behind the chair,"" ""Put the ball in the box"").",developmental_indicator,1.1.4.1,
page_111.png,CD-12i,"Use 2- and 3-dimensional shapes to create pictures, designs, or structures.",developmental_indicator,1.1.4.2,
page_111.png,CD-12j,Find shapes in the environment and describe them in their own words.,developmental_indicator,1.1.4.3,
,,Older Preschoolers,label,,
page_111.png,CD-12k,"Consistently use a variety of words for positions in space, and follow directions using these words.",developmental_indicator,1.1.5.1,
page_111.png,CD-12l,"Use 2- and 3-dimensional shapes to represent real-world objects (say, ""We are building a castle and we need a round block for the tunnel."" ""I glued a circle and a square on my picture to make a house."").",developmental_indicator,1.1.5.2,
page_111.png,CD-12m,"Name basic shapes and describe their characteristics using descriptive and geometric attributes (""That's a triangle; it's pointy."" ""It's a circle because it's round."").",developmental_indicator,1.1.5.3,
page_112.png,Goal CD-13,Children use mathematical thinking to solve problems in their everyday environment.,goal,1.1,
,,Older Toddlers,,,
page_112.png,CD-13a,Use observation and emerging counting skills (1 2 3) during play and other daily activities.,developmental_indicator,1.1.3.1,
,,Younger Preschoolers,,,
page_112.png,CD-13b,Seek answers to questions by using mathematical thinking during play and daily activities (determine who is taller by standing next to classmate; find two smaller blocks to replace larger block). CD-13b,developmental_indicator,1.1.4.1,
page_112.png,CD-13c,Use observation and counting (not always correctly) to find out how many things are needed during play and other daily activities (figure out how many spoons are needed for snack find enough dolls so each person has one when playing in the dramatic play area). CD-13c,developmental_indicator,1.1.4.2,
page_112.png,CD-13d,"Use drawing and concrete materials to represent mathematical ideas (draw many circles to show ""lots of people"" put Popsicle® sticks in a pile to show the number of children who want crackers for snack). CD-13d",developmental_indicator,1.1.4.3,
,,Older Preschoolers,,,
page_112.png,CD-13e,Seek answers to questions during play and daily activities using an increasing variety of mathematical strategies. CD-13e,developmental_indicator,1.1.5.1,
page_112.png,CD-13f,"Use observation and counting with increasing accuracy to answer questions such as ""How many do we need?"" and ""How many more do we need?"" during play and other daily activities (count new children to see how many more plates are needed for snack; return extra drinks to cooler at picnic to arrive at the correct number). CD-13f",developmental_indicator,1.1.5.2,
page_112.png,CD-13g,Use drawing and concrete materials to represent an increasing variety of mathematical ideas (draw shapes to represent pattern; stack different-colored blocks to represent classmates' answers to a survey question). CD-13g,developmental_indicator,1.1.5.3,
page_112.png,CD-13h,"Begin to explain how a mathematical problem was solved (I saw that there was always a blue flower after a red flower so I knew to put a blue one next."" ""I counted four friends who didn't have cookies so I got four more."").""",developmental_indicator,1.1.5.4,
page_13.png,Goal APL-7,Children demonstrate initiative.,goal,1.7,
page_13.png,APL-7a,"Communicate with sounds or movements to indicate preferences (make excited sound for food they like, push away food they don't like).",developmental_indicator,1.7.1.1,
page_13.png,APL-7b,"Independently explore the different qualities of an object (notice the sound of a rattle, then be drawn to the ""feel"" of it, exploring it with mouth or hand).",developmental_indicator,1.7.1.2,
page_13.png,APL-7c,Express choices with actions or simple language (choose Cheerios® or a cracker).,developmental_indicator,1.7.2.1,
page_13.png,APL-7d,"Seek to repeat experiences they enjoy or succeed at (do shape sorter over and over, climb up and down stairs).",developmental_indicator,1.7.2.2,
page_13.png,APL-7e,"Select and carry out activities (choose to set the table; gather play dishes and food, and then feed the dolls).",developmental_indicator,1.7.3.1,
page_13.png,APL-7f,Show increasing interest in performing tasks independently (put on jacket and try to zip up).,developmental_indicator,1.7.3.2,
page_13.png,APL-7g,Show and/or tell others what they have done.,developmental_indicator,1.7.3.3,
page_13.png,APL-7h,"Show increasing independence and purpose when making choices (""I want to go to blocks."").",developmental_indicator,1.7.4.1,
page_13.png,APL-7i,"Express goals or plans and follow through on them (""I'm going to draw my picture."").",developmental_indicator,1.7.4.2,
page_13.png,APL-7j,"Show increasing independence and purpose when making choices (""I'm going to the block area to make a track for my race car."").",developmental_indicator,1.7.5.1,
page_13.png,APL-7k,Independently identify and seek things they need to complete activities or tasks (gather supplies and make a birthday card with a message).,developmental_indicator,1.7.5.2,
page_13.png,APL-7l,"Set simple goals that extend over time, make plans and follow through (""Let's make a rocket ship. We need blocks."").",developmental_indicator,1.7.5.3,
page_14.png,Goal APL-8,Children maintain attentiveness and focus.,goal,1.8,
page_14.png,APL-8a,Focus and attend to people and things around them. APL-8a,developmental_indicator,1.8.1.1,
page_14.png,APL-8b,Repeat interesting actions over and over (push button to make toy pop up). APL-8b,developmental_indicator,1.8.1.2,
page_14.png,APL-8c,Notice when the expected does not happen. APL-8c,developmental_indicator,1.8.1.3,
page_14.png,APL-8d,Focus on self-selected activity for a short period of time (5 to 10 minutes). APL-8d in the sandbox and stay there for a couple of minutes).,developmental_indicator,1.8.2.1,
page_14.png,APL-8e,Focus on an interesting activity or interaction shared with adults for a short period of time. APL-8e,developmental_indicator,1.8.2.2,
page_14.png,APL-8f,"Focus on a person or a hands-on activity for a short period of time (participate in singing a song, stay focused long enough to build a block tower). APL-8f",developmental_indicator,1.8.3.1,
page_14.png,APL-8g,Keep working on interesting activities with other things going on around them. APL-8g,developmental_indicator,1.8.3.2,
page_14.png,APL-8h,"Focus on age-appropriate activities for a short period of time, even with interruptions (continue working on a puzzle even though another child sitting nearby is laughing and talking). APL-8h",developmental_indicator,1.8.4.1,
page_14.png,APL-8i,Remain engaged in more complex activities that they have chosen. APL-8i,developmental_indicator,1.8.4.2,
page_14.png,APL-8j,Maintain focus and return to an activity after a break. APL-8j,developmental_indicator,1.8.4.3,
page_14.png,APL-8k,Sometimes able to ignore irrelevant information when focusing on a task (sort multicolored wooden beads by shape). APL-8k,developmental_indicator,1.8.5.1,
page_14.png,APL-8l,Consistently remain engaged in self-directed activities. APL-8l,developmental_indicator,1.8.5.2,
page_15.png,Goal APL-9,Children persist at challenging activities.,goal,1.9,
page_15.png,,Infants,label,1.9.1,
page_15.png,,Younger Toddlers,label,1.9.2,
page_15.png,,Older Toddlers,label,1.9.3,
page_15.png,,Seek help from others to complete a challenging activity (ask a teacher for help putting a puzzle away on a high shelf; ask a friend for help in naming an unfamiliar animal in a picture).,developmental_indicator,1.9.3.1,
page_15.png,,Younger Preschoolers,label,1.9.4,
page_15.png,,Seek help from others to complete a challenging activity (ask a teacher for help putting a puzzle away on a high shelf; ask a friend for help in naming an unfamiliar animal in a picture).,developmental_indicator,1.9.4.1,
page_15.png,APL-9e,"When something does not work, try different ways to complete the task (when a block tower falls, try putting the blocks together in a different way to build the tower again).",developmental_indicator,1.9.4.2,
page_15.png,,Older Preschoolers,label,1.9.5,
page_15.png,,Seek help from others to complete a challenging activity (ask a teacher for help putting a puzzle away on a high shelf; ask a friend for help in naming an unfamiliar animal in a picture).,developmental_indicator,1.9.5.1,
page_15.png,APL-9h,"When something does not work, try different ways to complete the task (when a block tower falls, try putting the blocks together in a different way to build the tower again).",developmental_indicator,1.9.5.2,
page_15.png,APL-9k,Keep trying until a challenging activity is complete despite distractions or interruptions (multi-piece puzzle started before lunch and completed later).,developmental_indicator,1.9.5.3,
page_2.png,Goal APL-2,Children actively seek to understand the world around them.,goal,1.2,
page_2.png,,Infants,label,1.2.1,
page_2.png,APL-2a,"Explore the indoor and outdoor environment using all available senses—smell, hear, see, feel and taste. APL-2a",developmental_indicator,1.2.1.1,
page_2.png,APL-2b,"With appropriate supports, move toward interesting people, sounds, objects, and activities. APL-2b",developmental_indicator,1.2.1.2,
page_2.png,,Younger Toddlers,label,1.2.2,
page_2.png,APL-2c,Initiate activities that interest them and try to get others involved. APL-2c,developmental_indicator,1.2.2.1,
page_2.png,APL-2d,"Use toys and other objects to make things happen (kick a ball, push a button on a toy). APL-2d",developmental_indicator,1.2.2.2,
page_2.png,APL-2e,Move toward people and things that are new and/or interesting. APL-2e,developmental_indicator,1.2.2.3,
page_2.png,,Older Toddlers,label,1.2.3,
page_2.png,APL-2f,"Seek more information about people and their surroundings (""study"" an object carefully; stare for long moments; become absorbed in figuring out a situation). APL-2f",developmental_indicator,1.2.3.1,
page_2.png,APL-2g,"Use their whole body to learn (get mud or paint on themselves from head to toe, fit themselves into a big, empty box). APL-2g",developmental_indicator,1.2.3.2,
page_2.png,APL-2h,"Communicate what they want to do or know using gestures, facial expressions, or words (ask What dat?""). APL-2h""",developmental_indicator,1.2.3.3,
page_2.png,,Younger Preschoolers,label,1.2.4,
page_2.png,APL-2i,Ask questions about the people and things around them. APL-2i,developmental_indicator,1.2.4.1,
page_2.png,APL-2j,"Use all available senses, tools, and a variety of strategies to explore the environment (drop objects in water to see if they sink or float). APL-2j",developmental_indicator,1.2.4.2,
page_2.png,APL-2k,Purposely try different ways of doing things to see what and how they work (adjust blocks used as a ramp to make a ball roll faster and farther). APL-2k,developmental_indicator,1.2.4.3,
page_2.png,,Older Preschoolers,label,1.2.5,
page_2.png,APL-2l,"Ask questions to find out more about the things that interest them, including questions about future events. APL-2l",developmental_indicator,1.2.5.1,
page_2.png,APL-2m,Choose among different ways to explore the environment based on past experience (use a magnifying glass that the class used before to explore something new). APL-2m,developmental_indicator,1.2.5.2,
page_2.png,APL-2n,Use what they know from past experience to understand what is happening now (get an umbrella to go outside because it is raining). APL-2n,developmental_indicator,1.2.5.3,
page_23.png,Goal ESD-1,Children demonstrate a positive sense of self-identity and self-awareness.,goal,1.1,
page_23.png,ESD-1a,"Show awareness of their bodies (study own hands and feet moving; use hands, mouth, and eyes in coordination to explore their bodies).",developmental_indicator,1.1.1.1,
page_23.png,ESD-1b,"Show interest in their image in a mirror (stare, smile, reach out to touch).",developmental_indicator,1.1.1.2,
page_23.png,ESD-1c,Respond to their name with sounds or movement.,developmental_indicator,1.1.1.3,
page_23.png,ESD-1d,"Express likes and dislikes (smile, cry, and protest).",developmental_indicator,1.1.1.4,
page_23.png,ESD-1e,Show awareness of specific body parts.,developmental_indicator,1.1.2.1,
page_23.png,ESD-1f,"Recognize themselves in a mirror (point to self, make faces in mirror).",developmental_indicator,1.1.2.2,
