filename,statement,type
page_72.png,EMOTIONAL DEVELOPMENT,Content Area
page_72.png,Demonstrate awareness of self and capabilities.,Anchor Standard
page_72.png,Demonstrate trust in self.,Domain
page_72.png,"Make positive statements about self, use assertive voice to express self and accept responsibility for own actions (e.g., say ""I can ..,"", ""I will ..,"", ""I did ..."").",performance standards
page_72.png,"Identify own emotions (e.g., say, ""I feel ..."") and express pride in accomplishments (e.g., ""I did it!"").",performance standards
page_72.png,Develop personal preferences.,Domain
page_72.png,"Express independence, interest and curiosity (e.g., say, ""I can ..,"", ""I choose ...""I want ..."").",performance standards
page_72.png,"Select and complete tasks (e.g., finish a puzzle or drawing).",performance standards
page_72.png,Make alternative choices to solve a problem or carry on when a center is full).,performance standards
page_72.png,"Persist and problem solve when working on a task (e.g., work on a puzzle; rebuild a tower of blocks that fell).",performance standards
page_72.png,Know personal information.,Anchor Standard
page_72.png,"Describe self using several basic characteristics (e.g., gender, age, hair color, eye color).",performance standards
page_72.png,Refer to self by first and last name.,performance standards
page_72.png,Know parent(s')/guardian(s') name(s).,performance standards
page_72.png,Recognize and adapt expressions behaviors and actions.,Anchor Standard
page_72.png,Show impulse control with body and actions.,performance standards
page_72.png,"Control own body in space (e.g., move safely through room without harm to self or others).",performance standards
page_72.png,"Transition appropriately within environments with ease (e.g., come indoors to wash hands for lunch or to listen to a story).",performance standards
page_66.png,College- and Career-Readiness Standards for MATHEMATICS,Content Area
page_66.png,OVERVIEW,Domain
page_66.png,"The Early Learning Standards for Mathematics were developed in order to help ensure that all students are college- and career-ready in mathematics no later than the end of high school. The CCSS for Mathematics are organized by standards, clusters and domains.",Anchor Standard
page_58.png,Fluency,Content Area
page_58.png,"Display emergent reading behavior with purpose and understanding (e.g., pretend reading, picture reading).",Domain
page_70.png,APPROACHES TO LEARNING,Content Area
page_70.png,PLAY,Domain
page_70.png,Engage in play.,Anchor Standard
page_70.png,"Cooperate with peers during play by taking turns, sharing materials and inviting others to play.",performance standards
page_70.png,"Initiate and make decisions regarding play and learning activities (e.g., choose learning centers and materials).",performance standards
page_70.png,"Exhibit creativity and imagination in a variety of forms (e.g., roles, props and language).",performance standards
page_70.png,Demonstrate active engagement in play.,performance standards
page_70.png,CURIOSITY AND INITIATIVE,Domain
page_70.png,Demonstrate curiosity and initiative.,Anchor Standard
page_70.png,"Demonstrate interest in new experiences by interacting with peers, using familiar materials in creative ways and investigating new environments.",performance standards
page_70.png,Ask questions to seek new information.,performance standards
page_70.png,Make independent choices.,performance standards
page_70.png,"Approach tasks and activities with flexibility, imagination and inventiveness.",performance standards
page_70.png,PERSISTENCE AND ATTENTIVENESS,Domain
page_70.png,Demonstrate persistence and attentiveness.,Anchor Standard
page_70.png,Follow through to complete a task or activity.,performance standards
page_70.png,Demonstrate the ability to remain engaged in an activity or experience.,performance standards
page_70.png,"Seek out and accept help or information from adults and peers when needed to accomplish a task or an activity (e.g., using a step stool to reach the sink).",performance standards
page_70.png,PROBLEM-SOLVING SKILLS,Domain
page_70.png,Demonstrate problem-solving skills.,Anchor Standard
page_70.png,Identify a problem or ask a question.,performance standards
page_70.png,"Use a variety of strategies to solve a problem, reach a goal or answer a question (e.g., work with others, use a variety of materials, use trial and error).",performance standards
page_70.png,Apply prior learning and experiences to build new knowledge.,performance standards
page_64.png,FOUR-YEAR-OLD CHILDREN Standards for LANGUAGE Conventions of Standard English,Content Area
page_64.png,With prompting and support demonstrate awareness of the conventions of standard English grammar and usage when speaking.,Anchor Standard
page_64.png,a. Use frequently occurring nouns and verbs.,performance standards
page_64.png,"b. Form regular plural nouns by adding /s/ or /es/ (e.g., dog, dogs; dish, dishes).",performance standards
page_64.png,"c. Understand and use question words (interrogatives) (e.g., who, what, where, when, why, how).",performance standards
page_64.png,"d. Use the most frequently occurring prepositions (e.g., to, from, in, out, on, off, for, of, by, with).",performance standards
page_64.png,e. Produce and expand complete sentences in shared language activities.,performance standards
page_64.png,With prompting and support demonstrate awareness of the conventions of standard English capitalization punctuation and spelling when writing.,Anchor Standard
page_64.png,a. Write first name capitalizing the first letter.,performance standards
page_64.png,b. Develop an awareness of symbols for end punctuation.,performance standards
page_64.png,c. Attempt to write a letter or letters to represent a word.,performance standards
page_64.png,"d. Experiment with written representations of words, using emergent (developing) knowledge of letter-sound relationships.",performance standards
page_64.png,Knowledge of Language,Domain
page_64.png,No developmentally appropriate standard,performance standards
page_64.png,Vocabulary Acquisition and Use,Domain
page_64.png,"With prompting and support, explore unknown and multiple-meaning words based on pre-kindergarten reading and content.",Anchor Standard
page_64.png,"a. Apply new meaning for familiar words accurately (e.g., recognizing that a car is also a vehicle).",performance standards
page_64.png,With guidance and support explore word relationships and word meanings.,Anchor Standard
page_64.png,"a. Sort common objects into categories (e.g., shapes, foods) to gain a sense of the concepts the categories represent.",performance standards
page_64.png,"b. Experiment with frequently occurring verbs and adjectives by relating them to their opposites (antonyms) (e.g., run, walk; fast, slow; soft, hard).",performance standards
page_64.png,"c. Identify real-life connections between words and their use (e.g., find examples of things that are smooth, rough).",performance standards
page_64.png,"d. Recognize and demonstrate knowledge of verbs (e.g., acting out sweeping, describing how to brush teeth).",performance standards
page_65.png,"With prompting and support, use words and phrases that have been acquired through responses to text or stories, experiences, conversations and/or from hearing a story.",performance standards
page_71.png,SOCIAL AND EMOTIONAL,Content Area
page_71.png,SOCIAL DEVELOPMENT,Domain
page_71.png,Build and maintain relationships with others.,Anchor Standard
page_71.png,"Interact appropriately with familiar adults.a. Communicate to seek out help with a difficult task, to find comfort and to obtain security.b. Engage with a variety of familiar adults for a specific purpose.",performance standards
page_71.png,"Interact appropriately with other children.a. Engage in positive interactions and communications with classmates (e.g., greet peers, use names of classmates, share materials).b. Develop relationships and share a friendship with one or two peers (e.g., offer assistance and materials to others).c. Ask permission to use items or materials of others.d. Acknowledge needs and rights of others (e.g., say, ""It's your turn on the swing."").",performance standards
page_71.png,"Express empathy and care for others.a. Show affection and concern in appropriate ways (e.g., pat a child on the arm; give a soft hug to an upset peer).b. Offer and accept encouraging and courteous words to demonstrate kindness.c. With prompting and support, identify and express sympathy for peers in a positive manner (e.g., say, ""You seem sad."").",performance standards
page_71.png,Work productively toward common goals and activities.,Anchor Standard
page_71.png,"Participate successfully as a member of a group.a. With prompting and support, share experiences and ideas with others (e.g., engage in conversation to express ideas).b. Sustain interactions with peers, allow others to join play activities, and play cooperatively with others in small and large groups (e.g., engage in cooperative play or conversations with others).c. Accept assigned duties during play or classroom management routines (e.g., clean-up responsibilities).",performance standards
page_71.png,"Join ongoing activities in acceptable ways.a. Express to others a desire to play (e.g., say, ""I want to play."").b. Lead and follow.c. Move into group with ease.",performance standards
page_59.png,College- and Career-Readiness,Domain
page_59.png,ANCHOR STANDARDS for WRITING,Anchor Standard
page_59.png,Text Types and Purposes,label
page_59.png,"1. Write arguments to support claims in an analysis of substantive topics or texts, using valid reasoning and relevant and sufficient evidence.",performance standards
page_59.png,"2. Write informative/explanatory texts to examine and convey complex ideas and information clearly and accurately through the effective selection, organization, and analysis of content.",performance standards
page_59.png,"3. Write narratives to develop real or imagined experiences or events using effective technique, well-chosen details and well-structured event sequences.",performance standards
page_59.png,Production and Distribution of Writing,label
page_59.png,"4. Produce clear and coherent writing in which the development, organization, and style are appropriate to task, purpose, and audience.",performance standards
page_59.png,"5. Develop and strengthen writing as needed by planning, revising, editing, rewriting, or trying a new approach.",performance standards
page_59.png,"6. Use technology, including the Internet, to produce and publish writing and to interact and collaborate with others.",performance standards
page_59.png,Research to Build and Present Knowledge,label
page_59.png,"7. Conduct short as well as more sustained research projects based on focused questions, demonstrating understanding of the subject under investigation.",performance standards
page_59.png,"8. Gather relevant information from multiple print and digital sources, assess the credibility and accuracy of each source, and integrate the information while avoiding plagiarism.",performance standards
page_59.png,9. Draw evidence from literary or informational texts to support analysis,performance standards
page_59.png,Range of Writing,label
page_59.png,"10. Write routinely over extended time frames (time for research, reflection, and revision) and shorter time frames (a single sitting or a day or two) for a range of tasks, purposes and audiences.",performance standards
page_75.png,Earth and Space Science,Content Area
page_75.png,Apply scientific knowledge related to earth science and space.,Domain
page_75.png,"With prompting and support, describe daily weather changes and seasonal patterns using related vocabulary (e.g., fall, summer, spring, winter, hot, cold, warm, sunny, cloudy).",Anchor Standard
page_75.png,"With teacher guidance, collect and display daily data about weather and seasonal activity.",label
page_75.png,"With prompting and support, identify characteristics of the clouds, sun, moon and stars.",Domain
page_75.png,"With teacher guidance, create a simple model of common elements of day and night.",label
page_75.png,"With teacher guidance, construct a device which would protect from sun and/or rain.",label
page_75.png,"With prompting and support, collect, sort, identify and describe natural objects in the world (e.g., rocks, soil, leaves).",Domain
page_75.png,Participate in a teacher led activity to identify and reuse materials.,label
page_75.png,"With teacher-guidance, create a product based on natural materials that will meet a human need (e.g. pencil holder or musical instrument).",label
page_61.png,Anchor Standards for SPEAKING AND LISTENING,Domain
page_61.png,Comprehension and Collaboration,Anchor Standard
page_61.png,"Prepare for and participate effectively in a range of conversations and collaborations with diverse partners, building on others' ideas and expressing their own clearly and persuasively.",performance standards
page_61.png,Integrate and evaluate information presented in diverse media and formats,Anchor Standard
page_61.png,"Integrate and evaluate information presented in diverse media and formats, including visually, quantitatively and orally.",performance standards
page_61.png,Evaluate a speaker's point of view,Anchor Standard
page_61.png,"Evaluate a speaker's point of view, reasoning and use of evidence and rhetoric.",performance standards
page_61.png,Presentation of Knowledge and Ideas,Anchor Standard
page_61.png,Present information,Anchor Standard
page_61.png,"Present information, findings, and supporting evidence such that listeners can follow the line of reasoning and the organization, development, and style are appropriate to task, purpose and audience.",performance standards
page_61.png,Make strategic use of digital media,Anchor Standard
page_61.png,Make strategic use of digital media and visual displays of data to express information and enhance understanding of presentations.,performance standards
page_61.png,Adapt speech to a variety of contexts,Anchor Standard
page_61.png,"Adapt speech to a variety of contexts and communicative tasks, demonstrating command of formal English when indicated or appropriate.",performance standards
page_60.png,FOUR-YEAR-OLD CHILDREN,label
page_60.png,Standards for WRITING,Content Area
page_60.png,Text Types and Purposes,Domain
page_60.png,"With prompting and support, recognize that writing is a way of communicating, for a variety of purposes.",Anchor Standard
page_60.png,"a. Explore and experiment with a combination of written representations (e.g., scribbles, drawings, letters and dictations) to express an opinion.",performance standards
page_60.png,"b. Explore and experiment with a combination of written representations (e.g., scribbles, drawings, letters and and describe their writing.",performance standards
page_60.png,"c. Explore and experiment with a combination of written representations (e.g., scribbles, drawings, letters and dictations) to tell about events or stories.",performance standards
page_60.png,No developmentally appropriate standard.,performance standards
page_60.png,No developmentally appropriate standard.,performance standards
page_60.png,Production and Distribution of Writing,Domain
page_60.png,No developmentally appropriate standard.,performance standards
page_60.png,"With prompting and support, focus on a topic and draw pictures or add details to an illustration that will clarify responses to questions or suggestions from adults and peers.",Anchor Standard
page_60.png,"With prompting and support, use a variety of tools (e.g., digital media, art materials) to share in the creation and publication of creative writing.",Anchor Standard
page_60.png,Research to Build and Present Knowledge,Domain
page_60.png,"With prompting and support, participate in and demonstrate understanding of written representations in collaborative research (e.g., explore a number of books by a favorite author on the same topic) and express opinions about them.",Anchor Standard
page_60.png,"With prompting and support, recall information from experiences to answer questions.",Anchor Standard
page_60.png,No developmentally appropriate standard.,performance standards
page_60.png,Range of Writing,Domain
page_60.png,No developmentally appropriate standard.,performance standards
page_74.png,PHYSICAL SCIENCE,Content Area
page_74.png,Develop awareness of observable properties of objects and materials.,Domain
page_74.png,The child will manipulate and explore items in the environment with a wide variety of investigative tools.,Anchor Standard
page_74.png,"With prompting and support, describe and compare the properties of different materials and classify these materials by their observable properties (weight, volume, temperature, texture, solid or liquid and sink or float).",Anchor Standard
page_74.png,"With prompting and support, explores how solid objects can be constructed from a smaller set.",Anchor Standard
page_74.png,"With teacher guidance, use basic shapes and spatial reasoning to model large objects in the environment using a set of small objects (e.g., blocks)",label
page_74.png,No developmentally appropriate standard.,label
page_74.png,"With teacher guidance, explore and notice how the parts may not work the same if some of the parts are missing.",label
page_74.png,"With guidance and support, conduct an experiment to explore what happens to objects in relation to other forces (e.g., throwing rocks, bouncing ball).",Anchor Standard
page_74.png,LIFE SCIENCE,Content Area
page_74.png,Acquire scientific knowledge related to life science.,Domain
page_74.png,"With prompting and support, name and identify the five senses and the corresponding body parts for each.",Anchor Standard
page_74.png,"With prompting and support, explore how living things change in form as they go through the general stages of a life cycle.",Anchor Standard
page_74.png,Use informational text or other media to make observations and predictions about plants as they change during the life cycle and use models to communicate ideas.,label
page_74.png,Conduct experiments using observations and predictions to describe and model the life cycle of a familiar mammal.,label
page_74.png,"With teacher guidance, conduct a structured investigation to observe and measure the changes in various individuals of a single plant species from seed germination to adult plant.  Record observations using drawings.",label
page_62.png,FOUR-YEAR-OLD CHILDREN,label
page_62.png,Standards for SPEAKING and LISTENING,Content Area
page_62.png,Comprehension and Collaboration,Domain
page_62.png,"With guidance and support, participate in small-group as well as large-group shared conversations about pre-kindergarten topics and texts with peers and adults.",Anchor Standard
page_62.png,Engage in extended conversations.,performance standards
page_62.png,"With prompting and support, confirm understanding of information presented orally, from read-alouds or through other media by asking and answering questions about details.",Anchor Standard
page_62.png,"With prompting and support, ask and answer questions in order to seek help, obtain information or clarify something that is not understood.",Anchor Standard
page_62.png,Presentation of Knowledge and Ideas,Domain
page_62.png,"With prompting and support, describe familiar people, places, things and events.",Anchor Standard
page_62.png,"With prompting and support, add drawings or other visual displays to descriptions.",Anchor Standard
page_62.png,"With prompting and support, demonstrate an emergent (developing) ability to express thoughts, feelings and ideas clearly.",Anchor Standard
page_76.png,TECHNOLOGY,Content Area
page_76.png,"Use appropriate technology tools (e.g., magnifying glass, telescope, microscope, computer, simple machines) to explore objects and/or to discover new information.",performance standards
page_76.png,Use technology tools to gather and/or communicate information.,performance standards
page_76.png,"With prompting and support, invent and construct simple objects or structures using technology tools.",performance standards
page_77.png,Four-Year-Old Children Physical Development Standards,Content Area
page_77.png,Gross Motor Skills,Domain
page_77.png,"Demonstrate understanding of gross motor concepts as they apply to the learning, development and performance of physical activities.",Anchor Standard
page_77.png,"1. Identify and demonstrate the use of body parts connected with gross motor movement (e.g., knee, foot, arm, etc.).",performance standards
page_77.png,"2. Demonstrate coordination of large muscles to perform simple motor tasks (e.g., climbing, jumping, stretching, throwing a ball).",performance standards
page_77.png,Demonstrate competency in gross motor skills and movement patterns needed to perform a variety of physical activities.,Anchor Standard
page_77.png,"3. With prompting and support, demonstrate body coordination (e.g., balance, strength, moving in space, and direction).",performance standards
page_77.png,"4. Use various types of equipment (e.g., playground equipment, tricycles, slides).",performance standards
page_77.png,"5. Engage in gross motor activities that are familiar as well as activities that are new and challenging (e.g., pulling, throwing, catching, kicking, bouncing or hitting balls, riding wheel toys, skipping).",performance standards
page_77.png,Fine Motor Skills,Domain
page_77.png,Demonstrate competency in fine motor skills needed to perform a variety of physical activities.,Anchor Standard
page_77.png,"4. With prompting and support, use fine muscle and eye-hand coordination for such purposes as using utensils, self-care, building, and exploring (e.g., place small objects in bottle).",performance standards
page_63.png,College- and Career-Readiness,Content Area
page_63.png,ANCHOR STANDARDS for LANGUAGE,Domain
page_63.png,Conventions of Standard English,Anchor Standard
page_63.png,1. Demonstrate command of the conventions of Standard English grammar and usage when writing or speaking.,performance standards
page_63.png,"2. Demonstrate command of the conventions of Standard English capitalization, punctuation and spelling when writing.",performance standards
page_63.png,Knowledge of Language,Anchor Standard
page_63.png,"3. Apply knowledge of language to understand how language functions in different contexts, to make effective choices for meaning or style and to comprehend more fully when reading or listening.",performance standards
page_63.png,Vocabulary Acquisition and Use,Anchor Standard
page_63.png,"4. Determine or clarify the meaning of unknown and multiple-meaning words and phrases by using context clues, analyzing meaningful word parts and consulting general and specialized reference materials, as appropriate.",performance standards
page_63.png,5. Demonstrate understanding of word relationships and nuances in word meanings.,performance standards
page_63.png,"6. Acquire and use accurately a range of general academic and domain-specific words and phrases sufficient for reading, writing, speaking and listening at the college- and career-readiness level; demonstrate independence in gathering vocabulary knowledge when encountering an unknown term important to comprehension or expression.",performance standards
