filename,statement,type,smartlevel
page_4.png,Asks a familiar adult for help or assistance when encountering difficult tasks or situations,performance standards,1.1.3.3.1
page_5.png,RELATIONSHIPS WITH OTHER CHILDREN,Domain,1
page_5.png,Birth to 9 Months,label,1.1
page_5.png,Show recognition for familiar children through gestures or behaviors.,performance standards,1.1.2
page_5.png,6 Months to 18 Months,label,1.2
page_5.png,Participates in simple back-and-forth interactions with another child,performance standards,1.2.1
page_5.png,Interacts with a few children on a regular basis.,performance standards,1.2.2
page_5.png,16 Months to 36 Months,label,1.3
page_5.png,"Seeks out other children for social interaction, including initiating contact and responding to others.",performance standards,1.3.1
page_5.png,Develops friendships and engages in more elaborate play with friends.,performance standards,1.3.2
page_5.png,Child initiates and engages in play with other children.,Domain,2
page_5.png,Birth to 9 Months,label,2.1
page_5.png,or reaching for toy.,performance standards,2.1.2
page_5.png,6 Months to 18 Months,label,2.2
page_5.png,"Participates in simple imitative games, such as making similar sounds or running after another child.",performance standards,2.2.1
page_5.png,Plays next to other children with similar toys or materials.,performance standards,2.2.2
page_5.png,16 Months to 36 Months,label,2.3
page_5.png,"Joins in play with other children by sometimes taking turns or doing joint activities with a common goal, such as building block structures with others or pretending to eat together.",performance standards,2.3.1
page_5.png,EMOTIONAL FUNCTIONING,Domain,3
page_5.png,Child learns to express a range of emotions.,Anchor Standard,3.1
page_5.png,Birth to 9 Months,label,3.1.1
page_5.png,"Expresses feelings of comfort, discomfort,  enjoyment, fear, surprise,  anger, or unhappiness through facial expressions or gestures to prompt a  response from a familiar adult.",performance standards,3.1.1.1
page_5.png,6 Months to 18 Months,label,3.1.2
page_5.png,Expresses a variety of emotions and modifies their expressions according to the reactions of familiar adults.,performance standards,3.1.2.1
page_5.png,based on the child's cultural (family) background.,performance standards,3.1.2.2
page_5.png,16 Months to 36 Months,label,3.1.3
page_5.png,"Expresses a wide range of emotions, including surprise, guilt,  embarrassment, or pride,  based on increasing awareness of their effects on others.",performance standards,3.1.3.1
page_6.png,SENSE OF IDENTITY AND BELONGING,Content Area,1
page_6.png,Child shows awareness about self and how to connect with others.,Domain,1.1
page_6.png,Birth to 9 Months,label,1.1.1
page_6.png,"Learns about self by exploring hands, feet, body, and movement.",performance standards,1.1.1.1
page_6.png,8 Months to 18 Months,label,1.1.2
page_6.png,"Experiments with use of hands and body, discovering how movement and gestures can be used to relate to others.",performance standards,1.1.2.1
page_6.png,16 Months to 36 Months,label,1.1.3
page_6.png,"Shows awareness of own thoughts, feelings and preferences as well as those of others.",performance standards,1.1.3.1
page_6.png,Uses different forms of communication to refer to self and others.,performance standards,1.1.3.2
page_6.png,Child expresses care and concern towards others.,Domain,1.2
page_6.png,Birth to 9 Months,label,1.2.1
page_6.png,May imitate another person's distressed emotions/facial expressions.,performance standards,1.2.1.1
page_6.png,8 Months to 18 Months,label,1.2.2
page_6.png,Notices when another child is crying or upset.,performance standards,1.2.2.1
page_6.png,"May seek adult's help or offer something to another child, such as a blanket or toy.",performance standards,1.2.2.2
page_6.png,16 Months to 36 Months,label,1.2.3
page_6.png,Expresses empathy toward other children or familiar adults who have been hurt or are crying by showing care and offering comfort.,performance standards,1.2.3.1
page_6.png,May try to comfort them with words or actions.,performance standards,1.2.3.2
page_6.png,Child manages emotions with the support of familiar adults.,Domain,1.3
page_6.png,Birth to 9 Months,label,1.3.1
page_6.png,Is comforted by a familiar adult.,performance standards,1.3.1.1
page_6.png,8 Months to 18 Months,label,1.3.2
page_6.png,"Looks to or seeks comfort when distressed and accepts reassurance from a familiar adult, or engages in self-comforting behaviors.",performance standards,1.3.2.1
page_6.png,16 Months to 36 Months,label,1.3.3
page_6.png,Shows developing ability to cope with stress or strong emotions by using strategies.,performance standards,1.3.3.1
page_7.png,Birth to 9 Months,label,1.1
page_7.png,1. Responds to own name when stated by a familiar adult.,performance standards,1.1.1
page_7.png,2. Distinguishes primary caregivers from others.,performance standards,1.1.2
page_7.png,8 Months to 18 Months,label,1.2
page_7.png,1. Develops an understanding of self as separate individual from caregiver.,performance standards,1.2.1
page_7.png,18 Months to 36 Months,label,1.3
page_7.png,"1. Identifies physical characteristics, similarities, differences and compares characteristics between self and others.",performance standards,1.3.1
page_7.png,Child shows confidence in own abilities through relationships with others.,Content Area,2
page_7.png,Birth to 9 Months,label,2.1
page_7.png,1. Participates in back-and-forth social interactions through facial expressions; sounds; gestures and responding to actions of others.,performance standards,2.1.1
page_7.png,8 Months to 18 Months,label,2.2
page_7.png,1. Expresses desires and preferences.,performance standards,2.2.1
page_7.png,2. Seeks to draw a familiar adult's attention to objects of interest or own physical skills and attends to familiar adult's responses.,performance standards,2.2.2
page_7.png,18 Months to 36 Months,label,2.3
page_7.png,"1. Contributes own ideas, skills and abilities to activities with adults and other children.",performance standards,2.3.1
page_7.png,2. May call attention to new skills and abilities or seek to do things by self.,performance standards,2.3.2
page_7.png,Child develops a sense of belonging through relationships with others.,Content Area,3
page_7.png,Birth to 9 Months,label,3.1
page_7.png,1. Shows awareness of familiar routines by responding to environmental cues.,performance standards,3.1.1
page_7.png,8 Months to 18 Months,label,3.2
page_7.png,1. Anticipates familiar routines or activities.,performance standards,3.2.1
page_7.png,18 Months to 36 Months,label,3.3
page_7.png,1. Refers to personal or family experiences and events that have happened in the recent past.,performance standards,3.3.1
page_8.png,INFANT AND TODDLERLANGUAGE AND COMMUNICATION Standards,Content Area,1
page_8.png,ATTENDING AND UNDERSTANDING,Domain,1.1
page_8.png,Child attends to understands and responds to communication and language from others,Anchor Standard,1.1.1
page_8.png,Birth to 9 Months,label,1.1.1.1
page_8.png,Attends to verbal and non-verbal communication byturning toward or lookingat a person,performance standards,1.1.1.1.1
page_8.png,Participates in back andforth interactions byexchanging facialexpressions and languagesounds with familiaradults,performance standards,1.1.1.1.2
page_8.png,8 Months to 18 Months,label,1.1.1.2
page_8.png,Shows understanding ofthe meaning of gesturesnon-verbal communicationof familiar caregivers andresponds with facialexpressions gesturesmovements or sounds aslooking at people orobjects being referred to,performance standards,1.1.1.2.1
page_8.png,16 Month to 36 Months,label,1.1.1.3
page_8.png,Shows recognition ofwords signs and symbolsfor familiarsentences,performance standards,1.1.1.3.1
page_8.png,Participates inconversations in ways thatshow understanding byfollowing comments orsuggestions with action orbehavior and or spokenwords,performance standards,1.1.1.3.2
page_8.png,Child learns from communication and language experiences with others,Anchor Standard,1.1.2
page_8.png,Birth to 9 Months,label,1.1.2.1
page_8.png,Pays attention whenfamiliar adults talk or signabout objects people orhappenings includingface-to-face interaction bychanging focus making eyecontact or looking atpeople or objects,performance standards,1.1.2.1.1
page_8.png,8 Months to 18 Months,label,1.1.2.2
page_8.png,Participates in jointattention with a familiaradult by looking back andforth between the adultand object,performance standards,1.1.2.2.1
page_8.png,Points or gestures when afamiliar adult is pointingnaming or signing about afamiliar or new object andlearns names and uses ofobjects,performance standards,1.1.2.2.2
page_8.png,16 Month to 36 Months,label,1.1.2.3
page_8.png,Participates in longerperiods of joint attentionwith familiar adults 16-24months up 5 minutes 24-36 months up to 10minutes,performance standards,1.1.2.3.1
page_8.png,Shows interestunderstanding orenjoyment whenparticipating in languageactivities songsdemonstratingunderstanding of objectsfunctions and use orwhen joining in gamessongs rhymes or stories,performance standards,1.1.2.3.2
page_9.png,COMMUNICATING AND SPEAKING,Content Area,1
page_9.png,Child communicates needs and wants verbally and non-verbally and by using language.,Domain,1.1
page_9.png,Birth to 9 Months,label,1.1.1
page_9.png,8 Months to 18 Months,label,1.1.2
page_9.png,"1. Uses a variety of ways to communicate interests, needs and ideas, such as saying or making a sign for ""more milk,"" ""I want juice,"" ""mas leche,"" or ""quiero juice."" note,performance standards,1.1.2.1Children identified as Dual Language Learners (DLL) may combine their two languages or switch between them to communicate.""",performance standards,1.1.2.2
page_9.png,16 Months to 36 Months,label,1.1.3
page_9.png,8 Months to 18 Months,label,1.2.2
page_9.png,"1. Repeats actions or single words to initiate or maintain social interactions with other children or familiar adults, such as clapping hands or calling a name to get a familiar adult's attention.",performance standards,1.2.2.1
page_9.png,16 Months to 36 Months,label,1.2.3
page_9.png,"1. Uses words, sign language, phrases, or simple sentences to initiate, continue, or extend conversations with others about feelings, experiences, or thoughts.",performance standards,1.2.3.1
page_10.png,Child uses increasingly complex language in conversation with others.,Content Area,1
page_10.png,Birth to 9 Months,label,1.1
page_10.png,"1. Explores and/or attempts to repeat sounds common in many languages, such as ""ma-ma"" or ""ba-ba""",performance standards,1.1.1
page_10.png,"2. Communicates mainly about objects, actions and events happening in the here and now.",performance standards,1.1.2
page_10.png,8 Months to 18 Months,label,1.2
page_10.png,"1. Initiates and participates in conversations by babbling and using gestures, such as showing or giving, or by using words or sign language.",performance standards,1.2.1
page_10.png,15 Months to 36 Months,label,1.3
page_10.png,"1. Participates in short conversations with others using spoken or sign language that includes simple sentences, questions and responses.",performance standards,1.3.1
page_10.png,2. Sometimes describes experiences that have happened in the past or are about to happen. Note: Children who are Dual Language Learners (DLL) develop the ability to participate in conversations with others at varying rates.,performance standards,1.3.2
page_10.png,Child initiates non-verbal communication and language to learn and gain information.,Content Area,2
page_10.png,Birth to 9 Months,label,2.1
page_10.png,"1. Participates in non-verbal conversations by using facial expressions, sounds, gestures or signs to initiate or respond to communication.",performance standards,2.1.1
page_10.png,8 Months to 18 Months,label,2.2
page_10.png,"1. Asks simple questions using gestures, such as pointing, sign language or words with variations in the rise and fall of the voice.",performance standards,2.2.1
page_10.png,15 Months to 36 Months,label,2.3
page_10.png,"1. Seeks information and meaning of words by asking questions in words or sign language, such as ""What's that?"" or ""Who's that?"" or ""Why?""",performance standards,2.3.1
page_10.png,Child understands an increasing number of words in communication with others.,Content Area,3
page_10.png,Birth to 9 Months,label,3.1
page_10.png,"1. Looks at familiar people, animals, or objects when they are named, such as mama, puppy, or ball.",performance standards,3.1.1
page_10.png,8 Months to 18 Months,label,3.2
page_10.png,"1. Looks or points at a person or object that has been named, follows simple directions and responds appropriately to the meaning of words or signs.",performance standards,3.2.1
page_10.png,15 Months to 36 Months,label,3.3
page_10.png,1. Comprehends an increasing number of words or signs in simple sentences during conversations and interactions with familiar adults and children.,performance standards,3.3.1
page_11.png,Child uses an increasing number of words in communications and conversations with others.,Content Area,1
page_11.png,Language,Domain,1.1
page_11.png,Birth to 9 Months,label,1.1.1
page_11.png,"May use sign language, gestures, or expressions for familiar people or objects.",performance standards,1.1.1.1
page_11.png,8 Months to 18 Months,label,1.1.2
page_11.png,"Imitates new words or sign language and uses some words or sign language for naming things in one word sentences, such as saying ""milk"" when asking for a drink.",performance standards,1.1.2.1
page_11.png,16 Months to 36 Months,label,1.1.3
page_11.png,Uses an increasing number of words in communications and conversations with others and adds new vocabulary words regularly. Note: Children who are Dual Language Learners (DLL) may have a combined vocabulary in both languages that is similar in breadth to other children's vocabulary in one language.,performance standards,1.1.3.1
page_11.png,EMERGENT LITERACY,Content Area,2
page_11.png,"Child attends to, repeats, and uses some rhymes, phrases, or repetitive refrains from stories or songs.",Domain,2.1
page_11.png,Birth to 9 Months,label,2.1.1
page_11.png,Listens and attends to culturally and linguistically familiar words or sign language in rhymes or songs.,performance standards,2.1.1.1
page_11.png,8 Months to 18 Months,label,2.1.2
page_11.png,Says or signs a few words of culturally and linguistically familiar and repetitive refrains in stories or songs.,performance standards,2.1.2.1
page_11.png,16 Months to 36 Months,label,2.1.3
page_11.png,"Says, signs or repeats culturally and linguistically familiar rhymes, phrases, or repetitive refrains from songs or stories that are similar in nature to another children's vocabulary in one language.",performance standards,2.1.3.1
page_11.png,Child handles books and relates them to their stories or information.,Domain,2.2
page_11.png,Birth to 9 Months,label,2.2.1
page_11.png,"Explores a book by touching it, patting it, or putting it in mouth.",performance standards,2.2.1.1
page_11.png,8 Months to 18 Months,label,2.2.2
page_11.png,"Holds books, turns pages, looks at the pictures, and uses sounds, signs, or words to identify actions or objects in a book.",performance standards,2.2.2.1
page_11.png,16 Months to 36 Months,label,2.2.3
page_11.png,Pretends to read books by turning pages and talking about them using signs or words that describe what is happening in the book.,performance standards,2.2.3.1
page_12.png,Child recognizes pictures and some symbols signs or words,Content Area,1
page_12.png,Birth to 9 Months,label,1.1
page_12.png,Looks at pictures of familiar people animals or objects while a familiar adult points at and or names the person animal or object,performance standards,1.1.1
page_12.png,9 Months to 18 Months,label,1.2
page_12.png,Points at pictures in a book making sounds or says name of objects talks about animals people or objects in photos pictures or drawings,performance standards,1.2.1
page_12.png,18 Months to 36 Months,label,1.3
page_12.png,Recognizes and names some letters or numbers such as letters in one's name and numbers 1 to 10 Shows increasing interest in written forms of language such as print in books or signs on buildings Note Recognizes and uses written forms of languages used,performance standards,1.3.1
page_12.png,Child comprehends meaning from pictures and stories,Content Area,2
page_12.png,Birth to 9 Months,label,2.1
page_12.png,Looks at picture books and listens to a familiar adult talk about pictures in a book,performance standards,2.1.1
page_12.png,9 Months to 18 Months,label,2.2
page_12.png,Points at pictures in a book making sounds or says name while interacting with a familiar adult reading a book,performance standards,2.2.1
page_12.png,18 Months to 36 Months,label,2.3
page_12.png,Talks about books asks or answers questions and makes connections between stories and real-life experiences,performance standards,2.3.1
page_12.png,Child makes marks and uses them to represent objects or actions,Content Area,3
page_12.png,Birth to 9 Months,label,3.1
page_12.png,1 Emerging,performance standards,3.1.1
page_12.png,9 Months to 18 Months,label,3.2
page_12.png,Makes marks on paper with a large crayon or marker to explore writing materials,performance standards,3.2.1
page_12.png,18 Months to 36 Months,label,3.3
page_12.png,Makes scribbles on paper to represent an object or action even though it might not recognize what it is,performance standards,3.3.1
page_13.png,INFANT AND TODDLER,Content Area,1
page_13.png,COGNITION Standards,Domain,1.1
page_13.png,EXPLORATION AND DISCOVERY,Anchor Standard,1.1.1
page_13.png,Birth to 9 Months,label,1.1.1.1
page_13.png,Uses the senses and a variety of actions to explore people and objects.,performance standards,1.1.1.1.1
page_13.png,8 Months to 18 Months,label,1.1.1.2
page_13.png,Acts intentionally to achieve a goal or when manipulating an object.,performance standards,1.1.1.2.1
page_13.png,16 Months to 36 Months,label,1.1.1.3
page_13.png,"Observes and experiments with how things work, seeks information from others, or experiments with different behaviors to see how people and objects react.",performance standards,1.1.1.3.1
page_13.png,Child uses understanding of causal relationship to act appropriately in social and physical environments.,Anchor Standard,1.1.2
page_13.png,Birth to 9 Months,label,1.1.2.1
page_13.png,Repeats an action to make things happen or to get a familiar adult to repeat an action.,performance standards,1.1.2.1.1
page_13.png,8 Months to 18 Months,label,1.1.2.2
page_13.png,Engages in purposeful actions to cause things to happen.,performance standards,1.1.2.2.1
page_13.png,16 Months to 36 Months,label,1.1.2.3
page_13.png,Identifies the cause of an observed outcome.,performance standards,1.1.2.3.1
page_13.png,"Predicts outcomes of actions or events, such as turning on the faucet will make water come out.",performance standards,1.1.2.3.2
page_13.png,MEMORY,Anchor Standard,1.1.3
page_13.png,Birth to 9 Months,label,1.1.3.1
page_13.png,Recognizes familiar people by their faces or voices.,performance standards,1.1.3.1.1
page_13.png,Recognizes that some people are unfamiliar by their faces and voices.,performance standards,1.1.3.1.2
page_13.png,8 Months to 18 Months,label,1.1.3.2
page_13.png,"Remembers actions of familiar adults, the usual location of familiar objects, and parts of familiar routines.",performance standards,1.1.3.2.1
page_13.png,"Notices and responds to new people, objects, or materials in the environment.",performance standards,1.1.3.2.2
page_13.png,16 Months to 36 Months,label,1.1.3.3
page_13.png,"Anticipates and communicates about multiple steps of familiar routines, activities, or events.",performance standards,1.1.3.3.1
page_13.png,"Shows surprise or asks about unexpected outcomes or unusual people, actions, or events.",performance standards,1.1.3.3.2
page_14.png,Child recognizes the stability of people and objects in the environment,Content Area,1
page_14.png,Birth to 9 Months,label,1.1
page_14.png,Shows awareness that familiar adults and objects still exist even they are out of sight or sight of ear range.,performance standards,1.1.1
page_14.png,8 Months to 18 Months,label,1.2
page_14.png,Searches for partially hidden/missing familiar adults or objects in the place they were last seen.,performance standards,1.2.1
page_14.png,16 Months to 36 Months,label,1.3
page_14.png,Uses a variety of search strategies to find hidden familiar adults or objects.,performance standards,1.3.1
page_14.png,Child uses memories as a foundation for more complex actions and thoughts.,Domain,1.4
page_14.png,Birth to 9 Months,label,1.4.1
page_14.png,Shows excitement for or about a toy or other object that was played with days earlier.,performance standards,1.4.1.1
page_14.png,8 Months to 18 Months,label,1.4.2
page_14.png,Remembers how to use objects or materials from previous experience.,performance standards,1.4.2.1
page_14.png,Anticipates routines or events by taking action.,performance standards,1.4.2.2
page_14.png,16 Months to 36 Months,label,1.4.3
page_14.png,Tells others about memories and past experiences.,performance standards,1.4.3.1
page_14.png,Remembers how to do a series of actions that were observed at an earlier time.,performance standards,1.4.3.2
page_14.png,REASONING AND PROBLEM SOLVING,Content Area,2
page_14.png,Child learns to use a variety of strategies in solving problems.,Domain,2.1
page_14.png,Birth to 9 Months,label,2.1.1
page_14.png,Engages in simple repeated actions to reach a goal.,performance standards,2.1.1.1
page_14.png,8 Months to 18 Months,label,2.1.2
page_14.png,Explores how to make something happen again or explores how something works by doing actions repeatedly.,performance standards,2.1.2.1
page_14.png,16 Months to 36 Months,label,2.1.3
page_14.png,"Engages in activities for longer periods of time and tries several times to solve more challenging problems, often using a combination of actions or behaviors.",performance standards,2.1.3.1
page_14.png,Child uses reasoning and planning to solve problems.,Domain,2.2
page_14.png,Birth to 9 Months,label,2.2.1
page_14.png,Uses own actions or movements to solve simple problems.,performance standards,2.2.1.1
page_14.png,8 Months to 18 Months,label,2.2.2
page_14.png,Tries different solutions to everyday problems until discovering one that works. May try the same strategy multiple times even if it is not working.,performance standards,2.2.2.1
page_14.png,16 Months to 36 Months,label,2.2.3
page_14.png,"Uses problem-solving and experimenting to figure out solutions to everyday problems, including in social situations.",performance standards,2.2.3.1
page_15.png,EMERGENT MATHEMATICAL THINKING,Content Area,1
page_15.png,Child develops sense of number and quantity.,Domain,1.1
page_15.png,Birth to 9 Months,label,1.1.1
page_15.png,Attends to quantity in play with multiple objects.,performance standards,1.1.1.1
page_15.png,8 Months to 18 Months,label,1.1.2
page_15.png,Uses a few basic number words or signs to refer to change in the number of objects.,performance standards,1.1.2.1
page_15.png,16 Months to 36 Months,label,1.1.3
page_15.png,Uses language to refer to quantity.,performance standards,1.1.3.1
page_15.png,Child uses spatial awareness to understand objects and their movement in space.,Domain,1.2
page_15.png,Birth to 9 Months,label,1.2.1
page_15.png,Explores or watches objects when they move,performance standards,1.2.1.1
page_15.png,8 Months to 18 Months,label,1.2.2
page_15.png,Explores how objects fit together; how they fit with other objects and how they move through space.,performance standards,1.2.2.1
page_15.png,16 Months to 36 Months,label,1.2.3
page_15.png,Predicts or anticipates how objects move in space or fit together or space of its together or apart.,performance standards,1.2.3.1
page_15.png,Child uses matching  and sorting of objects or people to understand similar and different characteristics.,Domain,1.3
page_15.png,Birth to 9 Months,label,1.3.1
page_15.png,Explores differences between familiar or unfamiliar adults or between different types of objects.,performance standards,1.3.1.1
page_15.png,8 Months to 18 Months,label,1.3.2
page_15.png,Matches objects by similar or related characteristics.,performance standards,1.3.2.1
page_15.png,16 Months to 36 Months,label,1.3.3
page_15.png,Sorts objects into two groups based on a single characteristic.,performance standards,1.3.3.1
page_16.png,IMITATION AND SYMBOLIC REPRESENTATION AND PLAY,Content Area,1
page_16.png,Child observes and imitates sounds  words  gestures  actions and behaviors.,Domain,1.1
page_16.png,Birth to 9 Months,label,1.1.1
page_16.png,Engages in give-and-take imitation games and play.,performance standards,1.1.1.1
page_16.png,8 Months to 18 Months,label,1.1.2
page_16.png,"Imitates what other people did earlier.""",performance standards,1.1.2.1
page_16.png,16 Months to 36 Months,label,1.1.3
page_16.png,Imitates more complex actions  words  or signs at a later time to communicate  make  or do something.,performance standards,1.1.3.1
page_16.png,Child uses objects or symbols to represent something else.,Domain,1.2
page_16.png,Birth to 9 Months,label,1.2.1
page_16.png,Emerging,performance standards,1.2.1.1
page_16.png,8 Months to 18 Months,label,1.2.2
page_16.png,Uses toy objects in the same ways as the real objects they represent are used.,performance standards,1.2.2.1
page_16.png,16 Months to 36 Months,label,1.2.3
page_16.png,Uses objects as symbols to represent other objects in play.,performance standards,1.2.3.1
page_16.png,Child uses pretend play to increase understanding of culture  environment and experiences.,Domain,1.3
page_16.png,Birth to 9 Months,label,1.3.1
page_16.png,Emerging,performance standards,1.3.1.1
page_16.png,8 Months to 18 Months,label,1.3.2
page_16.png,Imitates everyday actions of others,performance standards,1.3.2.1
page_16.png,16 Months to 36 Months,label,1.3.3
