Standard Code,Standard Label,Item Type,Sequence,Human Code,Full Statement
ATL.3,Handles and cares for materials appropriately.,Developmental Progression,1.1.3.1.1,ATL.3.A.1,Grasps and explores objects with curiosity.
ATL.3,Handles and cares for materials appropriately.,Developmental Progression,1.1.3.2.1,ATL.3.B.1,Begins to place items in designated spaces with guidance.
ATL.3,Handles and cares for materials appropriately.,Developmental Progression,1.1.3.3.1,ATL.3.C.1,"Helps with simple clean-up tasks, such as putting books back on a shelf."
ATL.3,Handles and cares for materials appropriately.,Developmental Progression,1.1.3.4.1,ATL.3.D.1,Begins to understand the value of taking care of shared materials.
ATL.3,Handles and cares for materials appropriately.,Developmental Progression,1.1.3.5.1,ATL.3.E.1,Handles classroom materials properly with adult support.
ATL.3,Handles and cares for materials appropriately.,Developmental Progression,1.1.3.5.2,ATL.3.E.2,Participates in the cleaning and return of classroom materials.
ATL.3,Handles and cares for materials appropriately.,Developmental Progression,1.1.3.6.1,ATL.3.F.1,Takes care of classroom materials
ATL.3,Handles and cares for materials appropriately.,Developmental Progression,1.1.3.6.2,ATL.3.F.2,Appropriately handles materials during activities.
ATL.3,Handles and cares for materials appropriately.,Developmental Progression,1.1.3.6.3,ATL.3.F.3,Cleans up and returns materials appropriately.
ATL.4,"Controls actions, words, and behaviors with independence.",Developmental Progression,1.1.4.1.1,ATL.4.A.1,Reacts to caregiver’s facial expressions and calming voice
ATL.4,"Controls actions, words, and behaviors with independence.",Developmental Progression,1.1.4.2.1,ATL.4.B.1,Begins to stop or start actions based on simple verbal cues.
ATL.4,"Controls actions, words, and behaviors with independence.",Developmental Progression,1.1.4.3.1,ATL.4.C.1,"Uses simple words to express needs or feelings instead of actions (e.g., “Mine!”)."
ATL.4,"Controls actions, words, and behaviors with independence.",Developmental Progression,1.1.4.4.1,ATL.4.D.1,Demonstrates self-control during transitions and group activities.
ATL.4,"Controls actions, words, and behaviors with independence.",Developmental Progression,1.1.4.5.1,ATL.4.E.1,"Manages actions, words and behavior with support from adults."
ATL.4,"Controls actions, words, and behaviors with independence.",Developmental Progression,1.1.4.6.1,ATL.4.F.1,"Regulates actions, words, and behavior with support from adults if needed."
ATL.4,"Controls actions, words, and behaviors with independence.",Developmental Progression,1.1.4.6.2,ATL.4.F.2,Describes the effects that behavior may have on others.
ATL.4,"Controls actions, words, and behaviors with independence.",Developmental Progression,1.1.4.6.3,ATL.4.F.3,"Waits for turn, such as waits in line to wash hands or waits for turn on swings."
ATL.4,"Controls actions, words, and behaviors with independence.",Developmental Progression,1.1.4.6.4,ATL.4.F.4,Refrains from aggressive behavior towards others.
ATL.4,"Controls actions, words, and behaviors with independence.",Developmental Progression,1.1.4.6.5,ATL.4.F.5,Demonstrates understanding of the consequences of behavior.
ATL.5,Develops the ability to control impulses effectively.,Developmental Progression,1.2.1.1.1,ATL.5.A.1,Pauses actions when a caregiver says “no” or redirects.
ATL.5,Develops the ability to control impulses effectively.,Developmental Progression,1.2.1.2.1,ATL.5.B.1,Waits briefly when attention is redirected.
ATL.5,Develops the ability to control impulses effectively.,Developmental Progression,1.2.1.3.1,ATL.5.C.1,"Attempts self-control with gestures or words (e.g., waiting before grabbing a toy)."
ATL.5,Develops the ability to control impulses effectively.,Developmental Progression,1.2.1.4.1,,"Controls impulses with guidance, such as refraining from interrupting."
ATL.5,Develops the ability to control impulses effectively.,Developmental Progression,1.2.1.5.1,ATL.5.E.1,Child shows improvement in delaying immediate gratification for a bigger reward.
ATL.5,Develops the ability to control impulses effectively.,Developmental Progression,1.2.1.5.2,ATL.5.E.2,"Frequently engages in impulsive behaviors, but inhibits them when directly supported by an adult."
ATL.6,Maintains focus and attention with minimal support.,Developmental Progression,1.2.2.1.1,ATL.6.A.1,Watches moving objects or faces for short periods.
ATL.6,Maintains focus and attention with minimal support.,Developmental Progression,1.2.2.2.1,ATL.6.B.1,"Focuses on activities, such as stacking blocks, for increasing durations.Engages with a single activity for a few minutes before seeking adult interaction."
ATL.6,Maintains focus and attention with minimal support.,Developmental Progression,1.2.2.3.1,ATL.6.C.1,"Resumes tasks after mild distractions, such as looking back at a toy after hearing a noise."
ATL.6,Maintains focus and attention with minimal support.,Developmental Progression,1.2.2.4.1,ATL.6.D.1,"Completes multi-step tasks with reminders (e.g., “Pick up the block and put it in the bin”)."
ATL.6,Maintains focus and attention with minimal support.,Developmental Progression,1.2.2.5.1,ATL.6.E.1,Focus on tasks and activities despite distractions or interruptions for short periods of time (5-10 minutes).
ATL.6,Maintains focus and attention with minimal support.,Developmental Progression,1.2.2.6.1,ATL.6.F.1,Focus on tasks and activities despite distractions or interruptions for extended periods of time.
ATL.6,Maintains focus and attention with minimal support.,Developmental Progression,1.2.2.6.2,ATL.6.F.2,Engages in purposeful play for extended periods of time.
ATL.6,Maintains focus and attention with minimal support.,Developmental Progression,1.2.2.6.3,ATL.6.F.3,Attends to adult during large and small group activities with minimal support.
ATL.7,Persists in tasks despite challenges.,Developmental Progression,1.2.3.1.1,ATL.7.A.1,"Attempts to grasp objects or roll over, even after initial failure."
ATL.7,Persists in tasks despite challenges.,Developmental Progression,1.2.3.2.1,ATL.7.B.1,Seeks adult assistance if unable to complete a task independently.
ATL.7,Persists in tasks despite challenges.,Developmental Progression,1.2.3.3.1,ATL.7.C.1,"Tries multiple approaches to solve problems, such as stacking blocks after a tower falls."
ATL.7,Persists in tasks despite challenges.,Developmental Progression,1.2.3.4.1,ATL.7.D.1,Uses trial-and-error methods without giving up quickly.
ATL.7,Persists in tasks despite challenges.,Developmental Progression,1.2.3.5.1,ATL.7.E.1,Persists on tasks when presented with small challenges with or without adult support.
ATL.7,Persists in tasks despite challenges.,Developmental Progression,1.2.3.6.1,ATL.7.F.1,Persists on preferred and  less preferred tasks activities with or without adult support.
ATL.7,Persists in tasks despite challenges.,Developmental Progression,1.2.3.6.2,ATL.7.F.2,Returns focus to an activity or task after having been away from it.
ATL.8,Retains and uses information to complete tasks.,Developmental Progression,1.2.4.1.1,ATL.8.B.1,Searches for partially hidden objects during play.
ATL.8,Retains and uses information to complete tasks.,Developmental Progression,1.2.4.2.1,ATL.8.A.1,"Completes simple cause-and-effect tasks based on past experiences (e.g., pressing a button to hear a sound)."
ATL.8,Retains and uses information to complete tasks.,Developmental Progression,1.2.4.3.1,ATL.8.C.1,"Completes familiar sequences, like stacking blocks in order, using memory."
ATL.8,Retains and uses information to complete tasks.,Developmental Progression,1.2.4.4.1,ATL.8.D.1,Recalls and follows multi-step instructions with guidance.
ATL.8,Retains and uses information to complete tasks.,Developmental Progression,1.2.4.5.1,ATL.8.E.1,Follows two-step directions with or without reminders.
ATL.8,Retains and uses information to complete tasks.,Developmental Progression,1.2.4.6.1,ATL.8.F.1,Recounts recent experiences in correct sequence with relevant details.
ATL.8,Retains and uses information to complete tasks.,Developmental Progression,1.2.4.6.2,ATL.8.F.2,Follows multi-step (three or more) directions with or without reminders.
ATL.8,Retains and uses information to complete tasks.,Developmental Progression,1.2.4.6.3,ATL.8.F.3,Recalls actions to go with stories or songs shortly after being taught.
ATL.9,Adapts thinking and behavior with flexibility.,Developmental Progression,1.2.5.1.1,ATL.9.A.1,"Reacts differently to new stimuli, showing curiosity or caution."
ATL.9,Adapts thinking and behavior with flexibility.,Developmental Progression,1.2.5.2.1,ATL.9.B.1,"Tries different methods to achieve goals, like turning an object to make it fit."
ATL.9,Adapts thinking and behavior with flexibility.,Developmental Progression,1.2.5.3.1,ATL.9.C.1,Adapts to changes in routines with support.
ATL.9,Adapts thinking and behavior with flexibility.,Developmental Progression,1.2.5.4.1,ATL.9.D.1,Uses alternate strategies when a preferred method does not work.
ATL.9,Adapts thinking and behavior with flexibility.,Developmental Progression,1.2.5.5.1,ATL.9.E.1,"Demonstrates flexibility or the ability to adapt to change, in thinking and behavior when prompted by an adult."
ATL.9,Adapts thinking and behavior with flexibility.,Developmental Progression,1.2.5.5.2,ATL.9.E.2,Demonstrates problem-solving abilities by applying different strategies with or without adult support.
ATL.9,Adapts thinking and behavior with flexibility.,Developmental Progression,1.2.5.6.1,ATL.9.F.1,Demonstrates flexibility in thinking and behavior without prompting.
ATL.9,Adapts thinking and behavior with flexibility.,Developmental Progression,1.2.5.6.2,ATL.9.F.2,Responds to adult suggestions to show flexibility in approaching tasks or solving problems independently or with peers.
ATL.9,Adapts thinking and behavior with flexibility.,Developmental Progression,1.2.5.6.3,ATL.9.F.3,"Applies different rules in contexts that require different behaviors, such as using indoor voices or feet instead of outdoor voices or feet."
ATL.9,Adapts thinking and behavior with flexibility.,Developmental Progression,1.2.5.6.4,ATL.9.F.4,Transitions between activities without getting upset.
ATL.10,Takes initiative and demonstrates independence.,Developmental Progression,1.3.1.1.1,ATL.10.B.1,Reaches for objects or moves toward items of interest.
ATL.10,Takes initiative and demonstrates independence.,Developmental Progression,1.3.1.2.1,ATL.10.A.1,Explores toys and new environments with curiosity
ATL.10,Takes initiative and demonstrates independence.,Developmental Progression,1.3.1.3.1,ATL.10.C.1,"Initiates simple actions, such as setting up toys for play."
ATL.10,Takes initiative and demonstrates independence.,Developmental Progression,1.3.1.4.1,ATL.10.D.1,"Takes responsibility for small tasks, like putting toys away."
ATL.10,Takes initiative and demonstrates independence.,Developmental Progression,1.3.1.5.1,ATL.10.E.1,Works independently on tasks with minimal assistance.
ATL.10,Takes initiative and demonstrates independence.,Developmental Progression,1.3.1.5.2,ATL.10.E.2,"Shows initiative with tasks and activities, particularly in interactions with familiar adults."
ATL.10,Takes initiative and demonstrates independence.,Developmental Progression,1.3.1.6.1,ATL.10.F.1,Works on tasks independently for increasing amounts of time.
ATL.10,Takes initiative and demonstrates independence.,Developmental Progression,1.3.1.6.2,ATL.10.F.2,"Displays initiative and proactive behavior, especially during preferred tasks and activities."
ATL.10,Takes initiative and demonstrates independence.,Developmental Progression,1.3.1.6.3,ATL.10.F.3,Makes choices independently and communicates them to adults and other children.
ATL.10,Takes initiative and demonstrates independence.,Developmental Progression,1.3.1.6.4,ATL.10.F.4,"Plans play by establishing roles, choosing materials, and suggesting play scenarios."
ATL.11,Explores and shows curiosity about the world.,Developmental Progression,1.3.2.1.1,ATL.11.A.1,"Explores surroundings by watching, grasping, or mouthing objects."
ATL.11,Explores and shows curiosity about the world.,Developmental Progression,1.3.2.2.1,ATL.11.B.1,Shows curiosity by pointing at or reaching for new objects
ATL.11,Explores and shows curiosity about the world.,Developmental Progression,1.3.2.3.1,ATL.11.C.1,"Investigates new objects or environments (e.g., opening drawers, lifting lids)."
ATL.11,Explores and shows curiosity about the world.,Developmental Progression,1.3.2.4.1,ATL.11.D.1,"Demonstrates curiosity by asking specific questions (e.g., “What’s that sound?”)."
ATL.11,Explores and shows curiosity about the world.,Developmental Progression,1.3.2.5.1,ATL.11.E.1,Asks questions about unfamiliar things.
ATL.11,Explores and shows curiosity about the world.,Developmental Progression,1.3.2.5.2,ATL.11.E.2,Explores new play and tasks with adult support.
ATL.11,Explores and shows curiosity about the world.,Developmental Progression,1.3.2.6.1,ATL.11.F.1,Asks questions on topics of interest.
ATL.11,Explores and shows curiosity about the world.,Developmental Progression,1.3.2.6.2,ATL.11.F.2,Seeks out new information or new experiences and tasks with or without adult support.
ATL.11,Explores and shows curiosity about the world.,Developmental Progression,1.3.2.6.3,ATL.11.F.3,"Shows interest in learning and discussing new activities, ideas, or topics."
ATL.11,Explores and shows curiosity about the world.,Developmental Progression,1.3.2.6.4,ATL.11.F.4,Participates in new activities or experiences even if they are perceived as challenging.
ATL.12,Expresses creativity in thoughts and communication.,Developmental Progression,1.4.1.1.1,ATL.12.A.1,"Reacts to varied stimuli, such as music or bright colors, with smiles or coos."
ATL.12,Expresses creativity in thoughts and communication.,Developmental Progression,1.4.1.2.1,ATL.12.B.1,Experiments with sounds or babbling to imitate words or melodies.
ATL.12,Expresses creativity in thoughts and communication.,Developmental Progression,1.4.1.3.1,ATL.12.C.1,"Combines words, gestures, or objects creatively (e.g., using a block as a phone)."
ATL.12,Expresses creativity in thoughts and communication.,Developmental Progression,1.4.1.4.1,ATL.12.D.1,"Creates imaginative scenarios during play (e.g., “I’m a firefighter!”)."
ATL.12,Expresses creativity in thoughts and communication.,Developmental Progression,1.4.1.5.1,ATL.12.E.1,Expresses creative ideas in words and/or actions when prompted by adults
ATL.12,Expresses creativity in thoughts and communication.,Developmental Progression,1.4.1.6.1,ATL.12.F.1,Communicates creative ideas and actions with and without prompting from adults.
ATL.12,Expresses creativity in thoughts and communication.,Developmental Progression,1.4.1.6.2,ATL.12.F.2,Asks questions about tasks or activities that indicate thinking about new ways to accomplish the task or activity.
ATL.12,Expresses creativity in thoughts and communication.,Developmental Progression,1.4.1.6.3,ATL.12.F.3,Demonstrates ability to create multiple solutions to a problem
ATL.12,Expresses creativity in thoughts and communication.,Developmental Progression,1.4.1.6.4,ATL.12.F.4,"Approaches tasks, activities, and play in ways that show creative problem solving."
ATL.13,Engages imagination in play and social interactions.,Developmental Progression,1.4.2.1.1,ATL.13.B.1,"Reacts to playful activities, such as peek-a-boo or silly voices, with smiles or laughter."
ATL.13,Engages imagination in play and social interactions.,Developmental Progression,1.4.2.2.1,ATL.13.A.1,"Engages in simple imitative play (e.g., pretending to talk on a phone)."
ATL.13,Engages imagination in play and social interactions.,Developmental Progression,1.4.2.3.1,ATL.13.C.1,"Engages in basic role-play, such as pretending to be a parent or an animal."
ATL.13,Engages imagination in play and social interactions.,Developmental Progression,1.4.2.4.1,ATL.13.D.1,"Creates extended pretend play sequences (e.g., cooking food and serving it to peers)."
ATL.13,Engages imagination in play and social interactions.,Developmental Progression,1.4.2.5.1,ATL.13.E.1,Exhibits creative role-playing with peers.
ATL.13,Engages imagination in play and social interactions.,Developmental Progression,1.4.2.5.2,ATL.13.E.2,Communicates creative ideas to other children and adults.
ATL.13,Engages imagination in play and social interactions.,Developmental Progression,1.4.2.5.3,ATL.13.E.3,Applies inventive use of toys and props in play.
ATL.13,Engages imagination in play and social interactions.,Developmental Progression,1.4.2.6.1,ATL.13.F.1,"Tells stories, makes up songs, and other creative works with peers and adults."
ATL.13,Engages imagination in play and social interactions.,Developmental Progression,1.4.2.6.2,ATL.13.F.2,Engages in pretend play with peers and adults.
ATL.13,Engages imagination in play and social interactions.,Developmental Progression,1.4.2.6.3,ATL.13.F.3,Uses imagination with materials to create stories or works of art
ATL.13,Engages imagination in play and social interactions.,Developmental Progression,1.4.2.6.4,ATL.13.F.4,Uses objects or materials to represent something else during play.
SE.1,Builds positive relationships with trusted adults.,Developmental Progression,2.1.1.1.1,SE.1.A.1,Smiles or vocalizes in response to familiar voices.
SE.1,Builds positive relationships with trusted adults.,Developmental Progression,2.1.1.2.1,SE.1.B.1,Calms when held by a familiar caregiver.
SE.1,Builds positive relationships with trusted adults.,Developmental Progression,2.1.1.3.1,SE.1.C.1,"Initiates simple interactions, like holding hands."
SE.1,Builds positive relationships with trusted adults.,Developmental Progression,2.1.1.4.1,SE.1.D.1,Seeks adults for comfort during challenges
SE.1,Builds positive relationships with trusted adults.,Developmental Progression,2.1.1.5.1,SE.1.E.1,Engages in positive interactions with trusted adults.
SE.1,Builds positive relationships with trusted adults.,Developmental Progression,2.1.1.5.2,SE.1.E.2,Participates in interactions with trusted and new adults.
SE.1,Builds positive relationships with trusted adults.,Developmental Progression,2.1.1.5.3,SE.1.E.3,Separates from trusted adults in familiar settings.
SE.1,Builds positive relationships with trusted adults.,Developmental Progression,2.1.1.5.4,SE.1.E.4,Seeks support from trusted adults to solve problems
SE.1,Builds positive relationships with trusted adults.,Developmental Progression,2.1.1.6.1,SE.1.F.1,Interacts readily with trusted adults.
SE.1,Builds positive relationships with trusted adults.,Developmental Progression,2.1.1.6.2,SE.1.F.2,Demonstrates active listening and responds appropriately when adults speak.
SE.1,Builds positive relationships with trusted adults.,Developmental Progression,2.1.1.6.3,SE.1.F.3,"Engages in some positive interactions with less familiar adults, such as parent volunteers."
SE.1,Builds positive relationships with trusted adults.,Developmental Progression,2.1.1.6.4,SE.1.F.4,Seeks help from adults when needed.
SE.2,Cooperates and engages with adults in activities.,Developmental Progression,2.1.2.1.1,SE.2.A.1,Reacts to soothing voices by calming or smiling
SE.2,Cooperates and engages with adults in activities.,Developmental Progression,2.1.2.2.1,SE.2.B1,Attempts to mimic facial expressions during interactions
SE.2,Cooperates and engages with adults in activities.,Developmental Progression,2.1.2.3.1,SE.2.C.1,"Shares simple tasks with adults (e.g., stacking blocks)"
SE.2,Cooperates and engages with adults in activities.,Developmental Progression,2.1.2.4.1,SE.2.D.1,Listens and follows basic directions in group settings
SE.2,Cooperates and engages with adults in activities.,Developmental Progression,2.1.2.5.1,SE.2.E.1,"Engages sometimes in prosocial behavior with adults, such as greeting the teacher or saying goodbye."
SE.2,Cooperates and engages with adults in activities.,Developmental Progression,2.1.2.5.2,SE.2.E.2,Initiates conversation with familiart adults by asking questions or sharing information.
SE.2,Cooperates and engages with adults in activities.,Developmental Progression,2.1.2.5.3,SE.2.E.3,"Resolves uncooperative behavior with familiar adults, such as saying ""No"" to requeststs."
SE.2,Cooperates and engages with adults in activities.,Developmental Progression,2.1.2.5.4,SE.2.E.4,Responds to adult requests and directions that may include assistance or prompting.
SE.2,Cooperates and engages with adults in activities.,Developmental Progression,2.1.2.6.1,SE.2.F.1,Behaves cooperatively with adults.
SE.2,Cooperates and engages with adults in activities.,Developmental Progression,2.1.2.6.2,SE.2.F.2,Participates in adult-led activities.
SE.2,Cooperates and engages with adults in activities.,Developmental Progression,2.1.2.6.3,SE.2.F.3,"Engages in prosocial behaviors with adults, such as using respectful language or greetings."
SE.2,Cooperates and engages with adults in activities.,Developmental Progression,2.1.2.6.4,SE.2.F.4,Follows adult guidelines and expectations for appropriate behavior.
SE.3,Interacts positively with peers in various settings.,Developmental Progression,2.2.1.1.1,SE.3.1,Watches and tracks behavior of other infants
SE.3,Interacts positively with peers in various settings.,Developmental Progression,2.2.1.2.1,SE.3.B.1,Looks back and forth between adult and toy while playing
SE.3,Interacts positively with peers in various settings.,Developmental Progression,2.2.1.3.1,SE.3.C.1,Plays side-by-side with others using similar toys
SE.3,Interacts positively with peers in various settings.,Developmental Progression,2.2.1.4.1,SE.3.D.1,Participates in simple group routines with peers
SE.3,Interacts positively with peers in various settings.,Developmental Progression,2.2.1.5.1,SE.3.E.1,"Sometimes engages in prosocial behaviors, such as sharing or taking turns or waiting to speak in conversations, with other children with or without prompting from an adult."
SE.3,Interacts positively with peers in various settings.,Developmental Progression,2.2.1.6.1,SE.3.F.1,Sustains interactions with other children more often and for increasing periods of time.
SE.3,Interacts positively with peers in various settings.,Developmental Progression,2.2.1.6.2,SE.3.F.2,Interacts with and develops friendships with a variety of peers.
SE.4,Participates in cooperative and shared play experiences.,Developmental Progression,2.2.2.1.1,SE.4.A.1,Shows interest in another child’s actions
SE.4,Participates in cooperative and shared play experiences.,Developmental Progression,2.2.2.2.1,SE.4.B.1,"Reaches out to touch another child’s face, hair, or toy"
SE.4,Participates in cooperative and shared play experiences.,Developmental Progression,2.2.2.3.1,,Engages in simple turn-taking games
SE.4,Participates in cooperative and shared play experiences.,Developmental Progression,2.2.2.4.1,SE.4.C.1,Demonstrates sharing with minimal support
SE.4,Participates in cooperative and shared play experiences.,Developmental Progression,2.2.2.5.1,SE.4.D.1,Works with other children to solve problems or complete tasks during play.
SE.4,Participates in cooperative and shared play experiences.,Developmental Progression,2.2.2.5.2,SE.4.D.2,Engages with other children to plan and enact coordinated play for short periods of time.
SE.4,Participates in cooperative and shared play experiences.,Developmental Progression,2.2.2.6.1,SE.4.E.1,Respects personal boundaries and spaces during play interactions.
SE.4,Participates in cooperative and shared play experiences.,Developmental Progression,2.2.2.6.2,SE.4.E.2,"Engages in joint play, such as using coordinated goals, planning, roles, and games with rules, with at least one other child at a time."
SE.4,Participates in cooperative and shared play experiences.,Developmental Progression,2.2.2.6.3,SE.4.E.3,Exhibits social interaction skills in the context of group pretend play.
SE.4,Participates in cooperative and shared play experiences.,Developmental Progression,2.2.2.6.4,SE.4.E.4,Demonstrates willingness to include others' ideas during interactions and play.
SE.4,Participates in cooperative and shared play experiences.,Developmental Progression,2.2.2.6.5,SE.4.E.5,Engages in reflection and conversation about past play experiences.
SE.5,Participates in cooperative and shared play experiences.,Developmental Progression,2.2.3.1.1,SE.5.A.1,Responds to help from adults during frustration
SE.5,Participates in cooperative and shared play experiences.,Developmental Progression,2.2.3.2.1,SE.5.B.1,Uses simple gestures to indicate wants or dislikes
SE.5,Participates in cooperative and shared play experiences.,Developmental Progression,2.2.3.3.1,SE.5.C.1,Seeks help from adults to resolve disagreements
SE.5,Participates in cooperative and shared play experiences.,Developmental Progression,2.2.3.4.1,SE.5.C.1,Initiates problem-solving strategies with peers
SE.5,Participates in cooperative and shared play experiences.,Developmental Progression,2.2.3.5.1,SE.5.D.1,"Begins to recognize and describe basic social problems in classroom experiences, or in books or pictures."
SE.5,Participates in cooperative and shared play experiences.,Developmental Progression,2.2.3.5.2,SE.5.D.2,Suggests simple solutions to resolve conflicts with adult support.
SE.5,Participates in cooperative and shared play experiences.,Developmental Progression,2.2.3.6.1,SE.5.F.1,"Uses basic strategies for dealing with common conflicts, such as sharing, taking turns, and compromising."
SE.5,Participates in cooperative and shared play experiences.,Developmental Progression,2.2.3.6.2,SE.5.F.2,Demonstrates problem-solving and critical thinking during play with peers.
SE.5,Participates in cooperative and shared play experiences.,Developmental Progression,2.2.3.6.3,SE.5.F.3,"Recognizes and describes basic social problems in classroom experiences, or in books or pictures."
SE.5,Participates in cooperative and shared play experiences.,Developmental Progression,2.2.3.6.4,SE.5.F.4,"Suggests simple solutions to resolve conflicts, with or without adult support."
SE.6,Expresses and navigates a range of emotions.,Developmental Progression,2.3.1.1.1,SE.6.A.1,Shows distinct emotions like happiness and sadness
SE.6,Expresses and navigates a range of emotions.,Developmental Progression,2.3.1.2.1,SE.6.B.1,Uses gestures to communicate needs or frustrations
SE.6,Expresses and navigates a range of emotions.,Developmental Progression,2.3.1.3.1,SE.6.C.1,Names simple emotions with support
SE.6,Expresses and navigates a range of emotions.,Developmental Progression,2.3.1.4.1,SE.6.D.1,Identifies emotions in self and peers
SE.6,Expresses and navigates a range of emotions.,Developmental Progression,2.3.1.5.1,SE.6.E.1,Recognizes and names a broad range of emotions in self.
SE.6,Expresses and navigates a range of emotions.,Developmental Progression,2.3.1.6.1,SE.6.F.1,Demonstrates appropriate emotional responses.
SE.6,Expresses and navigates a range of emotions.,Developmental Progression,2.3.1.6.2,SE.6.F.2,Recognizes and names a broad range of emotions in self and others.
SE.6,Expresses and navigates a range of emotions.,Developmental Progression,2.3.1.6.3,SE.6.F.3,Recognizes and names basic emotions in books or photographs.
SE.6,Expresses and navigates a range of emotions.,Developmental Progression,2.3.1.6.4,SE.6.F.4,Uses verbal and nonverbal communication to express emotions
SE.7,"Shows care, empathy, and concern for others.",Developmental Progression,2.3.2.1.1,SE.7.A.1,Watches a crying peer with interest
SE.7,"Shows care, empathy, and concern for others.",Developmental Progression,2.3.2.2.1,SE.7.B.1,Pats another child who is crying
SE.7,"Shows care, empathy, and concern for others.",Developmental Progression,2.3.2.3.1,SE.7.C.1,Attempts to comfort peers using words or actions
SE.7,"Shows care, empathy, and concern for others.",Developmental Progression,2.3.2.4.1,SE.7.D.1,Shares or helps peers in distress
SE.7,"Shows care, empathy, and concern for others.",Developmental Progression,2.3.2.5.1,SE.7.E.1,Notices feelings of others.
SE.7,"Shows care, empathy, and concern for others.",Developmental Progression,2.3.2.5.2,SE.7.E.2,Seeks out adult help for peers who are distressed or upset.
SE.7,"Shows care, empathy, and concern for others.",Developmental Progression,2.3.2.6.1,SE.7.F.1,Demonstrates empathy to emotions and feelings of others.
SE.7,"Shows care, empathy, and concern for others.",Developmental Progression,2.3.2.6.2,SE.7.F.2,Offers support to adults or other children who are distressed.
SE.7,"Shows care, empathy, and concern for others.",Developmental Progression,2.3.2.6.3,SE.7.F.3,Notices feelings of others.
SE.8,Manages emotions with increasing independence.,Developmental Progression,2.3.3.1.1,SE.8.A.1,Self-soothes by finger-sucking or holding an object
SE.8,Manages emotions with increasing independence.,Developmental Progression,2.3.3.2.1,SE.8.B.1,Uses a comfort object when stressed
SE.8,Manages emotions with increasing independence.,Developmental Progression,2.3.3.3.1,SE.8.C.1,Manages small frustrations without adult intervention
SE.8,Manages emotions with increasing independence.,Developmental Progression,2.3.3.4.1,SE.8.D.1,"Begins using calming strategies, such as deep breathing"
SE.8,Manages emotions with increasing independence.,Developmental Progression,2.3.3.5.1,SE.8.E.1,Seeks adult support to manage more intense emotions.
SE.8,Manages emotions with increasing independence.,Developmental Progression,2.3.3.5.2,SE.8.E.2,Manages less intense emotions independently.
SE.8,Manages emotions with increasing independence.,Developmental Progression,2.3.3.6.1,SE.8.F.1,Connects feelings with behaviors.
SE.8,Manages emotions with increasing independence.,Developmental Progression,2.3.3.6.2,SE.8.F.2,Exhibits ability to regulate emotions without support.
SE.8,Manages emotions with increasing independence.,Developmental Progression,2.3.3.6.3,SE.8.F.3,Expresses feelings in ways that are appropriate to the situation.
SE.8,Manages emotions with increasing independence.,Developmental Progression,2.3.3.6.4,SE.8.F.4,Looks for adult assistance when feelings are most intense.
SE.8,Manages emotions with increasing independence.,Developmental Progression,2.3.3.6.5,SE.8.F.5,Uses a range of coping strategies to manage emotions with the support of an adult.
