Item Type,Sequence,Full Statement,Standard Sequence,Standard Label,Mokken Score
Standard,6.1.2,Uses senses to guide movements and interactions.,,,0.1266832281827486
Standard,6.2.1,Gains control and coordination of small muscles.,,,0.15756877753856055
Standard,6.2.2,Practices personal hygiene and self-care routines.,,,0.19603173514788969
Standard,6.3.1,Learns about nutritious food choices and eating habits.,,,0.1687700384421948
Standard,6.3.2,Understands personal safety practices and routines.,,,0.17469840181455631
Standard,7.1.1,"Differentiates between past, present, and future events.",,,0.13332815729997466
Standard,7.1.2,Identifies changes over time in immediate environment.,,,0.13737900077244491
Standard,7.2.1,Differentiates between needs and wants;  recognizes simple choices related to obtaining them.,,,
Standard,7.2.2,Understands the role of work and earning money.,,,
Standard,7.3.1,Develops an awareness of the physical environment and spatial relationships.,,,
Standard,7.3.2,Identify relationships between human actions and the environment.,,,
Standard,7.4.1,Identifies self as a member of a culture and community.,,,
Standard,7.4.2,Demonstrates understanding of group roles and responsibilities.,,,
Standard,7.4.3,Identifies US and state flagas,,,0.053333333333333316
Standard,7.4.4,Says Pledge of Allegiance,,,0.05499999999999994
Standard,7.4.5,Engages in voting for group decision making,,,-5.551115123125783e-17
Standard,8.1.1,"Engages with technology to access information, learn, and solve problems independently.",,,0.12326144907173434
Standard,8.2.1,Uses digital resources responsibly while understanding online risks and etiquette.,,,0.08927868380553633
Standard,8.3.1,Constructs knowledge through effective use of digital tools and information resources.,,,0.06371173070873834
Standard,8.4.1,Applies creative thinking and problem solving to design digital solutions.,,,0.13228315928016696
Standard,8.5.1,Demonstrates an understanding of computational processes through interactive digital experiences.,,,0.040854587851595486
Standard,8.6.1,Communicates ideas effectively using digital media and tools.,,,0.0865688735658812
Standard,8.7.1,Collaborates globally using digital platforms while demonstrating responsible technology use.,,,
Standard,9.1.1,"Demonstrates art skills through exploration, self-expression, and appreciation of creative works.",,,
Standard,9.1.2,Appreciates other’s creative works through increasingly complex physical and mental processes.,,,
Standard,9.2.1,"Engages in musical activities by themself or in classroom setting to develop rhythm, expression, and creative responses.",,,
Standard,9.2.2,Responds to music through movement,,,
Standard,9.3.1,"Develops dramatic expression skills through storytelling, role play, and creative dramatics.",,,
Standard,9.3.2,Engages in dramatic play,,,
Developmental Progression,1.1.1.1.1,Calms when held by a familiar caregiver,1.1.1,Manages emotions with growing independence.,
Developmental Progression,1.1.1.2.1,Smiles or vocalizes in response to familiar voices.,1.1.1,Manages emotions with growing independence.,
Developmental Progression,1.1.1.3.1,"Initiates simple interactions, like holding hands.",1.1.1,Manages emotions with growing independence.,
Developmental Progression,1.1.1.4.1,Seeks adults for comfort during challenges,1.1.1,Manages emotions with growing independence.,
Developmental Progression,1.1.1.5.1,Manages less intense emotions independently.,1.1.1,Manages emotions with growing independence.,
Developmental Progression,1.1.1.5.2,Articulates their emotions.,1.1.1,Manages emotions with growing independence.,
Developmental Progression,1.1.1.5.3,Asks for adult support to manage intense emotions.,1.1.1,Manages emotions with growing independence.,
Developmental Progression,1.1.1.6.1,Expresses emotions in ways that are appropriate to the situation.,1.1.1,Manages emotions with growing independence.,
Developmental Progression,1.1.1.6.2,Seeks adult assistance when emotions are most intense.,1.1.1,Manages emotions with growing independence.,
Developmental Progression,1.1.1.6.3,"Uses coping strategies, such as using words or taking deep breaths, to manage emotions with adult support.",1.1.1,Manages emotions with growing independence.,
Developmental Progression,1.1.2.1.1,Shows recognition of familiar routines through calmness or anticipation,1.1.2,Follows rules and routines with growing independence.,
Developmental Progression,1.1.2.2.1,"Participates in simple routines, such as putting toys in a bin when encouraged.",1.1.2,Follows rules and routines with growing independence.,
Developmental Progression,1.1.2.3.1,"Begins anticipating steps in routines, like washing hands before eating.",1.1.2,Follows rules and routines with growing independence.,
Developmental Progression,1.1.2.4.1,"Participates in group routines, such as lining up or cleaning up toys",1.1.2,Follows rules and routines with growing independence.,
Developmental Progression,1.1.2.5.1,Follows classroom rules and routines with assistance from adults.,1.1.2,Follows rules and routines with growing independence.,
Developmental Progression,1.1.2.6.1,Follows classroom rules and routines with occasional reminders from adults.,1.1.2,Follows rules and routines with growing independence.,
Developmental Progression,1.1.2.6.2,Responds to signals when transitioning from one activity to another.,1.1.2,Follows rules and routines with growing independence.,
Developmental Progression,1.1.3.1.1,Grasps and explores objects with curiosity.,1.1.3,Handles and cares for materials appropriately.,
Developmental Progression,1.1.3.2.1,Begins to place items in designated spaces with guidance.,1.1.3,Handles and cares for materials appropriately.,
Developmental Progression,1.1.3.3.1,"Helps with simple clean-up tasks, such as putting books back on a shelf.",1.1.3,Handles and cares for materials appropriately.,
Developmental Progression,1.1.3.4.1,Begins to understand the value of taking care of shared materials.,1.1.3,Handles and cares for materials appropriately.,
Developmental Progression,1.1.3.5.1,Handles classroom materials properly with adult support.,1.1.3,Handles and cares for materials appropriately.,
Developmental Progression,1.1.3.5.2,Participates in the cleaning and return of classroom materials.,1.1.3,Handles and cares for materials appropriately.,
Developmental Progression,1.1.3.6.1,Takes care of classroom materials,1.1.3,Handles and cares for materials appropriately.,
Developmental Progression,1.1.3.6.2,Appropriately handles materials during activities.,1.1.3,Handles and cares for materials appropriately.,
Developmental Progression,1.1.3.6.3,Cleans up and returns materials appropriately.,1.1.3,Handles and cares for materials appropriately.,
Developmental Progression,1.1.4.1.1,Reacts to caregiver’s facial expressions and calming voice,1.1.4,"Controls actions, words, and behaviors with independence.",
Developmental Progression,1.1.4.2.1,Begins to stop or start actions based on simple verbal cues.,1.1.4,"Controls actions, words, and behaviors with independence.",
Developmental Progression,1.1.4.3.1,"Uses simple words to express needs or feelings instead of actions (e.g., “Mine!”).",1.1.4,"Controls actions, words, and behaviors with independence.",
Developmental Progression,1.1.4.4.1,Demonstrates self-control during transitions and group activities.,1.1.4,"Controls actions, words, and behaviors with independence.",
Developmental Progression,1.1.4.5.1,"Manages actions, words and behavior with support from adults.",1.1.4,"Controls actions, words, and behaviors with independence.",
Developmental Progression,1.1.4.6.1,"Regulates actions, words, and behavior with support from adults if needed.",1.1.4,"Controls actions, words, and behaviors with independence.",
Developmental Progression,1.1.4.6.2,Describes the effects that behavior may have on others.,1.1.4,"Controls actions, words, and behaviors with independence.",
Developmental Progression,1.1.4.6.3,"Waits for turn, such as waits in line to wash hands or waits for turn on swings.",1.1.4,"Controls actions, words, and behaviors with independence.",
Developmental Progression,1.1.4.6.4,Refrains from aggressive behavior towards others.,1.1.4,"Controls actions, words, and behaviors with independence.",
Developmental Progression,1.1.4.6.5,Demonstrates understanding of the consequences of behavior.,1.1.4,"Controls actions, words, and behaviors with independence.",
Developmental Progression,1.2.1.1.1,Pauses actions when a caregiver says “no” or redirects.,1.2.1,Develops the ability to control impulses effectively.,
Developmental Progression,1.2.1.2.1,Waits briefly when attention is redirected.,1.2.1,Develops the ability to control impulses effectively.,
Developmental Progression,1.2.1.3.1,"Attempts self-control with gestures or words (e.g., waiting before grabbing a toy).",1.2.1,Develops the ability to control impulses effectively.,
Developmental Progression,1.2.1.4.1,"Controls impulses with guidance, such as refraining from interrupting.",1.2.1,Develops the ability to control impulses effectively.,
Developmental Progression,1.2.1.5.1,Child shows improvement in delaying immediate gratification for a bigger reward.,1.2.1,Develops the ability to control impulses effectively.,
Developmental Progression,1.2.1.5.2,"Frequently engages in impulsive behaviors, but inhibits them when directly supported by an adult.",1.2.1,Develops the ability to control impulses effectively.,
Developmental Progression,1.2.2.1.1,Watches moving objects or faces for short periods.,1.2.2,Maintains focus and attention with minimal support.,
Developmental Progression,1.2.2.2.1,"Focuses on activities, such as stacking blocks, for increasing durations.Engages with a single activity for a few minutes before seeking adult interaction.",1.2.2,Maintains focus and attention with minimal support.,
Developmental Progression,1.2.2.3.1,"Resumes tasks after mild distractions, such as looking back at a toy after hearing a noise.",1.2.2,Maintains focus and attention with minimal support.,
Developmental Progression,1.2.2.4.1,"Completes multi-step tasks with reminders (e.g., “Pick up the block and put it in the bin”).",1.2.2,Maintains focus and attention with minimal support.,
Developmental Progression,1.2.2.5.1,Focus on tasks and activities despite distractions or interruptions for short periods of time (5-10 minutes).,1.2.2,Maintains focus and attention with minimal support.,
Developmental Progression,1.2.2.6.1,Focus on tasks and activities despite distractions or interruptions for extended periods of time.,1.2.2,Maintains focus and attention with minimal support.,
Developmental Progression,1.2.2.6.2,Engages in purposeful play for extended periods of time.,1.2.2,Maintains focus and attention with minimal support.,
Developmental Progression,1.2.2.6.3,Attends to adult during large and small group activities with minimal support.,1.2.2,Maintains focus and attention with minimal support.,
Developmental Progression,1.2.3.1.1,"Attempts to grasp objects or roll over, even after initial failure.",1.2.3,Persists in tasks despite challenges.,
Developmental Progression,1.2.3.2.1,Seeks adult assistance if unable to complete a task independently.,1.2.3,Persists in tasks despite challenges.,
Developmental Progression,1.2.3.3.1,"Tries multiple approaches to solve problems, such as stacking blocks after a tower falls.",1.2.3,Persists in tasks despite challenges.,
Developmental Progression,1.2.3.4.1,Uses trial-and-error methods without giving up quickly.,1.2.3,Persists in tasks despite challenges.,
Developmental Progression,1.2.3.5.1,Persists on tasks when presented with small challenges with or without adult support.,1.2.3,Persists in tasks despite challenges.,
Developmental Progression,1.2.3.6.1,Persists on preferred and  less preferred tasks activities with or without adult support.,1.2.3,Persists in tasks despite challenges.,
Developmental Progression,1.2.3.6.2,Returns focus to an activity or task after having been away from it.,1.2.3,Persists in tasks despite challenges.,
Developmental Progression,1.2.4.1.1,Searches for partially hidden objects during play.,1.2.4,Retains and uses information to complete tasks.,
Developmental Progression,1.2.4.2.1,"Completes simple cause-and-effect tasks based on past experiences (e.g., pressing a button to hear a sound).",1.2.4,Retains and uses information to complete tasks.,
Developmental Progression,1.2.4.3.1,"Completes familiar sequences, like stacking blocks in order, using memory.",1.2.4,Retains and uses information to complete tasks.,
Developmental Progression,1.2.4.4.1,Recalls and follows multi-step instructions with guidance.,1.2.4,Retains and uses information to complete tasks.,
Developmental Progression,1.2.4.5.1,Follows two-step directions with or without reminders.,1.2.4,Retains and uses information to complete tasks.,
Developmental Progression,1.2.4.6.1,Recounts recent experiences in correct sequence with relevant details.,1.2.4,Retains and uses information to complete tasks.,
Developmental Progression,1.2.4.6.2,Follows multi-step (three or more) directions with or without reminders.,1.2.4,Retains and uses information to complete tasks.,
Developmental Progression,1.2.4.6.3,Recalls actions to go with stories or songs shortly after being taught.,1.2.4,Retains and uses information to complete tasks.,
Developmental Progression,1.2.5.1.1,"Reacts differently to new stimuli, showing curiosity or caution.",1.2.5,Adapts thinking and behavior with flexibility.,
Developmental Progression,1.2.5.2.1,"Tries different methods to achieve goals, like turning an object to make it fit.",1.2.5,Adapts thinking and behavior with flexibility.,
Developmental Progression,1.2.5.3.1,Adapts to changes in routines with support.,1.2.5,Adapts thinking and behavior with flexibility.,
Developmental Progression,1.2.5.4.1,Uses alternate strategies when a preferred method does not work.,1.2.5,Adapts thinking and behavior with flexibility.,
Developmental Progression,1.2.5.5.1,"Demonstrates flexibility or the ability to adapt to change, in thinking and behavior when prompted by an adult.",1.2.5,Adapts thinking and behavior with flexibility.,
Developmental Progression,1.2.5.5.2,Demonstrates problem-solving abilities by applying different strategies with or without adult support.,1.2.5,Adapts thinking and behavior with flexibility.,
Developmental Progression,1.2.5.6.1,Demonstrates flexibility in thinking and behavior without prompting.,1.2.5,Adapts thinking and behavior with flexibility.,
Developmental Progression,1.2.5.6.2,Responds to adult suggestions to show flexibility in approaching tasks or solving problems independently or with peers.,1.2.5,Adapts thinking and behavior with flexibility.,
Developmental Progression,1.2.5.6.3,"Applies different rules in contexts that require different behaviors, such as using indoor voices or feet instead of outdoor voices or feet.",1.2.5,Adapts thinking and behavior with flexibility.,
Developmental Progression,1.2.5.6.4,Transitions between activities without getting upset.,1.2.5,Adapts thinking and behavior with flexibility.,
Developmental Progression,1.3.1.1.1,Reaches for objects or moves toward items of interest.,1.3.1,Takes initiative and demonstrates independence.,
Developmental Progression,1.3.1.2.1,Explores toys and new environments with curiosity,1.3.1,Takes initiative and demonstrates independence.,
Developmental Progression,1.3.1.3.1,"Initiates simple actions, such as setting up toys for play.",1.3.1,Takes initiative and demonstrates independence.,
Developmental Progression,1.3.1.4.1,"Takes responsibility for small tasks, like putting toys away.",1.3.1,Takes initiative and demonstrates independence.,
Developmental Progression,1.3.1.5.1,Works independently on tasks with minimal assistance.,1.3.1,Takes initiative and demonstrates independence.,
Developmental Progression,1.3.1.5.2,"Shows initiative with tasks and activities, particularly in interactions with familiar adults.",1.3.1,Takes initiative and demonstrates independence.,
Developmental Progression,1.3.1.6.1,Works on tasks independently for increasing amounts of time.,1.3.1,Takes initiative and demonstrates independence.,
Developmental Progression,1.3.1.6.2,"Displays initiative and proactive behavior, especially during preferred tasks and activities.",1.3.1,Takes initiative and demonstrates independence.,
Developmental Progression,1.3.1.6.3,Makes choices independently and communicates them to adults and other children.,1.3.1,Takes initiative and demonstrates independence.,
Developmental Progression,1.3.1.6.4,"Plans play by establishing roles, choosing materials, and suggesting play scenarios.",1.3.1,Takes initiative and demonstrates independence.,
Developmental Progression,1.3.2.1.1,"Explores surroundings by watching, grasping, or mouthing objects.",1.3.2,Explores and shows curiosity about the world.,
Developmental Progression,1.3.2.2.1,Shows curiosity by pointing at or reaching for new objects,1.3.2,Explores and shows curiosity about the world.,
Developmental Progression,1.3.2.3.1,"Investigates new objects or environments (e.g., opening drawers, lifting lids).",1.3.2,Explores and shows curiosity about the world.,
Developmental Progression,1.3.2.4.1,"Demonstrates curiosity by asking specific questions (e.g., “What’s that sound?”).",1.3.2,Explores and shows curiosity about the world.,
Developmental Progression,1.3.2.5.1,Asks questions about unfamiliar things.,1.3.2,Explores and shows curiosity about the world.,
Developmental Progression,1.3.2.5.2,Explores new play and tasks with adult support.,1.3.2,Explores and shows curiosity about the world.,
Developmental Progression,1.3.2.6.1,Asks questions on topics of interest.,1.3.2,Explores and shows curiosity about the world.,
Developmental Progression,1.3.2.6.2,Seeks out new information or new experiences and tasks with or without adult support.,1.3.2,Explores and shows curiosity about the world.,
Developmental Progression,1.3.2.6.3,"Shows interest in learning and discussing new activities, ideas, or topics.",1.3.2,Explores and shows curiosity about the world.,
Developmental Progression,1.3.2.6.4,Participates in new activities or experiences even if they are perceived as challenging.,1.3.2,Explores and shows curiosity about the world.,
Developmental Progression,1.4.1.1.1,"Reacts to varied stimuli, such as music or bright colors, with smiles or coos.",1.4.1,Expresses creativity in thoughts and communication.,
Developmental Progression,1.4.1.2.1,Experiments with sounds or babbling to imitate words or melodies.,1.4.1,Expresses creativity in thoughts and communication.,
Developmental Progression,1.4.1.3.1,"Combines words, gestures, or objects creatively (e.g., using a block as a phone).",1.4.1,Expresses creativity in thoughts and communication.,
Developmental Progression,1.4.1.4.1,"Creates imaginative scenarios during play (e.g., “I’m a firefighter!”).",1.4.1,Expresses creativity in thoughts and communication.,
Developmental Progression,1.4.1.5.1,Expresses creative ideas in words and/or actions when prompted by adults,1.4.1,Expresses creativity in thoughts and communication.,
Developmental Progression,1.4.1.6.1,Communicates creative ideas and actions with and without prompting from adults.,1.4.1,Expresses creativity in thoughts and communication.,
Developmental Progression,1.4.1.6.2,Asks questions about tasks or activities that indicate thinking about new ways to accomplish the task or activity.,1.4.1,Expresses creativity in thoughts and communication.,
Developmental Progression,1.4.1.6.3,Demonstrates ability to create multiple solutions to a problem,1.4.1,Expresses creativity in thoughts and communication.,
Developmental Progression,1.4.1.6.4,"Approaches tasks, activities, and play in ways that show creative problem solving.",1.4.1,Expresses creativity in thoughts and communication.,
Developmental Progression,1.4.2.1.1,"Reacts to playful activities, such as peek-a-boo or silly voices, with smiles or laughter.",1.4.2,Engages imagination in play and social interactions.,
Developmental Progression,1.4.2.2.1,"Engages in simple imitative play (e.g., pretending to talk on a phone).",1.4.2,Engages imagination in play and social interactions.,
Developmental Progression,1.4.2.3.1,"Engages in basic role-play, such as pretending to be a parent or an animal.",1.4.2,Engages imagination in play and social interactions.,
Developmental Progression,1.4.2.4.1,"Creates extended pretend play sequences (e.g., cooking food and serving it to peers).",1.4.2,Engages imagination in play and social interactions.,
Developmental Progression,1.4.2.5.1,Exhibits creative role-playing with peers.,1.4.2,Engages imagination in play and social interactions.,
Developmental Progression,1.4.2.5.2,Communicates creative ideas to other children and adults.,1.4.2,Engages imagination in play and social interactions.,
Developmental Progression,1.4.2.5.3,Applies inventive use of toys and props in play.,1.4.2,Engages imagination in play and social interactions.,
Developmental Progression,1.4.2.6.1,"Tells stories, makes up songs, and other creative works with peers and adults.",1.4.2,Engages imagination in play and social interactions.,
Developmental Progression,1.4.2.6.2,Engages in pretend play with peers and adults.,1.4.2,Engages imagination in play and social interactions.,
Developmental Progression,1.4.2.6.3,Uses imagination with materials to create stories or works of art,1.4.2,Engages imagination in play and social interactions.,
Developmental Progression,1.4.2.6.4,Uses objects or materials to represent something else during play.,1.4.2,Engages imagination in play and social interactions.,
Developmental Progression,2.1.1.1.1,Smiles or vocalizes in response to familiar voices.,2.1.1,Builds positive relationships with trusted adults.,
Developmental Progression,2.1.1.2.1,Calms when held by a familiar caregiver.,2.1.1,Builds positive relationships with trusted adults.,
Developmental Progression,2.1.1.3.1,"Initiates simple interactions, like holding hands.",2.1.1,Builds positive relationships with trusted adults.,
Developmental Progression,2.1.1.4.1,Seeks adults for comfort during challenges,2.1.1,Builds positive relationships with trusted adults.,
Developmental Progression,2.1.1.5.1,Engages in positive interactions with trusted adults.,2.1.1,Builds positive relationships with trusted adults.,
Developmental Progression,2.1.1.5.2,Participates in interactions with trusted and new adults.,2.1.1,Builds positive relationships with trusted adults.,
Developmental Progression,2.1.1.5.3,Separates from trusted adults in familiar settings.,2.1.1,Builds positive relationships with trusted adults.,
Developmental Progression,2.1.1.5.4,Seeks support from trusted adults to solve problems,2.1.1,Builds positive relationships with trusted adults.,
Developmental Progression,2.1.1.6.1,Interacts readily with trusted adults.,2.1.1,Builds positive relationships with trusted adults.,
Developmental Progression,2.1.1.6.2,Demonstrates active listening and responds appropriately when adults speak.,2.1.1,Builds positive relationships with trusted adults.,
Developmental Progression,2.1.1.6.3,"Engages in some positive interactions with less familiar adults, such as parent volunteers.",2.1.1,Builds positive relationships with trusted adults.,
Developmental Progression,2.1.1.6.4,Seeks help from adults when needed.,2.1.1,Builds positive relationships with trusted adults.,
Developmental Progression,2.1.2.1.1,Reacts to soothing voices by calming or smiling,2.1.2,Cooperates and engages with adults in activities.,
Developmental Progression,2.1.2.2.1,Attempts to mimic facial expressions during interactions,2.1.2,Cooperates and engages with adults in activities.,
Developmental Progression,2.1.2.3.1,"Shares simple tasks with adults (e.g., stacking blocks)",2.1.2,Cooperates and engages with adults in activities.,
Developmental Progression,2.1.2.4.1,Listens and follows basic directions in group settings,2.1.2,Cooperates and engages with adults in activities.,
Developmental Progression,2.1.2.5.1,"Engages sometimes in prosocial behavior with adults, such as greeting the teacher or saying goodbye.",2.1.2,Cooperates and engages with adults in activities.,
Developmental Progression,2.1.2.5.2,Initiates conversation with familiart adults by asking questions or sharing information.,2.1.2,Cooperates and engages with adults in activities.,
Developmental Progression,2.1.2.5.3,"Resolves uncooperative behavior with familiar adults, such as saying ""No"" to requeststs.",2.1.2,Cooperates and engages with adults in activities.,
Developmental Progression,2.1.2.5.4,Responds to adult requests and directions that may include assistance or prompting.,2.1.2,Cooperates and engages with adults in activities.,
Developmental Progression,2.1.2.6.1,Behaves cooperatively with adults.,2.1.2,Cooperates and engages with adults in activities.,
Developmental Progression,2.1.2.6.2,Participates in adult-led activities.,2.1.2,Cooperates and engages with adults in activities.,
Developmental Progression,2.1.2.6.3,"Engages in prosocial behaviors with adults, such as using respectful language or greetings.",2.1.2,Cooperates and engages with adults in activities.,
Developmental Progression,2.1.2.6.4,Follows adult guidelines and expectations for appropriate behavior.,2.1.2,Cooperates and engages with adults in activities.,
Developmental Progression,2.2.1.1.1,Watches and tracks behavior of other infants,2.2.1,Interacts positively with peers in various settings.,
Developmental Progression,2.2.1.2.1,Looks back and forth between adult and toy while playing,2.2.1,Interacts positively with peers in various settings.,
Developmental Progression,2.2.1.3.1,Plays side-by-side with others using similar toys,2.2.1,Interacts positively with peers in various settings.,
Developmental Progression,2.2.1.4.1,Participates in simple group routines with peers,2.2.1,Interacts positively with peers in various settings.,
Developmental Progression,2.2.1.5.1,"Sometimes engages in prosocial behaviors, such as sharing or taking turns or waiting to speak in conversations, with other children with or without prompting from an adult.",2.2.1,Interacts positively with peers in various settings.,
Developmental Progression,2.2.1.6.1,Sustains interactions with other children more often and for increasing periods of time.,2.2.1,Interacts positively with peers in various settings.,
Developmental Progression,2.2.1.6.2,Interacts with and develops friendships with a variety of peers.,2.2.1,Interacts positively with peers in various settings.,
Developmental Progression,2.2.2.1.1,Shows interest in another child’s actions,2.2.2,Participates in cooperative and shared play experiences.,
Developmental Progression,2.2.2.2.1,"Reaches out to touch another child’s face, hair, or toy",2.2.2,Participates in cooperative and shared play experiences.,
Developmental Progression,2.2.2.3.1,Engages in simple turn-taking games,2.2.2,Participates in cooperative and shared play experiences.,
Developmental Progression,2.2.2.4.1,Demonstrates sharing with minimal support,2.2.2,Participates in cooperative and shared play experiences.,
Developmental Progression,2.2.2.5.1,Works with other children to solve problems or complete tasks during play.,2.2.2,Participates in cooperative and shared play experiences.,
Developmental Progression,2.2.2.5.2,Engages with other children to plan and enact coordinated play for short periods of time.,2.2.2,Participates in cooperative and shared play experiences.,
Developmental Progression,2.2.2.6.1,Respects personal boundaries and spaces during play interactions.,2.2.2,Participates in cooperative and shared play experiences.,
Developmental Progression,2.2.2.6.2,"Engages in joint play, such as using coordinated goals, planning, roles, and games with rules, with at least one other child at a time.",2.2.2,Participates in cooperative and shared play experiences.,
Developmental Progression,2.2.2.6.3,Exhibits social interaction skills in the context of group pretend play.,2.2.2,Participates in cooperative and shared play experiences.,
Developmental Progression,2.2.2.6.4,Demonstrates willingness to include others' ideas during interactions and play.,2.2.2,Participates in cooperative and shared play experiences.,
Developmental Progression,2.2.2.6.5,Engages in reflection and conversation about past play experiences.,2.2.2,Participates in cooperative and shared play experiences.,
Developmental Progression,2.2.3.1.1,Responds to help from adults during frustration,2.2.3,Participates in cooperative and shared play experiences.,
Developmental Progression,2.2.3.2.1,Uses simple gestures to indicate wants or dislikes,2.2.3,Participates in cooperative and shared play experiences.,
