Identifier,URI,Item Type,Sequence,Human Code,Full Statement,Abbreviated Statement,Notes,Supp. Info,Ed. Level,Language,Src. Item ID,# Parents,# Children,Imp. Start Date,Retirement Date,Last Modified
0a95886a-52f9-4638-b4c5-7288a94f0e64,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/0a95886a-52f9-4638-b4c5-7288a94f0e64,Developmental Progression,1.1.1.6.3,ATL.1.F.3,"Uses coping strategies, such as using words or taking deep breaths, to manage emotions with adult support.",,,,PK,en,,1,0,,,2025-01-31T06:48:31+00:00
ce60021d-c79c-4bea-8bf6-f7f10190ac1b,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/ce60021d-c79c-4bea-8bf6-f7f10190ac1b,Standard,1.1.2,ATL.2,Follows rules and routines with growing independence.,,,,,,,1,6,,,2025-02-04T15:02:55+00:00
5290ae9d-48a8-40a9-9763-cfbfd6c6017d,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/67cfefe0-5f91-4386-8fcb-bcce611a4c78,Label,1.1.2.1,ATL.2.A,Infants (INF 0-8) Learning Outcome,,,,,,,1,1,,,2025-01-31T06:48:57+00:00
a0b41705-22ed-4a84-abaf-917715f1ef79,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/67cfefe0-5f91-4386-8fcb-bcce611a4c78,Developmental Progression,1.1.2.1.1,ATL.2.A.1,Shows recognition of familiar routines through calmness or anticipation,,,,,,,1,0,,,2025-01-31T06:49:02+00:00
8c15d604-ae96-4a2e-a12b-25bb748df12f,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/67cfefe0-5f91-4386-8fcb-bcce611a4c78,Label,1.1.2.2,ATL.2.B,Infants (INF 8-18) Learning Outcome,,,,,,,1,1,,,2025-01-31T06:49:06+00:00
a1cb1ebd-8961-41a1-b1ec-0a246bfaffb3,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/67cfefe0-5f91-4386-8fcb-bcce611a4c78,Developmental Progression,1.1.2.2.1,ATL.2.B.1,"Participates in simple routines, such as putting toys in a bin when encouraged.",,,,,,,1,0,,,2025-01-31T06:49:11+00:00
4b17d832-04bf-439f-abed-db387c234e19,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/67cfefe0-5f91-4386-8fcb-bcce611a4c78,Label,1.1.2.3,ATL.2.C,Toddler (TOD 18-24) Learning Outcome,,,,,,,1,1,,,2025-01-31T06:49:16+00:00
58d67f57-ac84-4581-933b-d13f63794e0f,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/67cfefe0-5f91-4386-8fcb-bcce611a4c78,Developmental Progression,1.1.2.3.1,ATL.2.C.1,"Begins anticipating steps in routines, like washing hands before eating.",,,,,,,1,0,,,2025-01-31T06:49:24+00:00
078da5a5-dcba-4ed2-a303-e0e56b661b02,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/67cfefe0-5f91-4386-8fcb-bcce611a4c78,Label,1.1.2.4,ATL.2.D,Toddler (TOD 24-36) Learning Outcome,,,,,,,1,1,,,2025-01-31T06:49:28+00:00
49c4243f-bc7b-4206-ac2d-2cefaf93803e,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/67cfefe0-5f91-4386-8fcb-bcce611a4c78,Developmental Progression,1.1.2.4.1,ATL.2.D.1,"Participates in group routines, such as lining up or cleaning up toys",,,,,,,1,0,,,2025-01-31T06:49:34+00:00
af9d4c30-cec6-4b55-b60b-149ef14be633,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/67cfefe0-5f91-4386-8fcb-bcce611a4c78,Label,1.1.2.5,ATL.2.E,Preschool (PS 36-48) Learning Outcome,,,,,,,1,1,,,2025-01-31T06:49:39+00:00
8622487d-d473-40bc-be7b-697e4cb9a764,https://satchelcommons.com/ims/case/v1p0/CFItems/8622487d-d473-40bc-be7b-697e4cb9a764,Developmental Progression,1.1.2.5.1,ATL.2.E.1,Follows classroom rules and routines with assistance from adults.,,,,PK,en,,1,0,,,2025-01-31T06:49:48+00:00
64225e9f-8d97-476a-8976-719067b5614e,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/67cfefe0-5f91-4386-8fcb-bcce611a4c78,Label,1.1.2.6,ATL.2.F,PreK (PK 48-60) Learning Outcome,,,,,,,1,2,,,2025-01-31T06:49:52+00:00
79cfa160-1fe4-43a7-8c76-1d819ccc5168,https://satchelcommons.com/ims/case/v1p0/CFItems/79cfa160-1fe4-43a7-8c76-1d819ccc5168,Developmental Progression,1.1.2.6.1,ATL.2.F.2,Follows classroom rules and routines with occasional reminders from adults.,,,,PK,en,,1,0,,,2025-01-31T06:50:19+00:00
ae7dd56f-0620-414f-8d32-5fe9ba55527b,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/ae7dd56f-0620-414f-8d32-5fe9ba55527b,Developmental Progression,1.1.2.6.2,ATL.2.F.4,Responds to signals when transitioning from one activity to another.,,,,PK,en,,1,0,,,2025-01-31T06:50:12+00:00
3afa5bd8-4216-42a6-9660-783592c2bada,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/3afa5bd8-4216-42a6-9660-783592c2bada,Standard,1.1.3,ATL.3,Handles and cares for materials appropriately.,,,,,,,1,6,,,2025-02-04T15:03:25+00:00
1089dc76-daa0-41e7-b442-258bd7b2c907,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/67cfefe0-5f91-4386-8fcb-bcce611a4c78,Label,1.1.3.1,ATL.3.A,Infants (INF 0-8) Learning Outcome,,,,,,,1,1,,,2025-01-31T06:50:35+00:00
e08e3f32-6e90-4f41-84d1-d2f1097806b4,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/67cfefe0-5f91-4386-8fcb-bcce611a4c78,Developmental Progression,1.1.3.1.1,ATL.3.A.1,Grasps and explores objects with curiosity.,,,,,,,1,0,,,2025-01-31T06:50:39+00:00
8de0c4cb-1603-4c47-9a35-a5417c0c7238,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/67cfefe0-5f91-4386-8fcb-bcce611a4c78,Label,1.1.3.2,ATL.3.B,Infants (INF 8-18) Learning Outcome,,,,,,,1,1,,,2025-01-31T06:50:43+00:00
a386cddb-d84a-4396-944e-d367f8bdd80d,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/67cfefe0-5f91-4386-8fcb-bcce611a4c78,Developmental Progression,1.1.3.2.1,ATL.3.B.1,Begins to place items in designated spaces with guidance.,,,,,,,1,0,,,2025-01-31T06:50:47+00:00
f3ad0d80-14bd-4632-a00d-51623fdcaf4f,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/67cfefe0-5f91-4386-8fcb-bcce611a4c78,Label,1.1.3.3,ATL.3.C,Toddler (TOD 18-24) Learning Outcome,,,,,,,1,1,,,2025-01-31T06:50:53+00:00
869d3505-d235-437b-ac22-e568db9e937d,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/67cfefe0-5f91-4386-8fcb-bcce611a4c78,Developmental Progression,1.1.3.3.1,ATL.3.C.1,"Helps with simple clean-up tasks, such as putting books back on a shelf.",,,,,,,1,0,,,2025-01-31T06:50:58+00:00
f0607255-c9b3-47ff-9bc0-be8497528230,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/67cfefe0-5f91-4386-8fcb-bcce611a4c78,Label,1.1.3.4,ATL.3.D,Toddler (TOD 24-36) Learning Outcome,,,,,,,1,1,,,2025-01-31T06:51:02+00:00
16d7d53f-8486-47c3-8ac6-996de41be15c,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/67cfefe0-5f91-4386-8fcb-bcce611a4c78,Developmental Progression,1.1.3.4.1,ATL.3.D.1,Begins to understand the value of taking care of shared materials.,,,,,,,1,0,,,2025-01-31T06:51:15+00:00
7bae228a-2b28-4aaf-864e-e446cfc0b281,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/67cfefe0-5f91-4386-8fcb-bcce611a4c78,Label,1.1.3.5,ATL.3.E,Preschool (PS 36-48) Learning Outcome,,,,,,,1,2,,,2025-01-31T06:51:06+00:00
37822de8-23a9-4f23-b31a-56d12dbf9f64,https://satchelcommons.com/ims/case/v1p0/CFItems/37822de8-23a9-4f23-b31a-56d12dbf9f64,Developmental Progression,1.1.3.5.1,ATL.3.E.1,Handles classroom materials properly with adult support.,,,,PK,en,,1,0,,,2025-01-31T06:51:21+00:00
cb1b7cc6-7867-459d-ba4e-c4463388d1c2,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/cb1b7cc6-7867-459d-ba4e-c4463388d1c2,Developmental Progression,1.1.3.5.2,ATL.3.E.2,Participates in the cleaning and return of classroom materials.,,,,,en,,1,0,,,2025-01-31T06:51:31+00:00
7c5a83f9-340f-4948-8122-0d0a131cf14b,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/67cfefe0-5f91-4386-8fcb-bcce611a4c78,Label,1.1.3.6,ATL.3.F,PreK (PK 48-60) Learning Outcome,,,,,,,1,3,,,2025-01-31T06:51:10+00:00
3c90e371-93f7-4df7-8ff5-7141fa3255cb,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/3c90e371-93f7-4df7-8ff5-7141fa3255cb,Developmental Progression,1.1.3.6.1,ATL.3.F.1,Takes care of classroom materials,,,,PK,,,1,0,,,2025-01-31T06:51:41+00:00
d85c5257-a40d-435f-978d-09c4f00cd4e3,https://satchelcommons.com/ims/case/v1p0/CFItems/d85c5257-a40d-435f-978d-09c4f00cd4e3,Developmental Progression,1.1.3.6.2,ATL.3.F.2,Appropriately handles materials during activities.,,,,PK,en,,1,0,,,2025-01-31T06:51:45+00:00
fe5878a7-ec99-453f-b044-1ba00c10d999,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/fe5878a7-ec99-453f-b044-1ba00c10d999,Developmental Progression,1.1.3.6.3,ATL.3.F.3,Cleans up and returns materials appropriately.,,,,PK,en,,1,0,,,2025-01-31T06:51:50+00:00
c6626abe-dddb-4a2d-abd2-eca5bbb14156,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/c6626abe-dddb-4a2d-abd2-eca5bbb14156,Standard,1.1.4,ATL.4,"Controls actions, words, and behaviors with independence.",,,,,,,1,6,,,2025-02-04T15:03:51+00:00
0d97a3d8-bb3f-4b65-87da-59bea02cef8b,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/67cfefe0-5f91-4386-8fcb-bcce611a4c78,Label,1.1.4.1,ATL.4.A,Infants (INF 0-8) Learning Outcome,,,,,,,1,1,,,2025-01-31T06:52:01+00:00
a159c9f3-45ef-4ac3-8820-9e34b21620ae,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/67cfefe0-5f91-4386-8fcb-bcce611a4c78,Developmental Progression,1.1.4.1.1,ATL.4.A.1,Reacts to caregiver’s facial expressions and calming voice,,,,,,,1,0,,,2025-01-31T06:52:05+00:00
7bea7c44-959c-41b8-82f5-007dcfd232ad,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/67cfefe0-5f91-4386-8fcb-bcce611a4c78,Label,1.1.4.2,ATL.4.B,Toddler (TOD 18-24) Learning Outcome,,,,,,,1,1,,,2025-01-31T06:52:11+00:00
1978ee73-fc09-4b79-b251-02d364d34218,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/67cfefe0-5f91-4386-8fcb-bcce611a4c78,Developmental Progression,1.1.4.2.1,ATL.4.B.1,Begins to stop or start actions based on simple verbal cues.,,,,,,,1,0,,,2025-01-31T06:52:19+00:00
a3098e01-ce58-4ecb-9669-fb41adfff55d,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/67cfefe0-5f91-4386-8fcb-bcce611a4c78,Label,1.1.4.3,ATL.4.C,Toddler (TOD 24-36) Learning Outcome,,,,,,,1,1,,,2025-01-31T06:52:24+00:00
7b04dc46-8677-4b43-949c-766fc1d27e4c,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/67cfefe0-5f91-4386-8fcb-bcce611a4c78,Developmental Progression,1.1.4.3.1,ATL.4.C.1,"Uses simple words to express needs or feelings instead of actions (e.g., “Mine!”).",,,,,,,1,0,,,2025-01-31T06:52:28+00:00
e956b340-5196-45e2-97e8-94ce36375bb7,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/67cfefe0-5f91-4386-8fcb-bcce611a4c78,Label,1.1.4.4,ATL.4.D,Infants (INF 8-18) Learning Outcome,,,,,,,1,1,,,2025-01-31T06:52:32+00:00
a73adb8a-27fd-41da-a250-d721fbd93c06,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/67cfefe0-5f91-4386-8fcb-bcce611a4c78,Developmental Progression,1.1.4.4.1,ATL.4.D.1,Demonstrates self-control during transitions and group activities.,,,,,,,1,0,,,2025-01-31T06:52:38+00:00
795bffa0-7567-4a47-b8da-a9db5ea4dfb3,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/67cfefe0-5f91-4386-8fcb-bcce611a4c78,Label,1.1.4.5,ATL.4.E,Preschool (PS 36-48) Learning Outcome,,,,,,,1,1,,,2025-01-31T06:52:41+00:00
ccf3ff12-69fd-4ab9-9ca2-fe85332e4b25,https://satchelcommons.com/ims/case/v1p0/CFItems/ccf3ff12-69fd-4ab9-9ca2-fe85332e4b25,Developmental Progression,1.1.4.5.1,ATL.4.E.1,"Manages actions, words and behavior with support from adults.",,,,PK,en,,1,0,,,2025-01-31T06:52:48+00:00
73307852-f174-4899-9d8b-db45c1f72c3c,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/67cfefe0-5f91-4386-8fcb-bcce611a4c78,Label,1.1.4.6,ATL.4.F,PreK (PK 48-60) Learning Outcome,,,,,,,1,5,,,2025-01-31T06:53:38+00:00
d74bc861-9719-4461-93ae-7573232e4ce2,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/d74bc861-9719-4461-93ae-7573232e4ce2,Developmental Progression,1.1.4.6.1,ATL.4.F.1,"Regulates actions, words, and behavior with support from adults if needed.",,,,PK,en,,1,0,,,2025-01-31T06:53:42+00:00
b20414d9-8109-4451-9498-8be292ba2cfa,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/b20414d9-8109-4451-9498-8be292ba2cfa,Developmental Progression,1.1.4.6.2,ATL.4.F.2,Describes the effects that behavior may have on others.,,,,PK,en,,1,0,,,2025-01-31T06:53:45+00:00
b2894939-a56d-45ba-bdb8-4bdc0eb7ade1,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/b2894939-a56d-45ba-bdb8-4bdc0eb7ade1,Developmental Progression,1.1.4.6.3,ATL.4.F.3,"Waits for turn, such as waits in line to wash hands or waits for turn on swings.",,,,PK,en,,1,0,,,2025-01-31T06:53:49+00:00
0eeaea29-1bb7-4141-8ecb-5def058fa52c,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/0eeaea29-1bb7-4141-8ecb-5def058fa52c,Developmental Progression,1.1.4.6.4,ATL.4.F.4,Refrains from aggressive behavior towards others.,,,,PK,en,,1,0,,,2025-01-31T06:53:57+00:00
a2af4275-4658-498e-a58b-326966a33e54,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/a2af4275-4658-498e-a58b-326966a33e54,Developmental Progression,1.1.4.6.5,ATL.4.F.5,Demonstrates understanding of the consequences of behavior.,,,,PK,en,,1,0,,,2025-01-31T06:54:01+00:00
9a24abe2-7165-4198-8bd8-5f3f803495e7,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/67cfefe0-5f91-4386-8fcb-bcce611a4c78,Cluster,1.2,,Cognitive Self Regulation (Executive Functioning),,,,,,,1,5,,,2025-02-04T05:43:00+00:00
38c323a8-cdd2-4e1e-bd54-c9a9758e558c,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/38c323a8-cdd2-4e1e-bd54-c9a9758e558c,Standard,1.2.1,ATL.5,Develops the ability to control impulses effectively.,,,,,,,1,6,,,2025-02-04T15:04:22+00:00
20a7bac4-2d1f-48c5-aee0-6c16434f6872,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/67cfefe0-5f91-4386-8fcb-bcce611a4c78,Label,1.2.1.1,ATL.5.A,Infants (INF 0-8) Learning Outcome,,,,,,,1,1,,,2025-01-31T18:20:53+00:00
bb3c0d7f-eb42-4c3c-a224-5d126093f09e,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/67cfefe0-5f91-4386-8fcb-bcce611a4c78,Developmental Progression,1.2.1.1.1,ATL.5.A.1,Pauses actions when a caregiver says “no” or redirects.,,,,,,,1,0,,,2025-01-31T18:20:57+00:00
794903d9-9319-4361-8182-3a9938063be4,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/67cfefe0-5f91-4386-8fcb-bcce611a4c78,Label,1.2.1.2,ATL.5.B,Infants (INF 8-18) Learning Outcome,,,,,,,1,1,,,2025-01-31T18:21:00+00:00
3e492da8-a904-49b2-8144-d23a4d0f532e,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/67cfefe0-5f91-4386-8fcb-bcce611a4c78,Developmental Progression,1.2.1.2.1,ATL.5.B.1,Waits briefly when attention is redirected.,,,,,,,1,0,,,2025-01-31T18:21:04+00:00
8b4537bb-11dd-46d6-9935-05e0d47167dc,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/67cfefe0-5f91-4386-8fcb-bcce611a4c78,Label,1.2.1.3,ATL.5.C,Toddler (TOD 18-24) Learning Outcome,,,,,,,1,1,,,2025-01-31T18:14:58+00:00
a5fd1f32-2852-436a-97d3-c1f45ef12431,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/67cfefe0-5f91-4386-8fcb-bcce611a4c78,Developmental Progression,1.2.1.3.1,ATL.5.C.1,"Attempts self-control with gestures or words (e.g., waiting before grabbing a toy).",,,,,,,1,0,,,2025-01-31T18:15:02+00:00
1a9fe0b1-e384-421c-8e4b-f62a426cfb17,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/67cfefe0-5f91-4386-8fcb-bcce611a4c78,Label,1.2.1.4,ATL.5.D,Toddler (TOD 24-36) Learning Outcome,,,,,,,1,1,,,2025-01-31T18:20:40+00:00
c4341001-fbe2-4ad9-bb49-7645442b563e,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/67cfefe0-5f91-4386-8fcb-bcce611a4c78,Developmental Progression,1.2.1.4.1,,"Controls impulses with guidance, such as refraining from interrupting.",,,,,,,1,0,,,2025-01-24T04:50:24+00:00
4cd9bb9b-04d2-458e-a011-fa85e08d6afb,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/67cfefe0-5f91-4386-8fcb-bcce611a4c78,Label,1.2.1.5,ATL.5.E,Preschool (PS 36-48) Learning Outcome,,,,,,,1,2,,,2025-01-31T18:21:08+00:00
991dd3e8-6161-4cd5-92a5-d7b4a6fdecb2,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/991dd3e8-6161-4cd5-92a5-d7b4a6fdecb2,Developmental Progression,1.2.1.5.1,ATL.5.E.1,Child shows improvement in delaying immediate gratification for a bigger reward.,,,,,,,1,0,,,2025-01-31T18:21:18+00:00
4c895d2a-df39-4687-b44f-ef178ecf6257,https://satchelcommons.com/ims/case/v1p0/CFItems/4c895d2a-df39-4687-b44f-ef178ecf6257,Developmental Progression,1.2.1.5.2,ATL.5.E.2,"Frequently engages in impulsive behaviors, but inhibits them when directly supported by an adult.",,,,PK,en,,1,0,,,2025-01-31T18:21:22+00:00
4e843259-fd01-415c-96c6-1a6e4641d091,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/67cfefe0-5f91-4386-8fcb-bcce611a4c78,Label,1.2.1.6,ATL.5.F,PreK (PK 48-60) Learning Outcome,,,,,,,1,4,,,2025-01-31T18:21:28+00:00
723c34c9-5e34-479b-8838-1d16bba59550,https://satchelcommons.com/ims/case/v1p0/CFItems/723c34c9-5e34-479b-8838-1d16bba59550,Developmental Milestone,1.2.1.6.1,ATL.5.F.1,Transitions from an engaging activity to a less desirable activity with support.,,,,PK,en,,1,0,,,2025-01-31T18:21:36+00:00
0668171d-5728-49d7-95f1-1b00557ae0fc,https://satchelcommons.com/ims/case/v1p0/CFItems/0668171d-5728-49d7-95f1-1b00557ae0fc,Developmental Milestone,1.2.1.6.2,ATL.5.F.2,Controls impulses with or without adult support.,,,,PK,en,,1,0,,,2025-01-31T18:21:40+00:00
6d0455d5-b82c-48c4-b5c4-1c4af41d2974,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/6d0455d5-b82c-48c4-b5c4-1c4af41d2974,Developmental Milestone,1.2.1.6.3,ATL.5.F.3,"Delays having desires met, such waiting to start an activity.",,,,PK,en,,1,0,,,2025-01-31T18:21:43+00:00
993927ef-be04-468b-ab00-e851fef3e125,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/993927ef-be04-468b-ab00-e851fef3e125,Developmental Milestone,1.2.1.6.4,ATL.5.F.4,Waits to communicate information to a group without adult assistance.,,,,PK,en,,1,0,,,2025-01-31T18:21:47+00:00
203e67b4-507d-40fa-8ea4-f429a5154801,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/203e67b4-507d-40fa-8ea4-f429a5154801,Standard,1.2.2,ATL.6,Maintains focus and attention with minimal support.,,,,,,,1,6,,,2025-02-04T15:04:33+00:00
1ea59f05-1b58-4418-bb41-a9a8bbad776d,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/67cfefe0-5f91-4386-8fcb-bcce611a4c78,Label,1.2.2.1,ATL.6.A,Infants (INF 0-8) Learning Outcome,,,,,,,1,1,,,2025-01-31T18:22:59+00:00
