Sequence,Human Code,Full Statement,CVR,Transition Gap,Progression Coherence,Overall Progression Score
1.1.4.3.1,ATL.4.C.1,"Uses simple words to express needs or feelings instead of actions (e.g., “Mine!”).",0.6,0.0,1.0,0.8400000000000001
1.1.4.4.1,ATL.4.D.1,Demonstrates self-control during transitions and group activities.,-0.6,0.0,1.0,0.36
1.1.4.5.1,ATL.4.E.1,"Manages actions, words and behavior with support from adults.",-1.0,0.0,1.0,0.19999999999999996
1.1.4.6.1,ATL.4.F.1,"Regulates actions, words, and behavior with support from adults if needed.",0.2,0.0,1.0,0.6799999999999999
1.1.4.6.2,ATL.4.F.2,Describes the effects that behavior may have on others.,0.2,0.0,1.0,0.6799999999999999
1.1.4.6.3,ATL.4.F.3,"Waits for turn, such as waits in line to wash hands or waits for turn on swings.",-0.2,0.0,1.0,0.52
1.1.4.6.4,ATL.4.F.4,Refrains from aggressive behavior towards others.,0.2,0.0,1.0,0.6799999999999999
1.1.4.6.5,ATL.4.F.5,Demonstrates understanding of the consequences of behavior.,-0.6,0.0,1.0,0.36
1.2.1.1.1,ATL.5.A.1,Pauses actions when a caregiver says “no” or redirects.,-0.6,0.0,1.0,0.36
1.2.1.2.1,ATL.5.B.1,Waits briefly when attention is redirected.,-0.2,0.0,1.0,0.52
1.2.1.3.1,ATL.5.C.1,"Attempts self-control with gestures or words (e.g., waiting before grabbing a toy).",-1.0,0.0,1.0,0.19999999999999996
1.2.1.5.1,ATL.5.E.1,Child shows improvement in delaying immediate gratification for a bigger reward.,0.2,0.0,1.0,0.6799999999999999
1.2.1.5.2,ATL.5.E.2,"Frequently engages in impulsive behaviors, but inhibits them when directly supported by an adult.",-0.2,0.0,1.0,0.52
1.2.2.1.1,ATL.6.A.1,Watches moving objects or faces for short periods.,0.2,0.0,1.0,0.6799999999999999
1.2.2.2.1,ATL.6.B.1,"Focuses on activities, such as stacking blocks, for increasing durations.Engages with a single activity for a few minutes before seeking adult interaction.",-1.0,0.0,1.0,0.19999999999999996
1.2.2.3.1,ATL.6.C.1,"Resumes tasks after mild distractions, such as looking back at a toy after hearing a noise.",-0.2,0.0,1.0,0.52
1.2.2.4.1,ATL.6.D.1,"Completes multi-step tasks with reminders (e.g., “Pick up the block and put it in the bin”).",0.2,0.0,1.0,0.6799999999999999
1.2.2.5.1,ATL.6.E.1,Focus on tasks and activities despite distractions or interruptions for short periods of time (5-10 minutes).,-0.2,0.0,1.0,0.52
1.2.2.6.1,ATL.6.F.1,Focus on tasks and activities despite distractions or interruptions for extended periods of time.,1.0,0.0,1.0,1.0
1.2.2.6.2,ATL.6.F.2,Engages in purposeful play for extended periods of time.,0.6,0.0,1.0,0.8400000000000001
1.2.2.6.3,ATL.6.F.3,Attends to adult during large and small group activities with minimal support.,-0.2,0.0,1.0,0.52
1.2.3.1.1,ATL.7.A.1,"Attempts to grasp objects or roll over, even after initial failure.",-0.6,0.0,1.0,0.36
1.2.3.2.1,ATL.7.B.1,Seeks adult assistance if unable to complete a task independently.,-0.2,0.0,1.0,0.52
1.2.3.3.1,ATL.7.C.1,"Tries multiple approaches to solve problems, such as stacking blocks after a tower falls.",-0.2,0.0,1.0,0.52
1.2.3.4.1,ATL.7.D.1,Uses trial-and-error methods without giving up quickly.,-0.6,0.0,1.0,0.36
1.2.3.5.1,ATL.7.E.1,Persists on tasks when presented with small challenges with or without adult support.,0.2,0.0,1.0,0.6799999999999999
1.2.3.6.1,ATL.7.F.1,Persists on preferred and  less preferred tasks activities with or without adult support.,0.6,0.0,1.0,0.8400000000000001
1.2.3.6.2,ATL.7.F.2,Returns focus to an activity or task after having been away from it.,0.2,0.0,1.0,0.6799999999999999
1.2.4.1.1,ATL.8.B.1,Searches for partially hidden objects during play.,0.6,0.0,1.0,0.8400000000000001
1.2.4.2.1,ATL.8.A.1,"Completes simple cause-and-effect tasks based on past experiences (e.g., pressing a button to hear a sound).",-0.6,0.0,1.0,0.36
1.2.4.3.1,ATL.8.C.1,"Completes familiar sequences, like stacking blocks in order, using memory.",-0.2,0.0,1.0,0.52
1.2.4.4.1,ATL.8.D.1,Recalls and follows multi-step instructions with guidance.,0.2,0.0,1.0,0.6799999999999999
1.2.4.5.1,ATL.8.E.1,Follows two-step directions with or without reminders.,-0.2,0.0,1.0,0.52
1.2.4.6.1,ATL.8.F.1,Recounts recent experiences in correct sequence with relevant details.,0.6,0.0,1.0,0.8400000000000001
1.2.4.6.2,ATL.8.F.2,Follows multi-step (three or more) directions with or without reminders.,-0.2,0.0,1.0,0.52
1.2.4.6.3,ATL.8.F.3,Recalls actions to go with stories or songs shortly after being taught.,-0.2,0.0,1.0,0.52
1.2.5.1.1,ATL.9.A.1,"Reacts differently to new stimuli, showing curiosity or caution.",0.6,0.0,1.0,0.8400000000000001
1.2.5.2.1,ATL.9.B.1,"Tries different methods to achieve goals, like turning an object to make it fit.",0.2,0.0,1.0,0.6799999999999999
1.2.5.3.1,ATL.9.C.1,Adapts to changes in routines with support.,-0.2,0.0,1.0,0.52
1.2.5.4.1,ATL.9.D.1,Uses alternate strategies when a preferred method does not work.,0.2,0.0,1.0,0.6799999999999999
1.2.5.5.1,ATL.9.E.1,"Demonstrates flexibility or the ability to adapt to change, in thinking and behavior when prompted by an adult.",-0.2,0.0,1.0,0.52
1.2.5.5.2,ATL.9.E.2,Demonstrates problem-solving abilities by applying different strategies with or without adult support.,-0.2,0.0,1.0,0.52
1.2.5.6.1,ATL.9.F.1,Demonstrates flexibility in thinking and behavior without prompting.,0.2,0.0,1.0,0.6799999999999999
1.2.5.6.2,ATL.9.F.2,Responds to adult suggestions to show flexibility in approaching tasks or solving problems independently or with peers.,-0.2,0.0,1.0,0.52
1.2.5.6.3,ATL.9.F.3,"Applies different rules in contexts that require different behaviors, such as using indoor voices or feet instead of outdoor voices or feet.",-0.2,0.0,1.0,0.52
1.2.5.6.4,ATL.9.F.4,Transitions between activities without getting upset.,-0.2,0.0,1.0,0.52
1.3.1.1.1,ATL.10.B.1,Reaches for objects or moves toward items of interest.,0.6,0.0,1.0,0.8400000000000001
1.3.1.2.1,ATL.10.A.1,Explores toys and new environments with curiosity,0.2,0.0,1.0,0.6799999999999999
1.3.1.3.1,ATL.10.C.1,"Initiates simple actions, such as setting up toys for play.",0.2,0.0,1.0,0.6799999999999999
1.3.1.4.1,ATL.10.D.1,"Takes responsibility for small tasks, like putting toys away.",-0.6,0.0,1.0,0.36
1.3.1.5.1,ATL.10.E.1,Works independently on tasks with minimal assistance.,-0.2,0.0,1.0,0.52
1.3.1.5.2,ATL.10.E.2,"Shows initiative with tasks and activities, particularly in interactions with familiar adults.",0.6,0.0,1.0,0.8400000000000001
1.3.1.6.1,ATL.10.F.1,Works on tasks independently for increasing amounts of time.,0.2,0.0,1.0,0.6799999999999999
1.3.1.6.2,ATL.10.F.2,"Displays initiative and proactive behavior, especially during preferred tasks and activities.",1.0,0.0,1.0,1.0
1.3.1.6.3,ATL.10.F.3,Makes choices independently and communicates them to adults and other children.,-0.2,0.0,1.0,0.52
1.3.1.6.4,ATL.10.F.4,"Plans play by establishing roles, choosing materials, and suggesting play scenarios.",0.2,0.0,1.0,0.6799999999999999
1.3.2.1.1,ATL.11.A.1,"Explores surroundings by watching, grasping, or mouthing objects.",0.6,0.0,1.0,0.8400000000000001
1.3.2.2.1,ATL.11.B.1,Shows curiosity by pointing at or reaching for new objects,-0.2,0.0,1.0,0.52
1.3.2.3.1,ATL.11.C.1,"Investigates new objects or environments (e.g., opening drawers, lifting lids).",0.2,0.0,1.0,0.6799999999999999
1.3.2.4.1,ATL.11.D.1,"Demonstrates curiosity by asking specific questions (e.g., “What’s that sound?”).",0.2,0.0,1.0,0.6799999999999999
1.3.2.5.1,ATL.11.E.1,Asks questions about unfamiliar things.,0.2,0.0,1.0,0.6799999999999999
1.3.2.5.2,ATL.11.E.2,Explores new play and tasks with adult support.,-0.2,0.0,1.0,0.52
1.3.2.6.1,ATL.11.F.1,Asks questions on topics of interest.,0.6,0.0,1.0,0.8400000000000001
1.3.2.6.2,ATL.11.F.2,Seeks out new information or new experiences and tasks with or without adult support.,-0.2,0.0,1.0,0.52
1.3.2.6.3,ATL.11.F.3,"Shows interest in learning and discussing new activities, ideas, or topics.",0.2,0.0,1.0,0.6799999999999999
1.3.2.6.4,ATL.11.F.4,Participates in new activities or experiences even if they are perceived as challenging.,-0.2,0.0,1.0,0.52
1.4.1.1.1,ATL.12.A.1,"Reacts to varied stimuli, such as music or bright colors, with smiles or coos.",-0.2,0.0,1.0,0.52
1.4.1.2.1,ATL.12.B.1,Experiments with sounds or babbling to imitate words or melodies.,0.2,0.0,1.0,0.6799999999999999
1.4.1.3.1,ATL.12.C.1,"Combines words, gestures, or objects creatively (e.g., using a block as a phone).",0.2,0.0,1.0,0.6799999999999999
1.4.1.4.1,ATL.12.D.1,"Creates imaginative scenarios during play (e.g., “I’m a firefighter!”).",-0.2,0.0,1.0,0.52
1.4.1.5.1,ATL.12.E.1,Expresses creative ideas in words and/or actions when prompted by adults,-0.2,0.0,1.0,0.52
1.4.1.6.1,ATL.12.F.1,Communicates creative ideas and actions with and without prompting from adults.,-0.2,0.0,1.0,0.52
1.4.1.6.2,ATL.12.F.2,Asks questions about tasks or activities that indicate thinking about new ways to accomplish the task or activity.,-0.6,0.0,1.0,0.36
1.4.1.6.3,ATL.12.F.3,Demonstrates ability to create multiple solutions to a problem,0.2,0.0,1.0,0.6799999999999999
1.4.1.6.4,ATL.12.F.4,"Approaches tasks, activities, and play in ways that show creative problem solving.",0.2,0.0,1.0,0.6799999999999999
1.4.2.1.1,ATL.13.B.1,"Reacts to playful activities, such as peek-a-boo or silly voices, with smiles or laughter.",0.6,0.0,1.0,0.8400000000000001
1.4.2.2.1,ATL.13.A.1,"Engages in simple imitative play (e.g., pretending to talk on a phone).",0.2,0.0,1.0,0.6799999999999999
1.4.2.3.1,ATL.13.C.1,"Engages in basic role-play, such as pretending to be a parent or an animal.",0.2,0.0,1.0,0.6799999999999999
1.4.2.4.1,ATL.13.D.1,"Creates extended pretend play sequences (e.g., cooking food and serving it to peers).",-0.6,0.0,1.0,0.36
1.4.2.5.1,ATL.13.E.1,Exhibits creative role-playing with peers.,0.2,0.0,1.0,0.6799999999999999
1.4.2.5.2,ATL.13.E.2,Communicates creative ideas to other children and adults.,-0.2,0.0,1.0,0.52
1.4.2.5.3,ATL.13.E.3,Applies inventive use of toys and props in play.,0.2,0.0,1.0,0.6799999999999999
1.4.2.6.1,ATL.13.F.1,"Tells stories, makes up songs, and other creative works with peers and adults.",-0.2,0.0,1.0,0.52
1.4.2.6.2,ATL.13.F.2,Engages in pretend play with peers and adults.,1.0,0.0,1.0,1.0
1.4.2.6.3,ATL.13.F.3,Uses imagination with materials to create stories or works of art,-0.2,0.0,1.0,0.52
1.4.2.6.4,ATL.13.F.4,Uses objects or materials to represent something else during play.,0.2,0.0,1.0,0.6799999999999999
2.1.1.1.1,SE.1.A.1,Smiles or vocalizes in response to familiar voices.,-0.2,0.0,1.0,0.52
2.1.1.2.1,SE.1.B.1,Calms when held by a familiar caregiver.,0.6,0.0,1.0,0.8400000000000001
2.1.1.3.1,SE.1.C.1,"Initiates simple interactions, like holding hands.",0.6,0.0,1.0,0.8400000000000001
2.1.1.4.1,SE.1.D.1,Seeks adults for comfort during challenges,-0.2,0.0,1.0,0.52
2.1.1.5.1,SE.1.E.1,Engages in positive interactions with trusted adults.,0.2,0.0,1.0,0.6799999999999999
2.1.1.5.2,SE.1.E.2,Participates in interactions with trusted and new adults.,0.2,0.0,1.0,0.6799999999999999
2.1.1.5.3,SE.1.E.3,Separates from trusted adults in familiar settings.,0.2,0.0,1.0,0.6799999999999999
2.1.1.5.4,SE.1.E.4,Seeks support from trusted adults to solve problems,0.2,0.0,1.0,0.6799999999999999
2.1.1.6.1,SE.1.F.1,Interacts readily with trusted adults.,0.6,0.0,1.0,0.8400000000000001
2.1.1.6.2,SE.1.F.2,Demonstrates active listening and responds appropriately when adults speak.,-0.6,0.0,1.0,0.36
2.1.1.6.3,SE.1.F.3,"Engages in some positive interactions with less familiar adults, such as parent volunteers.",0.2,0.0,1.0,0.6799999999999999
2.1.1.6.4,SE.1.F.4,Seeks help from adults when needed.,-0.2,0.0,1.0,0.52
2.1.2.1.1,SE.2.A.1,Reacts to soothing voices by calming or smiling,-0.2,0.0,1.0,0.52
2.1.2.2.1,SE.2.B1,Attempts to mimic facial expressions during interactions,0.2,0.0,1.0,0.6799999999999999
2.1.2.3.1,SE.2.C.1,"Shares simple tasks with adults (e.g., stacking blocks)",0.6,0.0,1.0,0.8400000000000001
2.1.2.4.1,SE.2.D.1,Listens and follows basic directions in group settings,-0.6,0.0,1.0,0.36
2.1.2.5.1,SE.2.E.1,"Engages sometimes in prosocial behavior with adults, such as greeting the teacher or saying goodbye.",-0.2,0.0,1.0,0.52
2.1.2.5.2,SE.2.E.2,Initiates conversation with familiart adults by asking questions or sharing information.,-0.2,0.0,1.0,0.52
2.1.2.5.3,SE.2.E.3,"Resolves uncooperative behavior with familiar adults, such as saying ""No"" to requeststs.",-0.2,0.0,1.0,0.52
2.1.2.5.4,SE.2.E.4,Responds to adult requests and directions that may include assistance or prompting.,-0.2,0.0,1.0,0.52
2.1.2.6.1,SE.2.F.1,Behaves cooperatively with adults.,0.6,0.0,1.0,0.8400000000000001
2.1.2.6.2,SE.2.F.2,Participates in adult-led activities.,0.6,0.0,1.0,0.8400000000000001
2.1.2.6.3,SE.2.F.3,"Engages in prosocial behaviors with adults, such as using respectful language or greetings.",-0.2,0.0,1.0,0.52
2.1.2.6.4,SE.2.F.4,Follows adult guidelines and expectations for appropriate behavior.,0.2,0.0,1.0,0.6799999999999999
2.2.1.1.1,SE.3.1,Watches and tracks behavior of other infants,0.6,0.0,1.0,0.8400000000000001
2.2.1.2.1,SE.3.B.1,Looks back and forth between adult and toy while playing,0.2,0.0,1.0,0.6799999999999999
2.2.1.3.1,SE.3.C.1,Plays side-by-side with others using similar toys,0.2,0.0,1.0,0.6799999999999999
2.2.1.4.1,SE.3.D.1,Participates in simple group routines with peers,0.6,0.0,1.0,0.8400000000000001
2.2.1.5.1,SE.3.E.1,"Sometimes engages in prosocial behaviors, such as sharing or taking turns or waiting to speak in conversations, with other children with or without prompting from an adult.",0.2,0.0,1.0,0.6799999999999999
2.2.1.6.1,SE.3.F.1,Sustains interactions with other children more often and for increasing periods of time.,0.6,0.0,1.0,0.8400000000000001
2.2.1.6.2,SE.3.F.2,Interacts with and develops friendships with a variety of peers.,-0.2,0.0,1.0,0.52
2.2.2.1.1,SE.4.A.1,Shows interest in another child’s actions,-0.6,0.0,1.0,0.36
2.2.2.2.1,SE.4.B.1,"Reaches out to touch another child’s face, hair, or toy",-0.2,0.0,1.0,0.52
2.2.2.4.1,SE.4.C.1,Demonstrates sharing with minimal support,-0.2,0.0,1.0,0.52
2.2.2.5.1,SE.4.D.1,Works with other children to solve problems or complete tasks during play.,-0.2,0.0,1.0,0.52
2.2.2.5.2,SE.4.D.2,Engages with other children to plan and enact coordinated play for short periods of time.,-0.2,0.0,1.0,0.52
2.2.2.6.1,SE.4.E.1,Respects personal boundaries and spaces during play interactions.,0.6,0.0,1.0,0.8400000000000001
2.2.2.6.2,SE.4.E.2,"Engages in joint play, such as using coordinated goals, planning, roles, and games with rules, with at least one other child at a time.",-0.2,0.0,1.0,0.52
2.2.2.6.3,SE.4.E.3,Exhibits social interaction skills in the context of group pretend play.,0.2,0.0,1.0,0.6799999999999999
2.2.2.6.4,SE.4.E.4,Demonstrates willingness to include others' ideas during interactions and play.,-0.2,0.0,1.0,0.52
2.2.2.6.5,SE.4.E.5,Engages in reflection and conversation about past play experiences.,-0.2,0.0,1.0,0.52
2.2.3.1.1,SE.5.A.1,Responds to help from adults during frustration,-0.2,0.0,1.0,0.52
2.2.3.2.1,SE.5.B.1,Uses simple gestures to indicate wants or dislikes,0.2,0.0,1.0,0.6799999999999999
2.2.3.3.1,SE.5.C.1,Seeks help from adults to resolve disagreements,-0.2,0.0,0.9999999999999999,0.5199999999999999
2.2.3.4.1,SE.5.C.1,Initiates problem-solving strategies with peers,0.2,1.0,0.9999999999999999,0.37999999999999995
2.2.3.5.1,SE.5.D.1,"Begins to recognize and describe basic social problems in classroom experiences, or in books or pictures.",-1.0,0.0,1.0,0.19999999999999996
2.2.3.5.2,SE.5.D.2,Suggests simple solutions to resolve conflicts with adult support.,-0.2,0.0,1.0,0.52
2.2.3.6.1,SE.5.F.1,"Uses basic strategies for dealing with common conflicts, such as sharing, taking turns, and compromising.",0.2,0.0,1.0,0.6799999999999999
2.2.3.6.2,SE.5.F.2,Demonstrates problem-solving and critical thinking during play with peers.,-0.2,0.0,1.0,0.52
2.2.3.6.3,SE.5.F.3,"Recognizes and describes basic social problems in classroom experiences, or in books or pictures.",-0.6,0.0,1.0,0.36
2.2.3.6.4,SE.5.F.4,"Suggests simple solutions to resolve conflicts, with or without adult support.",0.2,0.0,1.0,0.6799999999999999
2.3.1.1.1,SE.6.A.1,Shows distinct emotions like happiness and sadness,0.2,0.0,1.0,0.6799999999999999
2.3.1.2.1,SE.6.B.1,Uses gestures to communicate needs or frustrations,-0.6,0.0,1.0,0.36
2.3.1.3.1,SE.6.C.1,Names simple emotions with support,-0.2,0.0,1.0,0.52
2.3.1.4.1,SE.6.D.1,Identifies emotions in self and peers,-0.6,0.0,1.0,0.36
2.3.1.5.1,SE.6.E.1,Recognizes and names a broad range of emotions in self.,0.2,0.0,1.0,0.6799999999999999
2.3.1.6.1,SE.6.F.1,Demonstrates appropriate emotional responses.,-0.6,0.0,1.0,0.36
2.3.1.6.2,SE.6.F.2,Recognizes and names a broad range of emotions in self and others.,-0.6,0.0,1.0,0.36
2.3.1.6.3,SE.6.F.3,Recognizes and names basic emotions in books or photographs.,0.6,0.0,1.0,0.8400000000000001
2.3.1.6.4,SE.6.F.4,Uses verbal and nonverbal communication to express emotions,-0.2,0.0,1.0,0.52
2.3.2.1.1,SE.7.A.1,Watches a crying peer with interest,0.2,0.0,1.0,0.6799999999999999
2.3.2.2.1,SE.7.B.1,Pats another child who is crying,-0.2,0.0,1.0,0.52
2.3.2.3.1,SE.7.C.1,Attempts to comfort peers using words or actions,0.2,0.0,1.0,0.6799999999999999
2.3.2.4.1,SE.7.D.1,Shares or helps peers in distress,-0.2,0.0,1.0,0.52
2.3.2.5.1,SE.7.E.1,Notices feelings of others.,-0.6,0.0,1.0,0.36
2.3.2.5.2,SE.7.E.2,Seeks out adult help for peers who are distressed or upset.,0.2,0.0,1.0,0.6799999999999999
2.3.2.6.1,SE.7.F.1,Demonstrates empathy to emotions and feelings of others.,-0.2,0.0,1.0,0.52
2.3.2.6.2,SE.7.F.2,Offers support to adults or other children who are distressed.,0.2,0.0,1.0,0.6799999999999999
2.3.2.6.3,SE.7.F.3,Notices feelings of others.,-0.2,0.0,1.0,0.52
2.3.3.1.1,SE.8.A.1,Self-soothes by finger-sucking or holding an object,1.0,0.0,1.0,1.0
2.3.3.2.1,SE.8.B.1,Uses a comfort object when stressed,-1.0,0.0,1.0,0.19999999999999996
2.3.3.3.1,SE.8.C.1,Manages small frustrations without adult intervention,-0.2,0.0,1.0,0.52
2.3.3.4.1,SE.8.D.1,"Begins using calming strategies, such as deep breathing",-0.2,0.0,1.0,0.52
2.3.3.5.1,SE.8.E.1,Seeks adult support to manage more intense emotions.,0.2,0.0,1.0,0.6799999999999999
2.3.3.5.2,SE.8.E.2,Manages less intense emotions independently.,-0.2,0.0,1.0,0.52
2.3.3.6.1,SE.8.F.1,Connects feelings with behaviors.,-0.2,0.0,1.0,0.52
2.3.3.6.2,SE.8.F.2,Exhibits ability to regulate emotions without support.,-0.2,0.0,1.0,0.52
2.3.3.6.3,SE.8.F.3,Expresses feelings in ways that are appropriate to the situation.,-0.2,0.0,1.0,0.52
2.3.3.6.4,SE.8.F.4,Looks for adult assistance when feelings are most intense.,-0.6,0.0,1.0,0.36
2.3.3.6.5,SE.8.F.5,Uses a range of coping strategies to manage emotions with the support of an adult.,-0.2,0.0,1.0,0.52
2.4.1.1.1,SE.9.A.1,Looks at own reflection in a mirror,-0.2,0.0,1.0,0.52
2.4.1.2.1,SE.9.B.1,Points to self in pictures or videos,1.0,0.0,1.0,1.0
2.4.1.3.1,SE.9.C.1,Recognizes self by name and characteristics,0.6,0.0,1.0,0.8400000000000001
2.4.1.4.1,SE.9.D.1,Talks about self and family in relation to others,1.0,0.0,1.0,1.0
2.4.1.5.1,SE.9.E.1,Describes own physical characteristics and behaviors.,1.0,0.0,1.0,1.0
2.4.1.5.2,SE.9.E.2,Indicates likes and dislikes when asked.,-0.2,0.0,1.0,0.52
2.4.1.6.1,SE.9.F.1,Understands others think differently than self,-0.6,0.0,1.0,0.36
2.4.1.6.2,SE.9.F.2,Recognizes and respects differences in perspectives and opinions of others.,0.2,0.0,1.0,0.6799999999999999
2.4.1.6.3,SE.9.F.3,"Exhibits knowledge of uniqueness of self, inlcuding talents, interests, preferences, or culture.",-0.6,0.0,1.0,0.36
2.4.1.6.4,SE.9.F.4,Describes self using several different characteristics.,0.2,0.0,1.0,0.6799999999999999
2.4.2.1.1,SE.10.A.1,Smiles when praised for actions,0.2,0.0,1.0,0.6799999999999999
2.4.2.2.1,SE.10.B.1,Claps for accomplishments with adult modeling,-0.2,0.0,1.0,0.52
2.4.2.3.1,SE.10.C.1,"Tries new activities, like climbing stairs",-0.2,0.0,1.0,0.52
2.4.2.4.1,SE.10.D.1,Shows pride in completed tasks,-0.2,0.0,1.0,0.52
2.4.2.5.1,SE.10.E.1,Shares positive feelings about self independently or when prompted by an adult.,-0.2,0.0,1.0,0.52
2.4.2.5.2,SE.10.E.2,Expresses pride in personal progress and accomplishments.,-1.0,0.0,1.0,0.19999999999999996
2.4.2.5.3,SE.10.E.3,Identifies personal strengths and achievements.,-0.6,0.0,1.0,0.36
2.4.2.6.1,SE.10.F.1,Shows satisfaction or seeks acknowledgment when completing a task or solving a problem.,0.2,0.0,1.0,0.6799999999999999
2.4.2.6.2,SE.10.F.2,Exhibits confidence in own abilities and skills.,-0.6,0.0,1.0,0.36
2.4.2.6.3,SE.10.F.3,"Shows positive thinking and self-appreciation with ""I-can"" statements.",-1.0,0.0,1.0,0.19999999999999996
2.4.2.6.4,SE.10.F.4,Expresses own ideas or beliefs in group contexts or in interactions with others.,-0.2,0.0,1.0,0.52
2.4.3.1.1,SE.11.B.1,Responds to family members’ voices with excitement,-0.2,0.0,1.0,0.52
2.4.3.2.1,SE.11.A.1,Points to family members in photos,-0.2,0.0,1.0,0.52
2.4.3.3.1,SE.11.C.1,Refers to family members by name,0.2,0.0,1.0,0.6799999999999999
2.4.3.4.1,SE.11.D.1,Participates in family or community rituals,0.2,0.0,1.0,0.6799999999999999
2.4.3.5.1,SE.11.E.1,Relates personal stories about being a part of different groups.,0.6,0.0,1.0,0.8400000000000001
2.4.3.5.2,SE.11.E.2,"Identifies self as being a part of different groups, such as family, community, culture, faith, or school.",0.2,0.0,1.0,0.6799999999999999
2.4.3.6.1,SE.11.F.1,Assumes role as classroom member.,0.2,0.0,1.0,0.6799999999999999
2.4.3.6.2,SE.11.F.2,"Identifies self as being a part of different groups, such as family, community, culture, faith, or school.",-0.6,0.0,1.0,0.36
2.4.3.6.3,SE.11.F.3,Relates personal stories about being a part of different groups.,-0.6,0.0,1.0,0.36
2.4.3.6.4,SE.11.F.4,Identifies similarities and differences about self across familiar environments and settings.,-0.2,0.0,1.0,0.52
3.7.1.5.2,LIT.6.b,Child can differentiate and apply various types of marks to convey different meanings or purposes.',1.0,0.0,1.0,1.0
3.7.1.5.3,P-LIT.6a," Engages in writing activities that consist largely of drawing and scribbling. Begins to convey meaning. With modeling and support, writes some letter-like forms and letters.",0.2,0.0,1.0,0.6799999999999999
3.7.1.5.5,LIT.6.c,Child develops the ability to produce increasingly complex and detailed markings representing greater command of written language.',-0.2,0.0,1.0,0.52
4.1.1.1.1,MATH.1.A.1,"Notices differences in the number of objects (e.g., one versus many).",0.2,0.0,1.0,0.6799999999999999
4.1.1.2.1,MATH.1.B.1,"Points to objects or shows interest in grouping items (e.g., stacking rings).",-0.2,0.0,1.0,0.52
4.1.1.3.1,MATH.1.C.1,"Begins using number words during play (e.g., “one, two”).",0.2,0.0,1.0,0.6799999999999999
