Developmental Indicator,Type,Age Group,filename,Sub Area,SmartLevel,Focus Area,Area
May try to calm self by sucking on fingers or thumb when overly excited or distressed.,indicator,9 Months to 18 Months,page_1.png,COGNITIVE SELF-REGULATION (EXECUTIVE FUNCTIONING),2,Child maintains focus and keeps attention with support,APPROACHES TO LEARNING
Begins to manage and adjust actions and behavior with the guidance of familiar adults using words or signs.,indicator,18 Months to 36 Months,page_1.png,COGNITIVE SELF-REGULATION (EXECUTIVE FUNCTIONING),1,Child maintains focus and keeps attention with support,APPROACHES TO LEARNING
"Develops, with support, some ability to filter out distracting sensory stimuli to focus on and attend to important people or objects in the environment with support.",indicator,Birth to 9 Months,page_1.png,COGNITIVE SELF-REGULATION (EXECUTIVE FUNCTIONING),1,Child maintains focus and keeps attention with support,APPROACHES TO LEARNING
Shows increasing ability to attend to people.,indicator,9 Months to 18 Months,page_1.png,COGNITIVE SELF-REGULATION (EXECUTIVE FUNCTIONING),1,Child maintains focus and keeps attention with support,APPROACHES TO LEARNING
Shows increasing ability to attend to objects and activities.,indicator,9 Months to 18 Months,page_1.png,COGNITIVE SELF-REGULATION (EXECUTIVE FUNCTIONING),2,Child maintains focus and keeps attention with support,APPROACHES TO LEARNING
Shows increasing ability to extend or complete an activity.,indicator,9 Months to 18 Months,page_1.png,COGNITIVE SELF-REGULATION (EXECUTIVE FUNCTIONING),3,Child maintains focus and keeps attention with support,APPROACHES TO LEARNING
Shows increasing ability to attend to or join others in a common or shared focus.,indicator,9 Months to 18 Months,page_1.png,COGNITIVE SELF-REGULATION (EXECUTIVE FUNCTIONING),4,Child maintains focus and keeps attention with support,APPROACHES TO LEARNING
"Participates in activities and experiences with people, objects, or materials that require attention and common or shared focus.",indicator,18 Months to 36 Months,page_1.png,COGNITIVE SELF-REGULATION (EXECUTIVE FUNCTIONING),1,Child maintains focus and keeps attention with support,APPROACHES TO LEARNING
Interacts in predictable ways with familiar adults.,indicator,Birth to 9 Months,page_4.png,Relationships with Adults,1,Child learns to use familiar adults as a resource to meet needs.,Social and Emotional Development
Responds positively familiar adults' age appropriate efforts to help with stressful moments,indicator,Birth to 9 Months,page_4.png,Relationships with Adults,2,Child learns to use familiar adults as a resource to meet needs.,Social and Emotional Development
Seeks familiar adults for emotional support and encouragement.,indicator,9 Months to 18 Months,page_4.png,Relationships with Adults,1,Child learns to use familiar adults as a resource to meet needs.,Social and Emotional Development
Reacts or may become stressed when separated fom familiar adult.,indicator,9 Months to 18 Months,page_4.png,Relationships with Adults,2,Child learns to use familiar adults as a resource to meet needs.,Social and Emotional Development
Engages in postive interactions in a wide varity of situations with familie adults.,indicator,18 Months to 36 Months,page_4.png,Relationships with Adults,1,Child learns to use familiar adults as a resource to meet needs.,Social and Emotional Development
Seeks familiar adults for comfort when distressed or tired,indicator,18 Months to 36 Months,page_4.png,Relationships with Adults,2,Child learns to use familiar adults as a resource to meet needs.,Social and Emotional Development
"Recogizes amir dts, from unfair adults",indicator,Birth to 9 Months,page_4.png,Relationships with Adults,1,Child learns to use familiar adults as a resource to meet needs.,Social and Emotional Development
"Makes eye contact, moves, deals for emotional Teassrsce om trier before approaching cnfamtiar aul someone new",indicator,9 Months to 18 Months,page_4.png,Relationships with Adults,1,Child learns to use familiar adults as a resource to meet needs.,Social and Emotional Development
Often watches rma Teassrsce om trier dul before approaching,indicator,18 Months to 36 Months,page_4.png,Relationships with Adults,1,Child learns to use familiar adults as a resource to meet needs.,Social and Emotional Development
"May engage in postive interactions when meeting new people, such as sharing a book with 2",indicator,18 Months to 36 Months,page_4.png,Relationships with Adults,2,Child learns to use familiar adults as a resource to meet needs.,Social and Emotional Development
Communicates needs to {familiar adults by using a varity of behaviors,indicator,Birth to 9 Months,page_4.png,Relationships with Adults,1,Child learns to use familiar adults as a resource to meet needs.,Social and Emotional Development
Looks to~or seeks help fom familiar adults.,indicator,9 Months to 18 Months,page_4.png,Relationships with Adults,1,Child learns to use familiar adults as a resource to meet needs.,Social and Emotional Development
Asks a familiar adult for help or assistance when encountering dificult tasks or situations,indicator,18 Months to 36 Months,page_4.png,Relationships with Adults,1,Child learns to use familiar adults as a resource to meet needs.,Social and Emotional Development
"Looks at attentively, touches or explores another child's face",indicator,Birth to 9 Months,page_5.png,Child learns to express a range of emotions,1,,EMOTIONAL FUNCTIONING
Shows recognition for familiar children through actions or behaviors,indicator,Birth to 9 Months,page_5.png,Child learns to express a range of emotions,2,,EMOTIONAL FUNCTIONING
Participates in simple back and-forth interactions with another child.,indicator,8 Months to 18 Months,page_5.png,Child learns to express a range of emotions,1,,EMOTIONAL FUNCTIONING
Interacts with a few children on a regular basis.,indicator,8 Months to 18 Months,page_5.png,Child learns to express a range of emotions,2,,EMOTIONAL FUNCTIONING
Seeks out other children for social interactions including initiating contact and responding to others.,indicator,16 Months to 36 Months,page_5.png,Child learns to express a range of emotions,1,,EMOTIONAL FUNCTIONING
Develops friendships and engages in more elaborate play with friends.,indicator,16 Months to 36 Months,page_5.png,Child learns to express a range of emotions,2,,EMOTIONAL FUNCTIONING
"Responds to another child's actions or sounds during play with a toy by watching attentively, touching the other child, or reaching for or taking the toy.",indicator,Birth to 9 Months,page_5.png,Child learns to express a range of emotions,1,,EMOTIONAL FUNCTIONING
"Participates in simple imitation games, such as making similar sounds or running after another child",indicator,8 Months to 18 Months,page_5.png,Child learns to express a range of emotions,1,,EMOTIONAL FUNCTIONING
Plays next to other children with similar toys or materials,indicator,8 Months to 18 Months,page_5.png,Child learns to express a range of emotions,2,,EMOTIONAL FUNCTIONING
"Joins in play with other children by sometimes taking turns or participating in joint activities with a common goal, such as building block structures with others or pretending to eat together.",indicator,16 Months to 36 Months,page_5.png,Child learns to express a range of emotions,1,,EMOTIONAL FUNCTIONING
"Expresses feelings of comfort, discomfort, enjoyment, fear, surprise, anger, or unhappiness through facial expressions or gestures to prompt a response from a familiar adult.",indicator,Birth to 9 Months,page_5.png,Child learns to express a range of emotions,1,,EMOTIONAL FUNCTIONING
"Expresses a variety of emotions and modifies their expressions according to the reactions of familiar adults, based on the child's cultural (family) background",indicator,8 Months to 18 Months,page_5.png,Child learns to express a range of emotions,1,,EMOTIONAL FUNCTIONING
"Expresses wide range of emotions, including surprise, guilt, embarrassment, or pride, based on increasing awareness of their effects on others",indicator,16 Months to 36 Months,page_5.png,Child learns to express a range of emotions,1,,EMOTIONAL FUNCTIONING
